'n	n
'n	ən
'ne	nə
'nem	nəm
'nen	nən
'ner	nɐ
'türlich	ˈtyːɐ̯lɪç
@	ɛt
A	ʔaː
a	a
a	ä
à	a
Ä	ɛː
A-dur	ˈʔaːduːɐ̯
Aa	ˌaˈʔa
Aa	aː
Aachen	ˈaːxən
AAD	aːʔaːˈdeː
Aal	aːl
Aale	ˈʔaːlə
Aales	ˈʔaːləs
Aalfang	ˈɑːlˌfaŋ(k)
Aalfischer	ˈaːlˌfɪʃɐ
aalglatt	aːlɡlat
Aalhaut	ˈaːlˌhaʊ̯t
Aalkorb	ˈaːlˌkɔʁp
Aalmolch	ˈaːlˌmɔlç
Aalmutter	ˈaːlˌmʊtɐ
Aalmuttern	ˈaːlˌmʊtɐn
Aals	ʔaːls
Aalstechen	ˈaːlˌʃtɛçn̩
Aalsuppe	ˈaːlˌzʊpə
Aar	aːɐ̯
Aaron	ˈʔaːʀɔn
Aas	aːs
Aase	aːzə
aasen	ˈaːzən
Aasfresser	ˈaːsˌfʀɛsɐ
Aaskäfer	ˈaːsˌkɛːfɐ
Aasseite	ˈaːsˌzaɪ̯tə
Aasvogel	ˈaːsfoːɡl̩
ab	ap
ab	ɑp
ab	ɑb̥
Abalienation	ˌapˌʔali̯enaˈt͡si̯oːn
abänderbar	ˈapˌɛndəʁˌbaːʁ
Abänderung	ˈʔapʔɛndəʀʊŋ
Abänderungen	ˈʔapʔɛndəʀʊŋən
abarbeiten	ˈabˌaʁbaɪ̯tən
abaxial	apʔaˈksi̯aːl
Abbaggerung	ˈapbaɡəʀʊŋ
abbaubar	ˈapbaʊ̯baːʁ
Abbaubarkeit	ˈapbaʊ̯baːɐ̯ˌkaɪ̯t
Abbauprodukt	ˈapbaʊ̯prodʊkt
abbeißen	ˈapˌbaɪ̯sn̩
abbeißen	ˈapˌbaɪ̯sən
abbekommen	ˈʔapbəkɔmən
Abberufung	ˈapbəˈʁuːfʊŋ
abbestellen	ˈabəˌʃtɛlən
Abbestellung	ˈapbəˌʃtɛlʊŋ
abbezahlen	ˈabəˌtsaːlən
Abbezahlung	ˈapbəˌt͡saːlʊŋ
Abbiegung	ˈapˌbiːɡʊŋ
abbilden	ˈap.bɪl.dən
Abbildung	ˈap.bɪl.dʊŋ
Abbildungstechnologie	ˈap.bɪl.dʊŋs.tɛç.no.loˌɡiː
abbinden	ˈʔapˌbɪndn̩
abbinden	ˈʔapˌbɪndən
Abbitte	ˈʔapˌbɪtə
Abbitten	ˈʔapˌbɪtən
abblättern	ˈʔapˌblɛtɐn
Abblendlicht	ˈapblɛntlɪçt
abblocken	ˈaˌblɔkən
Abbrecher	ˈapˌbʀɛçɐ
abbremsen	ˈaˌbʁɛmzən
abbrennen	ˈabʁɛnən
Abbreviation	abʀevi̯aˈt͡si̯oːn
Abbreviatur	abʀevi̯aˈtuːɐ̯
Abbruch	ˈapbʁʊχ
Abbruch	ˈapʁʊχ
Abbruchbirne	ˈapbʁʊxˌbɪʁnə
abbuchen	ˈabuːχən
ABC-Schütze	ˌaːbeˈtseːˌʃʏtsə
Abchasisch	apˈχaːzɪʃ
abchasisch	apˈχaːzɪʃ
abdämpfen	ˈapˌdɛmpfən
abdämpfen	ˈapˌdɛmfən
abdanken	ˈʔapdaŋkŋ̩
abdanken	ˈʔapdaŋkən
Abdankung	ˈapˌdaŋkʊŋ
abdecken	ˈapˌdɛkən
Abdeckung	ˈapˌdɛkʊŋ
abdestillieren	ˈapdɛstiˌliːʁən
abdirigieren	ˈapdiʁiˌɡiːʁən
abdominal	apdomiˈnaːl
Abdruck	ˈapdʁʊk
Abduktor	apˈdʊktoːɐ̯
Abend	ˈaːbənt
Abend	aːmt
Abendbrot	ˈaːbəntˌbroːt
Abendbrot	ˈaːmbroːt
abendessen	ˈaːbəntˌɛsən
Abendessen	ˈʔaːbəntˌʔɛsən
Abendessen	ˈaːmˌtɛsən
Abendkasse	ˈaːbəntˌkasə
abendlich	ˈaːbn̩tlɪç
abends	ˈaːbən(t)s
Abenteuer	ˈaːbəntɔʏ̯ɐ
abenteuerlich	ˈʔaːbm̩tɔɪ̯ɐlɪç
abenteuerlich	ˈʔaːbəntɔɪ̯ɐlɪç
abenteuerlustig	ˈʔaːbm̩tɔɪ̯ɐˌlʊstɪç
abenteuerlustig	ˈʔaːbəntɔɪ̯ɐˌlʊstɪç
Abenteuerspielplatz	ˈaːbn̩tɔɪ̯ɐˌʃpiːlplat͡s
aber	ˈaːbɐ
aber	ˈabɐ
Aberglaube	ˈaːbɐˌɡlaʊ̯bə
Aberglaubens	ˈʔaːbɐˌɡlaʊ̯bm̩s
Aberglaubens	ˈʔaːbɐˌɡlaʊ̯bəns
abergläubisch	ˈʔaːbɐɡlɔɪ̯bɪʃ
abertausend	ˈaːbɐˌtaʊ̯zn̩t
aberwitzig	ˈaːbəʁˌvɪtsɪç
abfackeln	ˈapˌfakəln
Abfalleimer	ˈapfalˌ(ʔ)aɪ̯mɐ
abfallen	ˈʔapfaln̩
abfallen	ˈʔapfalən
abfällig	ˈapˌfɛlɪç
abfällig	ˈapˌfɛlɪk
abfangen	ˈʔapfaŋən
abfassen	ˈapˌfasn̩
abfedern	ˈapˌfeːdəʁn
