cag	c a ˧ ˩̤
caug	c a u̯ ˧ ˩̤
ceg	c e ˧ ˩̤
ci	c i ˧
ciaj	c i̯ ə ˥ ˧
ciblaug	c i ˥ l a u̯ ˧ ˩̤
cuaj	c u̯ ə ˥ ˧
cw	c ɨ ˧
dab	d a ˥
dag	d a ˧ ˩̤
daim	d a i̯ ˩̰ ˀ
dais	d a i̯ ˩
daus	d a u̯ ˩
dauslas	d a u̯ ˩ l a ˩
dav	d a ˧ ˦
deb	d e ˥
dej	d e ˥ ˧
dev	d e ˧ ˦
diav	d i̯ ə ˧ ˦
du	d u ˧
duav	d u̯ ə ˧ ˦
fawm	f a ɨ̯ ˩̰ ˀ
foob	f ɒ̃ ˥
hais	h a i̯ ˩
hinplus	h i ˧ ᵐ bˡ u ˩
hlau	ɬ a u̯ ˧
hlob	ɬ ɒ ˥
hlua	ɬ u̯ ə ˧
hluas	ɬ u̯ ə ˩
hlub	ɬ u ˥
hmab	m̥ a ˥
hmo	m̥ ɒ ˧
hmoob	m̥ ɒ̃ ˥
hmos	m̥ ɒ ˩
hmuv	m̥ u ˧ ˦
hneev	n̥ ẽ ˧ ˦
hnov	n̥ ɒ ˧ ˦
hnub	n̥ u ˥
hnyav	ɲ̊ a ˧ ˦
huablab	h u̯ ə ˥ l a ˥
huabxeeb	h u̯ ə ˥ s ẽ ˥
hub	h u ˥
huv	h u ˧ ˦
hwj	h ɨ ˥ ˧
hwvtaus	h ɨ ˧ ˦ t a u̯ ˩
iab	ʔ i̯ ə ˥
ib	ʔ i ˥
kais	k a i̯ ˩
kaum	k a u̯ ˩̰ ˀ
kav	k a ˧ ˦
kaw	k a ɨ̯ ˧
kev	k e ˧ ˦
khaus	kʰ a u̯ ˩
khej	kʰ e ˥ ˧
khw	kʰ ɨ ˧
kim	k i ˩̰ ˀ
koj	k ɒ ˥ ˧
kotaw	k ɒ ˧ t a ɨ̯ ˧
kovyeej	k ɒ ˧ ˦ ʝ ẽ ˥ ˧
kub	k u ˥
kuv	k u ˧ ˦
laus	l a u̯ ˩
lawv	l a ɨ̯ ˧ ˦
leej	l ẽ ˥ ˧
liag	l i̯ ə ˧ ˩̤
loj	l ɒ ˥ ˧
los	l ɒ ˩
lub	l u ˥
luv	l u ˧ ˦
lwj	l ɨ ˥ ˧
me	m e ˧
meej	m ẽ ˥ ˧
meejpem	m ẽ ˥ ˧ p e ˩̰ ˀ
menyuam	m e ˧ ɲ u̯ ə ˩̰ ˀ
mob	m ɒ ˥
mom	m ɒ ˩̰ ˀ
mov	m ɒ ˧ ˦
muag	m u̯ ə ˧ ˩̤
muaj	m u̯ ə ˥ ˧
mus	m u ˩
nab	n a ˥
nag	n a ˧ ˩̤
nalika	n a ˧ l i ˧ k a ˧
nanej	n a ˩ ʔ e ˥ ˧
ncauj	ᶮ ɟ a u̯ ˥ ˧
neb	n e ˥
neeg	n ẽ ˧ ˩̤
neej	n ẽ ˥ ˧
nees	n ẽ ˩
nej	n e ˥ ˧
niam	n i̯ ə ˩̰ ˀ
nlom	mˡ ɒ ˩̰ ˀ
nloog	mˡ ɒ̃ ˧ ˩̤
noj	n ɒ ˥ ˧
noob	n ɒ̃ ˥
noog	n ɒ̃ ˧ ˩̤
npam	ᵐ b a ˩̰ ˀ
npe	ᵐ b e ˧
npelehees	ᵐ b e ˧ l e ˧ h ẽ ˩
nplaig	ᵐ bˡ a i̯ ˧ ˩̤
nplhaib	ᵐ pˡʰ a i̯ ˥
nplooj	ᵐ bˡ ɒ̃ ˥ ˧
npluag	ᵐ bˡ u̯ ə ˧ ˩̤
npua	ᵐ b u̯ ə ˧
nqaij	ᶰ ɢ a i̯ ˥ ˧
nqaim	ᶰ ɢ a i̯ ˩̰ ˀ
nqos	ᶰ ɢ ɒ ˩
nqov	ᶰ ɢ ɒ ˧ ˦
nquab	ᶰ ɢ u̯ ə ˥
nquag	ᶰ ɢ u̯ ə ˧ ˩̤
nqus	ᶰ ɢ u ˩
nrau	ᶯ ɖ a u̯ ˧
nrauj	ᶯ ɖ a u̯ ˥ ˧
nruas	ᶯ ɖ u̯ ə ˩
ntse	ᶯ d͡ʐ e ˧
ntseeg	ᶯ d͡ʐ ẽ ˧ ˩̤
ntses	ᶯ d͡ʐ e ˩
ntshav	ᶯ t͡ʂʰ a ˧ ˦
ntshiab	ᶯ t͡ʂʰ i̯ ə ˥
