'ch	χ	0
'i	iː	0
'ma	m a	0
'n	n	0
'na	n a	0
'r	r	0
'th	θ	0
'y	ə	0
a	aː	1166784
ab	a b	878
abad	a b a d	214
abadaeth	a b a d a ɨ̯ θ	2
abadaeth	a b a d ɛ θ	2
abades	a b a d	25
abathocroalaidd	a b a θ ɔ k r ɔ a l a i̯ ð	0
abatir	a b a t ɪ r	63
abaty	a b a t ɨ	157
aber	a b ɛ r	128
aberdaugleddau	a b ɛ r d a ɨ̯ ɡ l ɛ ð a	11
aberdaugleddau	a b ɛ r d a ɨ̯ ɡ l ɛ ð a ɨ̯	11
aberdaugleddau	a b ɛ r d a ɨ̯ ɡ l ɛ ð ɛ	11
aberdâr	a b ɛ r d aː r	46
abergofiant	a b ɛ r ɡ ɔ v j a n t	0
abertawe	a b ɛ r t a u̯ ɛ	332
aberteifi	a b ɛ r t e i̯ v ɪ̞	52
aberth	a b ɛ r θ	10
aberthged	a b ɛ r θ ɡ ɛ d	1
aberthu	a b ɛ r θ ɨ̞	14
aberystwyth	a b ɛ r ə s t w ɨ̞ θ	205
abl	a b l	14
abladol	a b l a d ɔ l	1
absenoldeb	a b s ɛ n ɔ l d ɛ b	17
abwyd	a b ʊ ɨ̯ d	1
ac	a k	16267
academaidd	a k a d ɛ m a i̯ ð	86
academaidd	a k a d ɛ m ɛ ð	86
ach	aː χ	437
achos	a χ ɔ s	444
achos	χ ɔ s	444
achosaf	a χ ɔ s a v	0
achosi	a χ ɔ s i	231
achub	a χ ɨ̞ b	105
achwyn	a χ ʊ ɨ̯ n	3
acti	a k t i	2
actiaf	a k t j a v	0
actio	a k t j ɔ	108
acw	a k u	27
ad	aː d	3282
adael	a d a l	246
adael	a d a ɨ̯ l	246
adael	a d ɛ l	246
adain	a d a i̯ n	129
adain	a d ɛ n	129
adanedd	a d a n ɛ ð	0
adar	a d a r	276
adarydd	a d a r ɨ̞ ð	0
adarydda	a d a r ə ð a	1
adawed	a d a u̯ ɛ d	0
addawa	a ð a u̯ a	0
addo	a ð ɔ	44
addoldy	a ð ɔ l d ɨ̞	6
addolgar	a ð ɔ l ɡ a r	0
addoli	a ð ɔ l i	38
addoliad	a ð ɔ l j a d	27
addolwr	a ð ɔ l ʊ r	0
addurn	a ð ɨ̞ r n	10
addurno	a ð ɨ̞ r n ɔ	16
addysg	a ð ɨ̞ s ɡ	490
addysgu	a ð ə s ɡ ɨ̞	66
adeilad	a d e i̯ l a d	534
adeiladu	a d e i̯ l a d ɨ	300
aden	a d ɛ n	88
adenydd	a d ɛ n ɨ̞ ð	328
aderyn	a d ɛ r ɨ̞ n	252
aderyn	d ɛ r ɨ̞ n	252
adfer	a d v a r	87
adfer	a d v ɛ r	87
adferaf	a d v ɛ r a	0
adferaf	a d v ɛ r a v	0
adferant	a d v ɛ r a n t	0
adferent	a d v ɛ r ɛ n t	0
adferf	a d v ɛ r v	0
adfero	a d v ɛ r ɔ	0
adio	a d j ɔ	4
adlaw	a d l a u̯	0
adnabod	a d n a b ɔ d	364
adnabyddant	a d n a b ə ð a n t	0
adnabyddi	a d n a b ə ð ɪ	0
adnabyddus	a d n a b ə ð ɨ̞ s	573
adnabyddwch	a d n a b ə ð ʊ χ	0
adnabyddwn	a d n a b ə ð ʊ n	1
adnebydd	a d n ɛ b ɨ̞ ð	0
adnodd	a d n ɔ ð	10
adolygu	a d ɔ l ə ɡ ɨ̞	11
adra	a d r a	24
adran	a d r a n	333
adre	a d r a	8
adre	a d r ɛ	8
adref	a d r a	55
adref	a d r ɛ	55
adref	a d r ɛ v	55
adrodd	a d r ɔ ð	115
adroddaf	a d r ɔ ð a	0
adroddaf	a d r ɔ ð a v	0
adroddiad	a d r ɔ ð j a d	96
adwaen	a d w a ɨ̯ n	0
adwaenai	a d w e ɨ̯ n a i̯	0
adwaenant	a d w e ɨ̯ n a n t	0
adwaenech	a d w e ɨ̯ n ɛ χ	0
adwaenem	a d w e ɨ̯ n ɛ m	0
adwaenent	a d w e ɨ̯ n ɛ n t	0
adwaenid	a d w e ɨ̯ n ɪ d	14
adwaenir	a d w e ɨ̯ n ɪ r	50
adwaenit	a d w e ɨ̯ n ɪ t	0
adwaenoch	a d w e ɨ̯ n ɔ χ	0
adwaenom	a d w e ɨ̯ n ɔ m	0
adwaenost	a d w e ɨ̯ n ɔ s d	0
adwaenwch	a d w e ɨ̯ n ʊ χ	0
adwaenwn	a d w e ɨ̯ n ʊ n	0
adwaenynt	a d w e ɨ̯ n ɨ̞ n t	0
adweinaf	a d w e i̯ n a v	0
adweini	a d w e i̯ n i	0
adweinid	a d w e i̯ n ɪ d	2
adweinir	a d w e i̯ n ɪ r	5
adwen	a d w ɛ n	2
adwthio	a d ʊ θ j ɔ	0
aech	aː ɨ̯ χ	0
aed	aː ɨ̯ d	79
aeled	e ɨ̯ l ɛ d	0
aelod	e ɨ̯ l ɔ d	1489
aelwyd	e ɨ̯ l ʊ ɨ̯ d	31
aem	aː ɨ̯ m	4
aent	aː ɨ̯ n t	1
aer	aː ɨ̯ r	139
aeron	e ɨ̯ r ɔ n	41
aeronen	e ɨ̯ r ɔ n a n	1
aeronen	e ɨ̯ r ɔ n ɛ n	1
aeth	aː ɨ̯ θ	634
aeth	aː θ	634
aethai	e ɨ̯ θ a i̯	0
aethant	e ɨ̯ θ a n t	16
aethech	e ɨ̯ θ ɛ χ	0
aethem	e ɨ̯ θ ɛ m	0
aethent	e ɨ̯ θ ɛ n t	0
aethid	e ɨ̯ θ ɪ d	0
aethit	e ɨ̯ θ ɪ t	0
aethoch	e ɨ̯ θ ɔ χ	0
aethom	e ɨ̯ θ ɔ m	0
aethon	e ɨ̯ θ ɔ n	3
aethont	e ɨ̯ θ ɔ n t	2
aethost	e ɨ̯ θ ɔ s d	0
aethpwyd	e ɨ̯ θ p ʊ ɨ̯ d	13
aethwn	e ɨ̯ θ ʊ n	0
af	aː	10218
af	aː v	10218
afal	a v a l	18
afalau	a v a l a	13
afalau	a v a l a ɨ̯	13
afalau	a v a l ɛ	13
afalau	v a l a	13
afalau	v a l ɛ	13
afallen	a v a ɬ ɛ n	0
afan	a v a n	45
afanc	a v a ŋ k	4
afanen	a v a n ɛ n	1
affrica	a f r ɪ k a	350
aflwyddiannus	a v l ʊ ɨ̯ ð j a n ɨ̞ s	42
afocado	a v ɔ k a d ɔ	1
afon	a v ɔ n	2063
afonfarch	a v ɔ n v a r χ	4
afonfeirch	a v ɔ n v e i̯ r χ	1
afraid	a v r a i̯ d	679
afu	a v ɨ̞	13
ag	a ɡ	1407
ager	a ɡ ɛ r	45
agor	a ɡ ɔ r	164
agora	a ɡ ɔ r a	1004
agoraf	a ɡ ɔ r a	0
agoraf	a ɡ ɔ r a v	0
agorai	a ɡ ɔ r a i̯	1
agoret	a ɡ ɔ r ɛ t	0
agori	a ɡ ɔ r i	0
agoriad	a ɡ ɔ r j a d	38
agos	a ɡ ɔ s	370
agweddi	a ɡ w ɛ ð ɪ	1
aidd	a i̯ ð	0
aifft	a i̯ f t	143
ail	a i̯ l	1254
aillt	a i̯ ɬ d	0
ailosod	a i̯ l ɔ s ɔ d	5
air	a i̯ r	4991
ais	a i̯ s	79
ait	a i̯ t	37
alarch	a l a r χ	10
alaw	a l a u̯	42
alban	a l b a n	805
albwm	a l b ʊ m	280
all	a ɬ	49657
alla	a ɬ a	165
allai	a ɬ a i̯	80
allai	a ɬ ɛ	80
allan	a ɬ a n	1104
allanfa	a ɬ a n v a	0
allant	a ɬ a n t	4
allen	a ɬ ɛ n	2583
aller	a ɬ ɛ r	154
allgofnodi	a ɬ ɡ ɔ v n ɔ d i	0
alli	a ɬ i	105
allo	a ɬ ɔ	41
allor	a ɬ ɔ r	21
allt	aː ɬ t	58
alltud	a ɬ d ɨ̞ d	31
allwedd	a ɬ w ɛ ð	18
allweddell	a ɬ w ɛ ð ɛ ɬ	3
allwthio	a ɬ ʊ θ j ɔ	0
almaen	a l m a ɨ̯ n	428
almaeneg	a l m e ɨ̯ n ɛ ɡ	233
almaenwr	a l m e ɨ̯ n ʊ r	16
almanac	a l m a n a k	32
alwminiwm	a l ʊ m ɪ n j ʊ m	13
am	a m	16716
amaethyddiaeth	a m e ɨ̯ θ ə ð j a ɨ̯ θ	60
amaethyddiaeth	a m e ɨ̯ θ ə ð j ɛ θ	60
amau	a m a	25
amau	a m a ɨ̯	25
amau	a m ɛ	25
amcan	a m k a n	50
amcangyfrif	a m k a ŋ ɡ ə v r ɪ	44
amcangyfrif	a m k a ŋ ɡ ə v r ɪ v	44
amddiffyn	a m ð ɪ f ɨ̞ n	662
amddiffynnaf	a m ð ɪ f ə n a v	0
ameba	a m ɛ b a	22
america	a m ɛ r ɪ k a	4183
amffibiad	a m f ɪ b j a d	0
amguedd	a m ɡ ɨ̞ ɛ ð	0
amgueddfa	a m ɡ ɨ̞ ɛ ð v a	259
amgyffred	a m ɡ ə f r ɛ d	4
amgylch	a m ɡ ɨ̞ l χ	166
amgylchedd	a m ɡ ə l χ ɛ ð	95
amgylcheddol	a m ɡ ə l χ ɛ ð ɔ l	51
amhenodol	a m h ɛ n ɔ d ɔ l	4
amheuaeth	a m h e ɨ̯ a ɨ̯ θ	29
amheuaeth	a m h e ɨ̯ ɛ θ	29
amheuaf	a m h e ɨ̯ a	0
amheuaf	a m h e ɨ̯ a v	0
amlach	a m l a χ	27
amlen	a m l ɛ n	2
amlwg	a m l ʊ ɡ	384
amnewid	a n n ɛ u̯ ɪ d	12
amobr	a m ɔ b r	1
amod	a m ɔ d	34
amrant	a m r a n t	0
amrantiad	a m r a n t j a d	1
amrwd	a m r ʊ d	9
amryw	a m r ɪ u̯	175
amrywedd	a m r ɪ u̯ j ɛ ð	0
amrywiad	a m r ɪ u̯ j a d	37
amrywiaeth	a m r ɪ u̯ j a ɨ̯ ð	116
amrywiaeth	a m r ɪ u̯ j ɛ θ	116
amrywio	a m r ɪ u̯ j ɔ	180
amrywiol	a m r ɪ u̯ j ɔ l	150
amser	a m s a r	647
amser	a m s ɛ r	647
amwythig	a m ʊ ɨ̯ θ ɪ ɡ	72
anabl	a n a b l	8
anabledd	a n a b l ɛ ð	8
anableddau	a n a b l ɛ ð a	3
anableddau	a n a b l ɛ ð a ɨ̯	3
anableddau	a n a b l ɛ ð ɛ	3
anadlu	a n a d l ɨ	37
anaf	a n a v	41
anafa	a n a v a	0
anafai	a n a v a i̯	0
anafais	a n a v a i̯ s	0
anafais	a n a v ɛ s	0
anafais	a n a v ɪ ʃ	0
anafes	a n a v ɛ s	0
anafu	a n a v ɨ	20
aneiriol	a n e i̯ r j ɔ l	1
anffurfiol	a n f ɨ̞ r v j ɔ l	18
anfon	a n v ɔ n	71
anfonaf	a n v ɔ n a v	0
angel	a ŋ a l	740
angel	a ŋ ɛ l	740
angen	a ŋ a n	280
angen	a ŋ ɛ n	280
angharad	a ŋ h a r a d	51
angheuol	a ŋ h e ɨ̯ ɔ l	16
anghofio	a ŋ h ɔ v j ɔ	12
anghofrwydd	a ŋ h ɔ v r ʊ ɨ̯ ð	0
anghofus	a ŋ h ɔ v ɨ̞ s	1
anghofuster	a ŋ h ɔ v ɨ̞ s d ɛ r	0
anghydfod	a ŋ h ə d v ɔ d	48
anghydradd	a ŋ h ə d r a ð	0
anghydraddoldeb	a ŋ h ə d r a ð ɔ l d ɛ b	3
anghyfartal	a ŋ h ə v a r t a l	2
anghyflawn	a ŋ h ə v l a u̯ n	15
anghyfreithlon	a ŋ h ə v r e i̯ θ l ɔ n	49
anghymeradwyaeth	a ŋ h ə m ɛ r a d ʊ ɨ̯ a ɨ̯ θ	1
anghymeradwyaeth	a ŋ h ə m ɛ r a d ʊ ɨ̯ ɛ θ	1
anghymreig	a ŋ h ə m r e i̯ ɡ	0
anghymreigio	a ŋ h ə m r e i̯ ɡ j ɔ	0
anghywir	a ŋ h ə u̯ ɪ r	33
angladd	a ŋ l a ð	29
angladdau	a ŋ l a ð a	2
angladdau	a ŋ l a ð a ɨ̯	2
angladdau	a ŋ l a ð ɛ	2
angof	a ŋ ɔ v	2
angylaidd	a ŋ	1
angylaidd	a ŋ ə l a i̯ ð	1
angylaidd	a ŋ ə l ɛ ð	1
angyles	a ŋ ə l ɛ s	2
anialwch	a n j a l ʊ χ	45
anifail	a n ɪ v a i̯ l	112
anifail	a n ɪ v ɛ l	112
anner	a n ɛ r	3
annerbyniol	a n ɛ r b ə n j o l	11
annerch	a n ɛ r χ	8
annog	a n ɔ ɡ	56
annwyd	a n ʊ ɨ̯ d	10
annwyl	a n ʊ ɨ̯ l	19
anodd	a n ɔ ð	161
anoddach	a n ɔ ð a χ	18
anoddaf	a n ɔ ð a	9
anoddaf	a n ɔ ð a v	9
anodded	a n ɔ ð ɛ d	0
anogaf	a n ɔ ɡ a	0
anogaf	a n ɔ ɡ a v	0
anrheg	a n r̥ ɛ ɡ	23
anrhydeddu	a n r̥ ə d ɛ ð ɨ	15
ansawdd	a n s a u̯ ð	55
ansoddair	a n s ɔ ð a i̯ r	18
antimoni	a n t ɪ m ɔ n i	0
anweddu	a n w ɛ ð ɨ	4
ap	a p	3155
apêl	a p eː l	28
ar	a r	23656
aradr	a r a d	7
aradr	a r a d r	7
araf	a r a	70
araf	a r a v	70
arall	a r a ɬ	1467
aran	a r a n	204
arbed	a r b ɛ d	19
arbedaf	a r b ɛ d a	0
arbedaf	a r b ɛ d a v	0
archfarchnad	a r χ v a r χ n a d	9
ardal	a r d a l	1595
ardaloedd	a r d a l ɔ ɨ̯ ð	361
arddaf	a r ð a v	0
arddwrn	a r ð ʊ r n	3
aredaf	a r ɛ d a	0
aredaf	a r ɛ d a v	0
aredig	a r ɛ d ɪ ɡ	8
aren	a r ɛ n	19
arestio	a r ɛ s t j ɔ	33
arfedd	a r v a ð	0
arfedd	a r v ɛ ð	0
arfeddog	a r v ɛ ð ɔ ɡ	0
arfer	a r v a r	639
arfer	a r v ɛ r	639
arglwydd	a r ɡ l ʊ ɨ̯ ð	239
arholi	a r h ɔ l ɪ	5
arholiad	a r h ɔ l j a d	12
arholiadau	a r h ɔ l j a d a	24
arholiadau	a r h ɔ l j a d a ɨ̯	24
arholiadau	a r h ɔ l j a d ɛ	24
arholiadau	a r ɔ l j a d a	24
arholiadau	a r ɔ l j a d ɛ	24
arhosaf	a r h ɔ s a v	0
arian	a r j a n	428
ariannog	a r j a n ɔ ɡ	6
arllwys	a r ɬ ʊ ɨ̯ s	10
arllwysaf	a r ɬ ʊ ɨ̯ s a	0
arllwysaf	a r ɬ ʊ ɨ̯ s a v	0
arlwy	a r l u ɨ̯	6
armenia	a r m ɛ n j a	587
arna	a r n a	7
arnat	a r n a t	2
arni	a r n ɪ	174
aros	a r ɔ s	326
arosfa	a r ɔ s v a	2
arth	a r θ	32
arthan	a r θ a n	3
arwain	a r w a i̯ n	327
arwain	a r w ɛ n	327
arweiniad	a r w e i̯ n j a d	96
arweinydd	a r w e i̯ n ɨ̞ ð	336
arweinyddion	a r w e i̯ n ə ð j ɔ n	19
arwynebedd	a r w ɨ̞ n ɛ b ɛ ð	298
asen	a s ɛ n	12
asgwrn	a s ɡ ʊ r n	75
asid	a s ɪ d	98
asyn	a s ɨ̞ n	5
at	a t	131528
ata	a t a	7601
atal	a t a l	231
atalnod	a t a l n ɔ d	1
atebaf	a t ɛ b a	0
atebaf	a t ɛ b a v	0
ateli	a t ɛ l i	0
atelid	a t ɛ l ɪ d	0
athrawes	a θ r a u̯ ɛ s	53
ati	a t i	226
ato	a t ɔ	176
aton	a t ɔ n	8
aur	a ɨ̯ r	262
awch	a u̯ χ	1
awchus	a u̯ χ ɨ̞ s	0
awd	a u̯ d	21
awdl	a u̯ d l	98
awen	a u̯ ɛ n	35
awgrym	a u̯ ɡ r ɨ̞ m	20
awgrymiad	a u̯ ɡ r ə m j a d	2
awgrymog	a u̯ ɡ r ə m ɔ ɡ	1
awgrymu	a u̯ ɡ r ə m ɨ	208
awn	a u̯ n	11
awr	a u̯ r	268
awst	a u̯ s d	746
awydd	a u̯ ɨ̞ ð	18
awyr	a u̯ ɨ̞ r	371
baban	b a b a n	53
babi	b a b ɪ	29
babis	b a b ɪ s	5
babŵn	b a b uː n	0
bach	b aː χ	910
bachgennyn	b a χ ɡ ɛ n i̞ n	0
bae	b aː ɨ̯	225
baedd	b aː ɨ̯ ð	12
baet	b aː ɨ̯ t	1
baith	b a i̯ θ	0
ban	b a n	1557
banana	b a n a n a	188
bangor	b a ŋ ɡ ɔ r	269
banjo	b a n d͡ʒ ɔ	77
bara	b a r a	565
