<<<<<<< HEAD
=======
>>>>>>> scrape
a	ɑ
aba	ɑ b ɑ
acıq	ɑ d͡z ɯ χ
acıq	ɑ d͡ʒ ɯ χ
adam	ɑ d ɑ m
adlanmaq	ɑ d ɫ ɑ n m ɑ χ
akademiya	ɑ k ɑ d e m i j ɑ
alma	ɑ ɫ m ɑ
altı	ɑ l t ɯ̞
alın	ɑ ɫ ɯ n
armağan	ɑ r m ɑ ɣ ɑ n
arpa	ɑ r p ɑ
arxa	ɑ r χ ɑ
axırıncı	ɑ χ ɯ r ɯ n d͡ʒ ɯ
azəri	ɑː z æ ɾ i
b	b
badam	b ɑ d ɑ m
baldır	b ɑ ɫ d ɯ r
batmaq	b ɑ t m ɑ χ
bayğın	b ɑ j ɣ ɯ n
başıörtülü	b ɑ ʃ ɯ œ r t y l y
beş	b e ʃ
birləşdirmək	b i r l æ ʃ d i r m æ k
birləşmək	b i r l æ ʃ m æ k
birə	b i r æ
bitirmək	b i t i r m æ k
bol	b o ɫ
boy	b o j
boşanmaq	b o ʃ ɑ n m ɑ χ
bulud	b u ɫ u d
bura	b u r ɑ
buğda	b u ɣ d ɑ
bölmək	b œ l m æ k
bütöv	b y t œ v
bütün	b y t y n
bənək	b æ n æ k
bığ	b ɯ ɣ
c	d͡ʒ
d	d
daban	d ɑ b ɑ n
dam	d ɑ m
davam	d ɑ v ɑ m
deyil	d e j i l
deşik	d e ʃ i k
dildaş	d i l d ɑ ʃ
dişləmək	d i ʃ l æ m æ k
dörd	d œ ɾ d
düşünmək	d y ʃ y n m æ k
dəniz	d æ n i z
dərinlik	d æ r i n l i k
dəsmal	d æ s m ɑ ɫ
dəstək	d æ s t æ k
dəstəkləmək	d æ s t æ k l æ m æ k
e	e
evlənmək	e v l æ n m æ k
f	f
fikir	f i k i r
fikirləşmək	f i k i r l æ ʃ m æ k
g	ɟ
genə	ɡ e n æ
genə	ɡenæ
geriləmək	ɡ e r i l æ m æ k
geriləmək	ɡerilæmæk
gey	ɡ e j
gey	ɡej
ginə	ɡ i n æ
ginə	ɡinæ
gizlətmək	ɡ i z l æ t m ɑ χ
gizlətmək	ɡizlætmɑχ
güc	ɡ y d͡ʒ
güc	ɡyd͡ʒ
güllələmək	ɡ y lː æ l æ m æ k
güllələmək	ɡylːælæmæk
gündəm	ɡ y n d æ m
gündəm	ɡyndæm
güvənmək	ɡ y v æ n m æ k
güvənmək	ɡyvænmæk
gəmirici	ɡ æ m i r i d͡ʒ i
gəmirici	ɡæmirid͡ʒi
gəmirmək	ɡ æ m i r m æ k
gəmirmək	ɡæmirmæk
gərək	ɡ æ r æ k
gərək	ɡæræk
h	h
hoppanmaq	h o pː ɑ n m ɑ χ
hoppanmaq	hopːɑnmɑχ
hürmək	h y r m æ k
hürmək	hyrmæk
həftə	h æ f t æ
həftə	hæftæ
hələ	h æ l æ
hələ	hælæ
hərf	h æ ɾ f
hərf	hæɾf
həvəs	h æ v æ s
həvəs	hævæs
i	ɪ
idman	i d m ɑ n
idman	idmɑn
iki	i k i
iki	iki
inadkar	i n ɑ d k ɑ r
inadkar	inɑdkɑr
inadkarlıq	i n ɑ d k ɑ r l ɯ χ
inadkarlıq	inɑdkɑrlɯχ
inanmaq	i n ɑ n m ɑ χ
inanmaq	inɑnmɑχ
incimək	i n d͡ʒ i m æ k
incitmək	i n d͡ʒ i t m æ k
iş	i ʃ
iş	iʃ
işarə	i ʃ aː r æ
işarə	iʃaːræ
j	ʒ
k	c
k	k
k	ç
keçinmək	k e t͡ʃ i n m æ k
kraliça	k r ɑ l i t͡ʃ ɑ
kraliça	krɑlit͡ʃɑ
kölə	k œ l æ
l	l
m	m
maaş	m ɑː ʃ
makedoniya	m ɑ k e d o n i j ɑ
mis	m i s
mən	m æ n
məşhur	m æ ʃ h u r
n	n
nar	n a r
nə	n æ
nəmənə	n æ m æ n æ
o	ɔ
onlar	o n l a r
oyaq	o j ɑ χ
oğurlamaq	o ɣ u r l ɑ m ɑ χ
p	p
partlamaq	p ɑ r t ɫ ɑ m ɑ χ
partlatmaq	p ɑ r t ɫ ɑ t m ɑ χ
partlayış	p ɑ r t ɫ ɑ j ɯ ʃ
pox	p o χ
pravoslav	p r ɑ v o s l ɑ v
q	ɡ
qart	ɡ ɑ r t
qart	ɡɑrt
qarı	ɡ ɑ r ɯ
qarı	ɡɑrɯ
qonşu	ɡ o n ʃ u
qonşu	ɡonʃu
qoxu	ɡ ɔ x u
qoxu	ɡɔxu
quzu	ɡ u z u
quzu	ɡuzu
qırx	ɡ ɯ r χ
qırx	ɡɯrχ
qırxıncı	q ɯ r x ɯ n d ʒ ɯ
qırxıncı	qɯrxɯndʒɯ
qızdırma	ɡ ɯ z d ɯ r m ɑ
qızdırma	ɡɯzdɯrmɑ
qızıl	ɡ ɯ z ɯ ɫ
qızıl	ɡɯzɯɫ
qəşəng	ɡ æ ʃ æ ŋ ɡ
qəşəng	ɡæʃæŋɡ
r	r
ruh	r u h
rusiya	r u s i j ɑ
s	s
sabun	s a b u n
sabun	sabun
sapan	s ɑ p ɑ n
sapan	sɑpɑn
sarp	s ɑ r p
sarp	sɑrp
silahlanmaq	s i l ɑ h l ɑ n m ɑ χ
silahlanmaq	silɑhlɑnmɑχ
sinif	s i n i f
sinif	sinif
siz	s i z
siz	siz
soruşmaq	s o r u ʃ m ɑ χ
soruşmaq	soruʃmɑχ
soyunmaq	s o j u n m ɑ χ
soyunmaq	sojunmɑχ
sınmaq	s ɯ n m ɑ χ
sınmaq	sɯnmɑχ
səpmək	s æ p m æ k
səpmək	sæpmæk
sərinləmək	s æ r i n l æ m æ k
sərinləmək	særinlæmæk
sərvaxt	s æ r v ɑ χ t
sərvaxt	særvɑχt
t	t
tanımaq	t ɑ n ɯ m ɑ χ
tez	t e z
toxunmaq	t o χ u n m a χ
toy	t o j
tozsoran	t o z s o r ɑ n
təbriz	t æ b r i z
tərləmək	t æ r l æ m æ k
tərpənmək	t æ r p æ n m æ k
təsadüf	t æ s ɑː d y f
u	u
utanmaq	u t ɑ n m ɑ χ
v	v
var	v ɑ r
vurmaq	v u r m ɑ χ
vətəndaş	v æ t æ n d ɑ ʃ
x	x
xudahafiz	x u d ɑː f i z
xəncər	x æ n d ʒ æ ɾ
y	j
yağmaq	j ɑ ɣ m ɑ χ
yaşıl	j ɑ ʃ ɯ ɫ
yenə	j e n æ
yerləşdirmək	j e r l æ ʃ d i r m æ k
yerləşmək	j e r l æ ʃ m æ k
yoldaş	j ɔ ɫ d ɑ ʃ
yurddaş	j u r dː a ʃ
yük	j y k
yüyən	j y j æ n
yüz	j y z
yəhər	j æ h æ r
z	z
zorlama	z o r ɫ ɑ m ɑ
zorlama	zorɫɑmɑ
zorlamaq	z o r ɫ ɑ m ɑ χ
zorlamaq	zorɫɑmɑχ
zəhmətkeş	z æ h m æ t k e ʃ
zəhmətkeş	zæhmætkeʃ
zəiflik	z æ i f l i k
zəiflik	zæiflik
ç	t ʃ e
ç	tʃe
ç	t͡ʃ
çökmək	t͡ʃ œ k m æ k
çökmək	t͡ʃœkmæk
çürük	t͡ʃ y ɾ y c
çürük	t͡ʃyɾyc
ö	œ
ömür	œ m y r
örpək	œ r p æ k
örtük	œ r t y k
örtülü	œ r t y l y
öskürmək	œ s k y r m æ k
ü	y
ürək	y r æ k
ürək	yræk
üzüm	y z y m
üzüm	yzym
üzəngi	y z æ ŋ ɡ i
üzəngi	yzæŋɡi
üç	ʏ t ʃ
üç	ʏtʃ
ێ	j
ə	æ
ğ	ɣ
ı	ɯ
ş	ʃ
ۆ	ɔ
ێ	ɯ
şin	ʃ i n
şin	ʃin
əmcək	æ m d͡ʒ æ k
əmcək	æmd͡ʒæk
ərik	æ r i k
ərik	ærik
əvəzlik	æ v æ z l i k
əvəzlik	ævæzlik
əziz	æ z i z
əziz	æziz
үч	ʏ t ʃ
үч	ʏtʃ
şəhvət	ʃ æ h v æ t
şəhvət	ʃæhvæt
şənbə	ʃ æ n b æ
şənbə	ʃænbæ
şəxs	ʃ æ χ s
şəxs	ʃæχs
şəxsi	ʃ æ χ s i
şəxsi	ʃæχsi
әрик	æ r i k
әрик	ærik
فلسفه	f æ l s æ f æ
فلسفه	fælsæfæ
کرالیچا	c ɾ ɑ l i t͡ʃ ɑ
کرالیچا	cɾɑlit͡ʃɑ
фәлсәфә	f æ l s æ f æ
фәлсәфә	fælsæfæ
әвәзлик	ævæzlik
ҝүрҹүстан	ɟ y ɾ d͡ʒ y s t ɑ n
ҝүрҹүстан	ɟyɾd͡ʒystɑn
југославија	j u ɡ ɔ s l ɑ v i j ɑ
југославија	juɡɔslɑvijɑ
