aa	ɑː
aada	ɑː d ɑ
aadolf	ɑː d o l f
aake	ɑː k e
aakkonen	ɑː kː o n e n
aakkosellinen	ɑː kː o s e lː i n e n
aakkosellisuuden	ɑː kː o s e lː i s uː d e n
aakkosen	ɑː kː o s e n
aakkoset	ɑː kː o s e t
aakkosjärjestys	ɑː kː o s j æ r j e s t y s
aakkoslukko	ɑː kː o s l u kː o
aakkosnimi	ɑː kː o s n i m i
aakkosta	ɑː kː o s t ɑ
aakkosta	ɑː kː o s t ɑˣ
aakkostaa	ɑː kː o s t ɑːˣ
aakkoston	ɑː kː o s t o n
aakkostuksen	ɑː kː o s t u k s e n
aalloittaisuuden	ɑː lː o i̯ tː ɑ i̯ s uː d e n
aallokas	ɑː lː o k ɑ s
aallokkoinen	ɑː lː o kː o i̯ n e n
aallonmurtaja	ɑː lː o n m u r t ɑ j ɑ
aallot	ɑː lː o t
aallota	ɑː lː o t ɑˣ
aallotar	ɑː lː o t ɑ r
aallottaa	ɑː lː o tː ɑːˣ
aallotuskartonki	ɑː lː o t u s k ɑ r t o ŋ k i
aaloe	ɑː l o e
aalto	ɑː l t o
aalto	ɑː l t o
aaltoa	ɑː l t o ɑ
aaltoa	ɑː l t o ɑˣ
aaltoaminen	ɑː l t o ɑ m i n e n
aaltoileminen	ɑː l t o i̯ l e m i n e n
aaltoileva	ɑː l t o i̯ l e ʋ ɑ
aaltoilla	ɑː l t o i̯ lː ɑˣ
aaltoillen	ɑː l t o i̯ lː e n
aaltoimpedanssi	ɑː l t o i m p e d ɑ n sː i
aaltonauha	ɑː l t o n ɑ u̯ h ɑ
aaltopaketti	ɑː l t o p ɑ k e tː i
aaltoryhmä	ɑː l t o r y h m æ
aaltosulku	ɑː l t o s u l k u
aaltoviiva	ɑː l t o ʋ iː ʋ ɑ
aaltovoima	ɑː l t o ʋ o i̯ m ɑ
aami	ɑː m i
aamiainen	ɑː m i ɑ i̯ n e n
aamiaismajoitus	ɑː m i ɑ i̯ s m ɑ j o i̯ t u s
aamiaistaa	ɑː m i ɑ i̯ s t ɑːˣ
aamu	ɑː m u
aamu	ɑː m u
aamuhämärä	ɑː m u h æ m æ r æ
aamukaksi	ɑː m u k ɑ k s i
aamukaksitoista	ɑː m u k ɑ k s i t o i̯ s t ɑ
aamukolme	ɑː m u k o l m e
aamukuusi	ɑː m u k uː s i
aamukymmenen	ɑː m u k y mː e n e n
aamulepakko	ɑː m u l e p ɑ kː o
aamuneljä	ɑː m u n e l j æ
aamupala	ɑː m u p ɑ l ɑ
aamupesu	ɑː m u p e s u
aamupäivä	ɑː m u p æ i̯ ʋ æ
aamuseitsemän	ɑː m u s e i̯ t s e m æ n
aamutee	ɑː m u t eː
aamutyö	ɑː m u t y ø̯
aamutähti	ɑː m u t æ h t i
aamuviisi	ɑː m u ʋ iː s i
aamuvuoro	ɑː m u ʋ u o̯ r o
aamuyhdeksän	ɑː m u y h d e k s æ n
aamuyksi	ɑː m u y k s i
aamuyksitoista	ɑː m u y k s i t o i̯ s t ɑ
aamuyö	ɑː m u y ø̯
aapasara	ɑː p ɑ s ɑ r ɑ
aapasuo	ɑː p ɑ s u o̯
aapeli	ɑː p e l i
aapinen	ɑː p i n e n
aapo	ɑː p o
aappo	ɑː pː o
aaretti	ɑː r e tː i
aari	ɑː r i
aaria	ɑː r i ɑ
aarne	ɑː r n e
aarni	ɑː r n i
aarnialue	ɑː r n i ɑ l u eˣ
aarnikotka	ɑː r n i k o t k ɑ
aarniometsä	ɑː r n i o m e t s æ
aarno	ɑː r n o
aaro	ɑː r o
aaron	ɑː r o n
aaroninsauva	ɑː r o n i n s ɑ u̯ ʋ ɑ
aarre	ɑː rː eˣ
aarre	ɑː rː eˣ
aarrearkku	ɑː rː eˣ ɑ r kː u
aarrelöytö	ɑː rː eˣ l ø y̯ t ø
aarresaari	ɑː rː eˣ s ɑː r i
aasa	ɑː s ɑ
aasainuskoinen	ɑː s ɑ i̯ n u s k o i̯ n e n
aasi	ɑː s i
aasia	ɑː s i ɑ
aasitamma	ɑː s i t ɑ mː ɑ
aatami	ɑː t ɑ m i
aate	ɑː t eˣ
aateli	ɑː t e l i
aatelinen	ɑː t e l i n e n
aatelismies	ɑː t e l i s m i e̯ s
aatelisnainen	ɑː t e l i s n ɑ i̯ n e n
aateloida	ɑː t e l o i̯ d ɑˣ
aateloiminen	ɑː t e l o i̯ m i n e n
aatelointi	ɑː t e l o i̯ n t i
aato	ɑː t o
aatos	ɑː t o s
aatos	ɑː t o s
aatra	ɑː t r ɑ
aatto	ɑː tː o
aatto	ɑː tː o
aava	ɑː ʋ ɑ
aava	ɑː ʋ ɑ
