aach	ɔː x
aadler	ɔː t l ɐ
aam	ɔː m
aan	ɔː n
aananner	ɔː n a n ɐ
aanannerbappe	ɔː n a n ɐ p a p ə
aanannerbinne	ɔː n a n ɐ p i n ə
aanannergehn	ɔː n a n ɐ k eː n
aanbacke	ɔː n p a k ə
aanbappe	ɔː n p a p ə
aanbasse	ɔː n p a s ə
aanbiede	ɔː n p iː r ə
aanfang	ɔː n f a ŋ
aanfank	aː n f a ŋ k
aanfenger	ɔː n f ɛ ŋ ɐ
aanstreiche	ɔː n ʃ t r a ɪ̯ ç ə
aanstrengung	ɔː n ʃ t r ɛ ŋ u ŋ
aanung	ɔː n u ŋ
aanzugh	ɔː n t͡s uː ç
aapehoer	ɔː p ə h oː ɐ
aarem	ɔː r m̩
aarmel	ɔː r m l̩
aarmut	ɔː r m uː t
aarsch	ɔː ʃ
aarschback	ɔː ʃ p a k
aarschdaarem	ɔː ʃ t ɔː r m̩
aarschdäärem	ɔː ʃ t ɛː r m̩
aarschloch	ɔː ʃ l o x
aart	ɔː t
aarvet	ɔː r v ə t
aarveter	ɔː r v ə t ɐ
abakaschi	a p a k a ʃ i
abakatt	a p a k a t
acht	a x t
achtzen	a x͡t s n̩
aff	a f
arschentina	a r ʃ n̩ t iː n a
au	a ʊ̯
australje	a ʊ̯ ʃ t r a l j ə
auto	a ʊ̯ t o
aviong	a v i ɔ ŋ
awer	a v ə ɾ
awer	a w ɐ
baad	p ɔː t
baade	p ɔː r ə
baadezimmer	p ɔː r ə͡t s i m ɐ
baam	p ɔː m
baart	p ɔː t
banann	p a n a n
been	p eː n
beer	p eː ɐ
beise	p a ɪ̯ s ə
belche	p e l ç ə
benutze	p ə n u͡t s ə
berrich	p ɛ r i ç
blaat	p l ɔː t
blau	p l a ʊ̯
blumm	p l u m
bohn	p oː n
bolasch	p o l a ʃ
boot	p oː t
bopp	p o p
brasil	p r a s i l
braun	p r a ʊ̯ n
brenne	p r ɛ n ə
brick	p r i l
brille	p r i l ə
brod	p r oː t
bruch	p r u x
brumme	p r u m ə
brunne	p r u n ə
brust	p r u ʃ t
bub	p uː p
buch	p u x
buger	p uː k ɐ
butter	p u t ɐ
bäer	p ɛː ɐ
bërinschela	p e r i n ʃ e l a
casal	k a s a l
china	ʃ iː n a
daa	t ɔː
daab	t ɔː p
daabheet	t ɔː p h eː t
daabheit	t ɔː p h a ɪ̯ t
daaf	t ɔː f
daafe	t ɔː f ə
daafel	t ɔː f l̩
daagh	t ɔː x
daaghs	t ɔː x s
daal	t ɔː l
daarem	t ɔː r m̩
dach	t a x
dachs	t a k s
damm	t a m
damp	t a m p
dank	t a ŋ k
danke	t a ŋ k ə
dann	t a n
das	t a s
de	t ə
deer	t eː ɐ
deitsch	t a ɪ̯͡t ʃ
deitschland	t a ɪ̯͡t ʃ l a n t
deivel	t a ɪ̯ v l̩
denne	t ɛ n ə
der	t ɐ
dich	t i ç
die	t iː
dier	t iː ɐ
disch	t i ʃ
do	t oː
dod	t oː t
draum	t r a ʊ̯ m
drehe	t r eː ə
drei	t r a ɪ̯
dreive	t r a ɪ̯ v ə
dreizen	t r a ɪ̯͡t s n̩
drinke	t r i ŋ k ə
drock	t r o k
du	t uː
du	t ə
dulle	t u l ə
dun	t oː n
dun	t uː n
där	t ɛː
een	eː n
eer	eː ɐ
eesterreich	eː ʃ t ə r a i ç
eher	eː ɐ
eherlich	eː ɐ l i ç
eherlichkeet	eː ɐ l i ç kʰ eː t
eherlichkeit	eː ɐ l i ç kʰ a ɪ̯ t
eich	a ɪ̯ ç
ellef	e l ə f
en	eː n
en	n̩
enn	ɛ n
eppel	e p l̩
er	ɛ ɐ
erreb	ɛ r ə p
esse	e s ə
faan	f ɔː n
faare	f ɔː r ə
fabrick	f a p r i k
fatter	f a t ɐ
faul	f a ʊ̯ l
faust	f a ʊ̯ ʃ t
fayer	f a j ə ɾ
februa	f eː p r u aː
feier	f a ɪ̯ ɐ
feind	f a ɪ̯ n t
fenster	f ɛ n ʃ t ɐ
ferbasse	f ɐ p a s ə
ferzen	f ɛ͡t s n̩
fest	f e ʃ t
fier	f iː ɐ
finger	f i ŋ ɐ
finnef	f i n ə f
finnefzen	f i n ə f͡t s n̩
fisch	f i ʃ
fluss	f l u s
foghel	f oː x l̩
forreb	f ɔ r ə b
fraa	f r ɔː
frankreich	f r a ŋ k r a ɪ̯ ç
franzeesisch	f r a n͡t s eː s i ʃ
freind	f r a ɪ̯ n t
frihling	f r iː l i ŋ
froh	f r oː
frohe	f r oː ə
froynt	f ɾ ɔ j n t
fufzen	f u f͡t s n̩
fusball	f uː s p a l
gaarte	k ɔː t ə
gaul	k a ʊ̯ l
gedrenk	k ə t r ɛ ŋ k
gehn	k eː n
geld	k e l t
gelechenheet	k ə l e ç n̩ h eː t
gelleb	k e l ə p
gellebrieb	k e l ə p r iː p
gern	k ɛ n
gescherr	k ə ʃ ɛ r
gesetzlich	k ə s e t͡s l i ç
gesicht	k ə s i ç t
gester	k e ʃ t ɐ
gesund	k ə s u n t
gesundheet	k ə s u n t h eː t
gesundheit	k ə s u n t h a ɪ̯ t
gift	k i f t
glaas	k l ɔː s
glaave	k l ɔː v ə
glick	k l i k
glicklich	k l i k l i ç
gold	k o l t
gott	k ɔ t
graas	k r ɔː s
grau	k r a ʊ̯
griecheland	k r iː ç ə l a n d
grien	k r iː n
gros	k r oː s
grummbeer	k r u m p eː ɐ
grund	k r u n t
haan	h ɔː n
hauptstatt	h a u p t ʃ t a t
haus	h a ʊ̯ s
haut	h a ʊ̯ t
heilich	h a ɪ̯ l i ç
heit	h a ɪ̯ t
hellfe	h e l f ə
herr	h ɛ r
herrebst	h ɛ r ə p ʃ t
herz	h ɛ͡t s
hesslich	h e s l i ç
hex	h e k s
hexenacht	h e k s ə n a x t
hie	h iː
hier	h iː ɐ
himd	h i m t
himmel	h i m l̩
hochtsayt	h ɔ x t s a j t
hon	h ɔ n
hoss	h o s
hund	h u n t
hunsrickisch	h u n s r i k i ʃ
ich	i ç
ihm	iː m
ihn	iː n
ihns	iː n s
immer	i m ɐ
insel	i n s l̩
internet	i n t ɐ n e t
italje	i t a l j ə
januar	j aː n u aː
joher	j oː ɐ
johreszeid	j oː r ə s͡t s a ɪ̯ t
kamiong	k h a m i ɔ ŋ
