agaan	ɑ̀ k ɑ̀ː n
aho	ʔ a h o
ashdlaʼ	ɑ̀ ʃ tˡ ɑ̀ ʔ
ashdlaʼáadah	ɑ̀ ʃ tˡ ɑ̀ ʔ ɑ̂ː t ɑ̀ h
atsiighaʼ	ɑ̀ t͡sʰ ìː ɣ ɑ̀ ʔ
atsá	ʔ à t s á
basdéél	p ɑ̀ s t éː l
beeldléí	p ɛː l ˩ tˡ ɛ i
begay	b ɪ ɡ e ɪ
bideiidę́ęʼgo	p ɪ̀ t ɛ̀ ìː t ẽ̂ː ʔ k ò
bikáaʼgi	p ɪ̀ kʰ á à ʔ k ɪ̀
bikááʼ	b ɪ kʰ áː ʔ
bilagáana	p ɪ̀ l ɑ̀ k ɑ̂ː n ɑ̀
bináká	p ɪ̀ n ɑ́ kʰ ɑ́
bitsiighąąʼ	p ɪ̀ t͡sʰ ìː ɣ ɑ̃̀ː ʔ
bitsilly	b ɪ t s ɪ l i
biyiʼdi	p ɪ̀ ʝ ɪ̀ ʔ t ɪ̀
bił	p ɪ ɬ
bááh	p áː h
béeso	p êː s ò
béégashii	p éː k à ʃ ìː
béésh	p éː ʃ
chaaʼ	t ʃʰ aː ʔ
chʼah	t ʃ ʔ a h
chʼíhonítʼiʼ	t ʃ ʔ ɪ́ h ò n ɪ̃́ t ʔ ɪ̀ ʔ
chʼííłmáás	t͡ʃ ʼ íː ɬ m ɑ́ː s
chąąʼ	t ʃʰ ãː ʔ
damóo	t ɑ̀ m ôː
damį́įgo	t ɑ̀ m ĩ́ ĩ̀ k ò
damį́įgo	t ɑ̀ m ĩ̂ː k ò
diimáás	t ìː m áː s
dimáás	t ɪ̀ m ɑ́ː s
diyin	t ɪ̀ j ɪ̀ n
diʼil	t ɪ̀ ʔ ɪ̀ l
dooda	t oː t a
dził	t s ɪ ɬ
dééh	t éː h
dóola	t ôː l ɑ̀
dį́į́ʼ	t ĩ́ː ʔ
dį́į́ʼtsʼáadah	t ĩ́ː ʔ t͡s ʼ ɑ̂ː t ɑ̀ h
gad	k à t
golchóón	k ò l t͡ʃ óː n
géeso	k êː s o
gídí	k ɪ́ t ɪ́
gíinisi	k îː n ɪ̀ s ɪ̀
haiłmáás	h ɑ̀ ɪ̀ ɬ m ɑ́ː s
hastą́ʼáadah	h ɑ̀ s t ɑ̃́ ʔ ɑ̂ː t ɑ̀ h
hastą́ą́	h ɑ̀ s tʰ ɑ̃́ː ʔ
haʼooméya	h ɑ̀ ʔ òː m ɛ́ j ɑ̀
hwéeldi	hʷ êː l t ɪ̀
háájiʼjin	h ɑ́ː t͡ʃ ɪ̀ ʔ t͡ʃ ɪ̀ n
iimáás	ìː m ɑ́ː s
iithiyópya	ìː θ ɪ̀ j ó pʰ j ɑ̀
iiłmáás	ìː ɬ m ɑ́ː s
ilí	ʔ ɪ̀ l ɪ́
iłhóyééʼ	ɪ̀ ɬ x ó ʝ éː ʔ
jaaʼabaní	t ʃ àː ʔ à p à n í
jooł	t͡ʃ òː ɬ
jélii	t͡ʃ ɛ́ l ìː
jíbitoo	d͡ʒ ɪ́ p ɪ̀ t òː
jíísas	d͡ʒ íː s ɑ̀ s
jóojah	t͡ʃ ôː t͡ʃ ɑ̀ h
jį́	t ʃ ĩ́
káábin	kʰ ɑ́ː p ɪ̀ n
késhmish	kʰ ɛ́ ʃ m ɪ̀ ʃ
kǫʼ	k͡x õ ʔ ˩
maakiimaakii	m ɑ̀ː k ìː m ɑ̀ː k ìː
mandagíiya	m ɑ̀ n t ɑ̀ k îː j ɑ̀
máaz	m ɑ̂ː z
mágí	m ɑ́ k ɪ́
mágítsoh	m á k í t sʰ ò h
méhigo	m ɛ́ h ɪ̀ k ò
mííl	m íː l
mókiwii	m ó kʰ ɪ̀ w ìː
mósí	m ó s ɪ́
naabeehó	n ɑ̀ː p èː h ó
