attraction	ə t͡ʃ ɹ æ k ʃ ɪ̈ n
attributive	ə t ʃ ɹ ɪ b j u ɾ ɪ v
attrition	ə t ɹ ɪ ʃ ə n
aula	ɔː l a
authenticity	ɑ θ ə n t ɪ s ɪ ɾ i
authenticity	ɑ θ ɛ n t ɪ s ɪ ɾ i
auto	ɑ ɾ o ʊ
auto	ɔ ɾ o ʊ
automate	ɒ ɾ o ʊ m e ɪ t
automatic	ɔ ɾ ə m æ ɾ ɪ k
autumn	ɔ ɾ m̩
autumn	ɔ ɾ ɪ̈ m
avocado	æ v ə k ɑ ɾ o ʊ
avocado	ɑ v ə k ɑ ɾ o ʊ
ayuh	ˀe ɪ ʌˀ
baa	b æ
baa	b æ̰ˀ æ̰ˀ æ̰ˀ æ̰ˀ
baa	b æ̰ː
baa	b ɑ
back	b a k
back	b æ k
bacterial	b æ k t ɪ ə ɹ ɪ ə ɫ
badder	b æ ɾ ɚ
baedeker	b e ɪ d ə k ə ɹ
bagel	b e̞ ɪ̯ ɡ ɫ̩
bail	b e ə̯ ɫ
bail	b e ɪ̯ ə ɫ
balancelle	b æ l ə n s e ɫ
baldric	b ɔː ɫ d ɹ ɪ k
bale	b e ə̯ ɫ
bale	b e ɪ̯ ə ɫ
balt	b ɑ l t
balt	b ɔː l t
bar	b ɑ ɹ
bar	b ɑ ˞
bard	b ɑ ɹ d
barn	b aː n
barn	b ɐː n
barn	b ɑ ɹ n
barn	b ɑː n
barn	b ɒ ə n
barrel	b æ ɹ ə ɫ
barrel	b ɛ ɚ ɹ ə ɫ
barter	b ɑ ɹ ɾ ə ɹ
basal	b e ɪ z ə ɫ
bashful	b æ ʃ f ə ɫ
bashful	b æ ʃ f ʊ ɫ
bashkortostan	b ɑ ʃ k ɔ ɹ t o ə̯ s t ɛ ə n
bath	b a θ ⁓ b æ θ
bath	b æ θ ⁓ b ɛ ə θ ⁓ b e ə θ
bath	b ɑː t̪ʰ
bath	b ɑː θ
batter	b æ ɾ ɚ
battle	b æ t ɫ̩
battle	b æ ɾ ɫ̩
batty	b æ ɾ i
baulk	b ɔ ɫ k
bautzen	b a ʊ t s ə n
beagle	b iː ɡ ə ɫ
beater	b i ɾ ɚ
beatles	b iː ɾ ɫ̩ z
bedding	b ɛ ɾ ɪ ŋ
bedight	b ɪ d ʌ ɪ t
beetle	b i ɾ ə ɫ
befang	b ə f æ ŋ
behavior	b ɪ h e ɪ v j ɚ
belarus	b e ɪ̯ l ɪ̈ ɹ u s
belarus	b ɛ l ɪ̈ ɹ u s
berlin	b ɚ l ɪ n
bestride	b ɪ s t ɹ a ɪ d
better	b ɛ ɾ ɚ
betting	b ɛ ɾ ɪ ŋ
between	b ɪ tʰ w i n
bidet	b ɨ d e ɪ
bike	b ɐ ɪ k
bill	b ɪ ɫ
bing	b i ŋ
bird	b ɜ ɪ d
bird	b ɝ ɖ
bitey	b a ɪ̯ ɾ i
bitter	b ɪ ɾ ɚ
bittersweet	b ɪ ɾ ɚ s w i ʔ t̚
blem	b l ɛ m
bluntness	b l ʌ n ʔ n ɪ s
boated	b o ʊ̯ ɾ ɨ d
boating	b o ʊ̯ ɾ ɪ ŋ
boatings	b o ʊ̯ ɾ ɪ ŋ z
bockety	b ɑ k ə t iː
boded	b o ʊ̯ d ɨ d
body	b ɑ ɾ i
bodybuilder	b ɑː ɾ i b ɪ ɫ ɾ ɚ
bother	b ɑ ð ɚ
bottle	b ɑ ɾ ɫ̩
bottler	b ɑ ɾ l̩ ɚ
bottom	b ɑ ɾ ə m
bottoms	b ɑ ɾ ə m s
bountiful	b a ʊ̯ n ɾ ə f ə ɫ
boutye	b ɐ ʏ t͡ʃ ə
brakeforce	b ɹ e ɪ k f ɔː ɹ s
brattily	b ɹ æ ɾ ɪ l i
bratty	b ɹ æ ɾ i
breach	b ɹ iː t ʃ
break	b ɹʷ e ɪ̯ k
bricolage	b ɹ i k o ʊ l ɑ ʒ
bridder	b ʀ i d ɐ
brighten	b ɹ a ɪ̯ ʔ n̩
brighter	b ɹ a ɪ̯ ɾ ɚ
brightest	b ɹ a ɪ̯ ɾ ɪ s t
brighton	b ɹ a ɪ̯ ʔ ə n
britain	b ɹ ɪ ɾᵊ n̩
britain	b ɹ ɪ ʔᵊ n̩
british	b ɹ ɪ ɾ ɪ ʃ
british	b ɹ ɪ ʔ ɪ ʃ
broha	b ɹ o ʊ̯ h ɑ
bréch	b ʀ ə ɕ
builder	b ɪ ɫ ɾ ɚ
burglar	b ɚ ɡ l ɚ
butted	b ʌ ɾ ɨ d
butter	b ʌ ɾ ɚ
butter	b ʌ ʔ ɚ
butterfly	b ʌ t ə f l a ɪ
butterfly	b ʌ ɾ ɚ f l a ɪ
butting	b ʌ ɾ ɪ ŋ
buttings	b ʌ ɾ ɪ ŋ z
buttock	b ə ɾ ə k
button	b ʌ ʔ n̩
béi	b ɜ ɪ̯
cacao	k ə kʰ a ʊ̯
cacao	k ə kʰ e ɪ̯ o ʊ̯
cacoepy	k ə k ə ʊ ɪ p ɪ
cadel	kʰ e i d l̩
cain	kʰ e ɪ n
caisson	k e ɪ s n̩
caisson	k e ɪ s ɑ n
cake	kʰ e ɪ k
calendar	kʰ æ l ə n d ɚ
call	kʰ ɑ l
call	kʰ ɔ l
called	k ɔ l d
cam	k æ m
cambodia	k æ m b o ʊ d i ə
came	kʰ e ɪ̯ m
camp	kʰ e ə m p
camp	kʰ ɛ ə m p
can	kʰ n̩
can	kʰ æ n ~ kʰ ɛ ə n ~ kʰ e ə n
can	kʰ ə n
canada	kʰ e ə n ə d ə
canada	kʰ ɛ ə n ə d ə
canadia	kʰ ə n e ɪ̯ ɾ i ə
canadian	kʰ ə n e ɪ ɾ i ə n
cane	kʰ e ɪ n
cap	kʰ æ p
cap'n	k æ ʔ m̩
cappadocia	k æ p ə d o ʊ ʃ ə
caramba	k a ɹ a m b a
card	kʰ ɑ ɹ d
care	k e ə̯ ɻ
care	k ɛ ə̯ ɻ
carload	kʰ ɑ ɹ l o ʊ d
carton	kʰ ɑ ɹ ʔ n̩
carving	k ɑ ɹ v ɪ ŋ
casserole	k æ s ə ɹ ɔ̹ ɫ
casserole	k æ s ɚ ɔ̹ ɫ
cat	kʰ æ t
cat	kʰ æ t̚
catamite	kʰ æ ɾ ə m a ɪ t
cater	kʰ e ɪ̯ ɾ ɚ
cathedra	k ə θ iː d ɹ ə
catty	kʰ æ ɾ i
caucasian	k ɔː k e ɪ ʒ ə n
caught	kʰ oː t
caught	kʰ ɔ t
caught	k̠ʰ oː t
cause	kʰ ɔː z
caused	kʰ ɑ̟ z d
caused	kʰ ɒ z d
cauterize	kʰ ɑ ɾ ə ɹ a ɪ z
cauterize	kʰ ɔ ɾ ə ɹ a ɪ z
cavity	kʰ æ v ɪ ɾ i
ceili	k e ɪ l i
center	s ɛ ɾ̃ ɚ
center	s ɪ ɾ̃ ɚ
centre	s ɛ ɾ̃ ɚ
centre	s ɪ ɾ̃ ɚ
centres	s ɪ ɾ̃ ɚ s
cereal	s ɪ ə ɹ iː ə ɫ
certification	s ɚ ɾ ɪ f ɪ k e ɪ ʃ ə n
chance	t ʃʰ æ n s ~ t ʃʰ a n s
chance	t ʃʰ ɐː n s
chance	t ʃʰ ɑː n s
chance	t ʃʰ ɛ ə n s ~ t ʃʰ e ə n s
chaparral	ʃ æ p ɚ ɹ æ l
chaparral	ʃ æ p ɚ ɹ ɛ l
chaparral	ʃ æ p ɪ̈ ɹ æ l
chaparral	ʃ æ p ɪ̈ ɹ ɛ l
char	t ʃ ɑ ɹ
char	t ʃ ɑ ˞
charnel	t ʃ ɑː ɹ n ə l
chartreuse	ʃ ɑ ɹ t ɹ uː s
chartreuse	ʃ ɑ ɹ t ɹ uː z
chastity	t ʃ æ s t ɪ ɾ i
chatted	t͡ʃ æ ɾ ɨ d
chatty	t ʃ æ ɾ i
chaver	h ɑ v ɛ ɹ
cheated	t͡ʃ i ɾ ɨ d
children	t͡ʃ ɪ l d͡ʒ ɹ ə n
china	t͡ʃʰ a ɪ̯ n ə
choo	t ʃ uː
chortle	t͡ʃ ɔ ɹ ɾ ɫ̩
cicada	s ɪ̈ kʰ e ɪ̯ ɾ ə
cicada	s ɪ̈ kʰ ɑ ɾ ə
cinnabar	s ɪ n ə b ɑ ɹ
circle	s ɜː k ə ɫ
circle	s ɝ k ə ɫ
circuit	s ɝ k ə t
cital	s a ɪ d l̩
citation	s a ɪ tʰ e ɪ ʃ n̩
cited	s ɐ ɪ̯ ɾ ɨ d
citing	s a ɪ̯ ɾ ɪ ŋ
clay	k l̥ e ɪ
clean	kʰ l̥ ĩ n
cleanup	k l iː n ʌ p
click	k l̥ʰ ɪ k
cliff	k l̥ʰ ɪ f
climb	kˡ l a ɪ m
clip	k l̥ʰ ɪ p
clit	k l̥ʰ ɪ t
clitoris	k l̴ ɪ ɾ ə ɹ ɪ s
clutter	k l ʌ ɾ ɚ
coach	kʰ o ʊ̯ t ʃ
coated	kʰ o ʊ̯ ɾ ɨ d
coating	kʰ o ʊ̯ ɾ ɪ ŋ
coatings	kʰ o ʊ̯ ɾ ɪ ŋ z
coconut	kʰ o ʊ̯ k ə n ʌ t
come	kʰ ʌ m
comfort	kʰ ʌ ɱ f ɚ t
comfortable	kʰ ɐ ɱ f ɾ ɘ b l̩
comfortable	kʰ ɐ ɱ f ɾ ɘ b ɯ
comfortable	kʰ ʌ ɱ f ə tʰ ə̥ b ɫ̩
comfortable	kʰ ʌ ɱ f ɚ ɾ ə b ɫ̩
comfortable	kʰ ʌ ɱ f ɾ ɚ b ɫ̩
comfy	kʰ ʌ ɱ f i
committee	k ɑ m ɪ t iː
committee	k ə m ɪ t i
community	k ə m j u n ə ɾ i
compare	k ə m p e ɚ
compare	k ə m p e ɹ
compare	k ə m p ɛ ɚ
compare	k ə m p ɛ ɹ
comptroller	k ə m p t ɹ o ʊ l ə ɹ
comptroller	k ə m t ɹ o ʊ l ə ɹ
computer	k ə m pʰ j u ɾ ɚ
conceptual	kʰ ə n s ɛ p t͡ʃ u l̩
confer	kʰ ə̥ ɱ f ɚ
conference	kʰ ɑ ɱ f ɹ n̩ s
conference	kʰ ɑ ɱ f ɹ ə n s
confident	kʰ ɑ ɱ f ə d n̩ t
confirmation	kʰ ɑ ɱ f ɚ m e ɪ ʃ n̩
conservancy	k ə n s ɜː v ə n s ɪ
consider	k ə n s ɪ ɾ ɚ
consigliere	k ɒ n s ɪ l j ɛ ɹ i
consonantal	kʰ ɑ n s ə n ə n ɾ ə ɫ
contestant	k ə n tʰ ɛ s t ə n t
continent	kʰ ɑ n ʔ ɪ n ə n t
conversation	kʰ ɑ ɱ v ɚ s e ɪ ʃ n̩
convert	kʰ ɑ ɱ v ɚ t
convert	kʰ ə̥ ɱ v ɚ t
corncob	k ɔ ɹ n k ɑ b
corrode	k ə ɹ o ʊ̯ d
corrode	k ɚ ɹ o ʊ̯ d
cot	kʰ a t̚
cot	kʰ ɑ t̚
coterie	k o ʊ ɾ ə ɹ i
cottage	k ɑ ɾ ɪ d ʒ
cotton	k ɑ ʔ n̩
cougar	kʰ u ɡ ɚ
coulda	kʰ ʊ d ə
couldn't	k ʊ n ʔ
countable	kʰ a ʊ n ɾ ə b ɫ̩
countenance	kʲʰ æ ũ̯ ʔ ɪ̆ n ə n s
counter	kʰ a ʊ̯ ɾ̃ ɚ
country	kʰ ʌ t͡ʃ ɹ i
cousin	kʰ ɐ z ə n
coventry	kʰ ɑ v ə n t ʃ ɹ i
crayon	k ɹ e ə n
crayon	k ɹ ɛ ɔ n ~ k ɹ æ ɔ n
crayon	kʰ ɹ e ɪ ɑ n
craytur	k ɹ eː t̪ ə ɹ
creation	k ɹ iːʲ e ɪ ʃ ɘ n
creep	kʰ ɹ iː p
crikey	k ɹ ɑ e̯ k ɪ i̯
crocodile	kʰ ɹ ɑ k ə d a ɪ ɫ
croissant	kʰ ɹ ə s ɑ n t
croton	k ɹ o ʊ̯ ʔ n̩
crumble	k ɹ ʌ m b l̩
crumble	k ɹ ʌ m b ɪ̈ l
cryptography	k ɹ̥ ɪ p tʰ ɒ ɡ ɹ ə f iː
cuba	k j uː b ə
cuban	k j u b ə n
cuban	k j uː b ə n
cuban	k j ʉː b ə n
cue	kʰ j̥ üː
cum	kʰ ʌ m
cunt	kʰ ʌ̃ n tʰ
cur	k ɝ
cursed	kʰ ɝ s t
cursed	kʰ ɝ s ɪ̈ d
curtain	k ɝ ʔ n̩
curves	kʰ ɝ v
cylinder	s ɪ l ɪ̈ n d ɚ
cymbal	s ɪ m b ɫ̩
cãntãtoru	k ə n t ə t o rʷ
cãntãtoru	k ə n t ɨ t o rʷ
cãntãtoru	k ɨ n t ə t o rʷ
cãntãtoru	k ɨ n t ɨ t o rʷ
daachdecker	d aː ʁ d æ k ɐ
dance	d æ n s ~ d a n s
dance	d ɑː n s
dance	d ɛ ə n s ~ d e ə n s
dandle	d æ n d ə ɫ
daniel	d a n j ə l
data	d æ ɾ ə
daughter	d ɔ ɾ ɚ
dayum	d e ə j ə m
dayum	d æ̙ j ə m
dean	d ĩː n
deity	d e ɪ ə ɾ i
deity	d i ə ɾ i
delightful	d ə l a ɪ̯ t̚ f ə ɫ
delta	d ɛ ɫ t ə
density	d ɛ n s ə ɾ i
dental	d ɛ n ɾ ɫ̩
dental	d ɛ ɾ̃ ɫ̩
desirable	d ɪ z a ɪ j ə ɹ ə b ə ɫ
desktop	d ɛ s k t ɑ p
desktops	d ɛ s k t ɑ p s
detail	d i tʰ e ɪ ɫ
diabolical	d a ɪ ə b ɑ l ɪ k ə ɫ
didn't	d ɪ ɾ n̩ t
didn't	d ɪ ʔ n̩ t
differential	d ɪ f ə ɹ ə n ʃ ə ɫ
dildo	d ɪ ɫ d o ʊ
dingwad	d ɪ ŋ w ɑ d
dinner	d ɪ n ɚ
dirty	d ɝ ɾ i
disentangle	d ɪ s ɪ n t æ ŋ ɡ ə ɫ
disentitle	d ɪ s ɪ n t a ɪ t ə ɫ
dismal	d ɪ z m ə ɫ
dismantle	d ɪ s m æ̃ n ɫ̩
dismantle	d ɪ s m æ̃ n ɾ ɫ̩
dispel	d ɪ s p ɛ ɫ
dispensable	d ɪ s pʰ ɛ n s ə b ɫ̩
dissemble	d ɪ s ɛ m b ə ɫ
distill	d ɪ s t ɪ ɫ
ditto	d ɪ ɾ o ʊ
dniester	d n ɪ e s t ə
dniester	n iː s t ə
dockize	d ɒ k ɑ ɪ̯ z
dojo	d o ʊ̯ d͡ʒ o ʊ̯
dole	d o ʊ̯ ɫ
don't	d o ʊ̯ ʔ t̚
dope	d o ʊ p
double	d ʌ b ɫ
dower	d a ʊ ɚ
drawn	d ɹ ɑ n
drawn	d ɹ ɔ n
drawn	d ɹ ɔː n
dreich	d ɹ iː x
drill	d ɹ ɪ ɫ
drink	d ɹ ɪ ŋ k
drink	d͡ʒ ɹ ɪ ŋ k
drive	d͡ʒ ɹ a ɪ v
drop	d ɹ ɑ p
drop	d͡ʒ ɹ ɑ p
drown	d͡ʒ ɹ a ʊ n
drug	d ɹ ʌ ɡ
drug	d̠͡ɹ̠ ˔ʷ ʌ ɡ
drugs	d ɹ ʌ ɡ z
drugs	d͡ʒ ɹ ʌ ɡ z
dude	d ʉː u̯ d
dyadic	d a ɪ æ ɾ ɪ k
eaten	iː ʔ n
eating	i ɾ ɪ ŋ
eccentricity	ɛ k s ə n t ɹ ɪ s ə ɾ i
edit	ɛ ɾ ɪ ʔ t̚
emphasis	e ɱ f ə s ə s
emphasis	e ɱ f ə s ɪ s
emphasis	ɛ ɱ f ə s ə s
emphasis	ɛ ɱ f ə s ɪ s
enabled	ɛ n e ɪ b ə ɫ d
encouragement	ɪ n k ʌ ɹ ɪ d ʒ m ə n t
enter	ɛ ɾ̃ ɚ
enter	ɪ ɾ̃ ɚ
entertain	ɛ ɾ̃ ɚ tʰ e ɪ n
epigraphy	ʔ ɨ pʰ ɪː ɡ ɹ ə f iː
epimutation	ɛ p ɪ m j u t e ɪ ʃ ə n
epitaph	ɛ p ɪ t æ f
epitomic	e p iː t ɔ m ɪ k
epitomic	ɛ p ɪ t ɑ m ɪ k
epitomic	ɛ p ɪ t ɒ m ɪ k
ersatz	ɛ ə ɹ s ɑː t s
essential	ə s ɛ n t ʃ ə l
esteem	ɛ s t iː m
european	j ɝ ə p i ə n
evidence	ɛ v ə ɾ ə n s
ew	ɪ̃ ʉ̃͡u
fahrlehrer	f aː l eː ʁ ɐ
farrand	f æ ɹ ə n d
farrand	f æ ɹ ə n t
fastness	f æ s n ə s
fatal	f e ɪ ɾ ɫ̩
fatality	f e ɪ̯ tʰ æ l ɪ ɾ i
fatally	f e ɪ̯ ɾ l̩ i
fated	f e ɪ̯ ɾ ɨ d
fattening	f æˀ ə n ɪ ŋ
fatuity	f ə t uː ɨ ɾ i
fauces	f ɔː s iː z
fauxtograph	f oː t ə ɡ ɹ ɑː f
fauxtography	f oː t ɑ ɡ ɹ ə f i
feel	f iː ɫ
fence	f ɛ n s
fence	f ɛ n t s
fencer	f ɛ n s ɚ
fettuccini	f ɛ ɾ ə t͡ʃʰ i n i
feudal	f j u ɾ ɫ̩
feudal	f j uː d ɫ̩
fiddle	f ɪ ɾ l̩
fight	f ʌ ɪ t
fighter	f a ɪ̯ ɾ ɚ
fighty	f ʌ ɪ ɾ i
file	f a ɪ̯ ɫ
filling	f ɪ ɫ l ɪ ŋ
fire	f a ɪ ɚ
fire	f äː ɚ
firm	f ɝ m
fitra	f ɪ t ɾ a
fitra	f ɪ tˤ ɾ a
fitz	f ɪ t s
flaithiúlach	f l æ h uː l ə x
flatter	f l æ ɾ ɚ
flotation	f l o ʊ̯ tʰ e ɪ̯ ʃ ɪ̈ n
flouted	f l a ʊ̯ ɾ ɨ d
flouting	f l a ʊ̯ ɾ ɪ ŋ
fluid	f l u w ɪ d
flutter	f l ʌ ɾ ɚ
foot	f ɵ ʔ t
foot	f ʊ t
foot	f ʊ tʰ
foot	f ʊ t̚
foot	fʷ ʊ t̚
football	f ʊ ʔ b ɔː l
football	f ʊ ʔ t b ɔ ɫ
football	f ʊ ʔ tʰ b ɔː l
football	f ʊ ʔ t̚ b ɔ ɫ
football	f ʊ ʔ t̚ b ɔː l
football	fʷ ʊ ʔ t̚ b ɑ ɫ
foretell	f oː t e ɫ
foretell	f ɔ ɹ t ɛ ɫ
foretell	f ɔː t ɛ ɫ
forever	f ɔ ɹ ɛ v ɚ
forever	f ə ɹ ɛ v ɚ
forever	f ɚ ɛ v ɚ
fortnight	f ɔ ˞ ʔ n ɐ ɪ̯ t̚ ~ f o ˞ ʔ n ɐ ɪ̯ t̚
fortunate	f o ɹ t͡ʃ n ə tʰ
fortunate	f o ɹ t͡ʃ ə n ə tʰ
forty	f ɔ ɹ ɾ i
fountain	f a ʊ n ʔ n̩
free	f ɹ ɪ i̯
french	f ɹ̠ ɛ n̠ t͡ʃ
friend	f ɹ̥ e n d̥
fuck	f ʌ kʰ
fuckability	f ʌ k ə b ɪ l ɪ̈ ɾ i
fuckability	f ʌ k ɪ̈ b ɪ l ɪ̈ ɾ i
full	f ʊ ɫ
function	f ʌ ŋ k ʃ n̩
function	f ʌ ŋ k ʃ ɪ̈ n
fur	f ɝ
furcal	f ɜː k ə ɫ
furcal	f ɝ k ə ɫ
furrier	f ɝ i ɚ
furrier	f ɝˑ i ɚ
furtive	f ɝ ɽ ɪ v
futtock	f ə ɾ ə k
fächer	f æ ɕ ɐ
féiss	f ɜ ɪ̯ s
gaeltacht	ɡ e ɪ l t ə x t
gangtok	ɡ æ ŋ t ɒ k
gasoline	ɡ æ s ɵ l i n
gaumy	ɡ ɔː m i
gawd	ɡ ɔː d
genetic	d͡ʒ ə n ɛ t ɪ k
genetic	d͡ʒ ɪ n ɛ t ɪ k
genkan	ɡ ɛ ŋ k ɑ n
gentle	d͡ʒ ɛ̃ ɾ̃ l̩
gentleman	d ʒ ɛ ɾ̃ ɫ̩ m ə n
get	ɡ ɛ ʔ
getting	ɡ e ʔ ɪ ŋ
getting	ɡ ɛ ɾ ɪ ŋ
gewürztraminer	ɡ ə v ɝ t s t ɹ ə m iː n ɚ
ghetto	ɡ ɛ ɾ o ʊ̯
ghettoize	ɡ ɛ ɾ o ʊ̯ a ɪ̯ z
glitter	ɡ l ɪ ɾ ɚ
gmail	d ʒ iː m e ɪ l
goat	ɡ o ʊ ʔ t̚
golden	ɡ ə l d ə n
good	ɡ ɪ̈ d
good	ɡ ʊ̈ d
gotta	ɡ ɑ ɾ ə
gotten	ɡ ɑ t̚ n̩
gotten	ɡ ɑ ʔ n̩
graffito	ɡ ɹ ə f i ɾ o ʊ̯
grandfather	ɡ ɹ̠ʷ ẽˑ ə̯̃ n d f ɑˑ ð ɚ
grass	ɡ ɹ̠ a s ~ ɡ ɹ̠ æ s
grass	ɡ ɹ̠ äː s ~ ɡ ɹ̠ ɐː s
grass	ɡ ɹ̠ æ s ~ ɡ ɹ̠ ɛ ə s ~ ɡ ɹ̠ e ə s
grass	ɡ ɹ̠ ɑː s
grated	ɡ ɹ e ɪ̯ ɾ ɪ d
gratified	ɡ ɹ æː ɾ ɨ f a ɪː d̚
grating	ɡ ɹ e ɪ̯ ɾ ɪ ŋ
greater	ɡ ɹ e ɪ ɾ ɚ
grivna	ɡ ɹ ɪ v n ɑ
grow	ɡ ɹ o ʊ̯
grows	ɡ ɹ o ʊ̯ z
guesstimate	ɡ ɛ s t ɪ̈ m ɪ̈ ʔ t̚
guesstimate	ɡ ɜ s t ɪ̈ m e ɪ̯ ʔ t̚
guileless	ɡ a ɪ ɫ l ə s
guilty	ɡ ɪ l t i
guttle	ɡ ʌ ɾ l̩
guttural	ɡ ʌ ɾ ɚ ɫ̩
gyros	d͡ʒ a ɪ ɹ o ʊ z
gülenist	ɟ y l ɛ n ɪ s t
h	æ ɪ t ʃ
habitat	h æ b ɪ t æ ʔ
hadith	h a d iː θ
hail	h e ɪ̯ ɫ
hang	h e ɪ ŋ
hangnail	h e ɪ ŋ n e ɪ̯ ɫ
happening	h æ p n ɪ n
hawaii	h ʊ̈ w a ɪ̯ j i
hawaii	h ʊ̈ w ɑ j i
hawaii	h ʊ̈ w ɔ j i
he	ç i
he	h i
heading	h ɛ ɾ ɪ ŋ
health	h ɛ l̪ θ
hearse	h ɝ s
heartbeat	h ɑ ɹ ʔ b i ʔ
herno	h ɐ n oː
hibernation	h a ɪ b ɚ n e ɪ ʃ n̩
high	h a ɪ̯
him	ɪ̈ m
hinoki	h i n o k i
hinter	h ɪ ɾ̃ ɚ
hitherto	h ɪ ð ɚ tʰ u
hmm	m̥ m̩ ˦˨
hmmm	m̥ m̩ː ˦˨
hold	h o ə ɫ d
holding	h o ʊ ɫ d ɪ ŋ
holding	h ə ʉ ɫ d ɪ ŋ
holding	h ə ʊ ɫ d ɪ ŋ
hole	h o ʊ ɫ
homophobe	h ɒ m ə f ə ʊ b
homophobe	h ə ʊ m ə f ə ʊ b
hon	m̥ ɑ n
honyock	h ɒ ŋ j ɒ k
hood	h ɪ̈ d
hood	h ʊ̈ d
hooter	h u ɾ ɚ
horus	h ɔː ɹ ə s
houston	h j̊ uː s t ɨ n
houston	j̊ uː s t ɨ n
hrivna	ɦ ɹ ɪ u̯ nʲ ɑ
hubris	ç j u̟ː b ɹʷ ɪ s
hue	ç u
huge	ç u̟ː d͡ʒ
huguenot	ɕ u ɡ ə n ɒ t
huh	h ə̃
human	ç j u̟ m n̩
human	ç j u̟ m ə n
humanist	ç uː m ə n ɪ s t
humanist	h ç uː m ə n ɪ s t
humanity	h j u m æ n ɪ ɾ i
humongous	ç u̟ː m ɐ ŋ ɡ ə s
humongous	ç u̟ː m ʊ ŋ ɡ ə s
humph	h ɪ̈ m f
humph	h ʌ m f
hunter	h ʌ ɾ̃ ɚ
hurry	h ɝ ɹ i
hydra	h a ɪ̯ d ɹ ə
hydra	h a ɪ̯ d͡ʒ ɹ ə
hydropsy	h a ɪ̯ d ɹ ɑ p s i
hyperhidrosis	h a ɪ p ə ɹ h a ɪ d ɹ o ʊ s ɪ s
hypotenuse	h a ɪ p ɑ ʔ ə n uː s
háček	h aː t ʃ e k
háček	h aː t ʃ ɛ k
háček	h ɐː t ʃ e k
háček	h ɑ t ʃ ɛ k
háček	h ɑ ə t ʃ ɛ k
háček	h ɑː t ʃ ɛ k
háček	ɦ ɑː t ʃ ɛ k
iced	a ɪ̯ s t
illegal	ɪ ɫ l i ɡ ə ɫ
illegitimate	ɪ l ɨ d͡ʒ ɪ ɾ ə m ɨ t
illusion	ɪ l uː ʒ ə n
imma	aː m ə
