abak	áːbak
abeceda	abɛt͡séːda
abstrakten	apstráːktən
abstraktno	apstráːktnɔ
absurden	apsúːrdən
absurdnejši	apsúːrdnɛjʃi
aceton	at͡sɛtóːn
adijo	adíːjɔ
adjektiven	adjɛktíːʋən
adut	adúːt
aerodinamika	aɛ́ːrɔdinàːmika
aerodinamika	áːɛrɔdinàːmika
aerolit	aɛrɔlíːt
afganistan	aʋɡáːnistan
afna	àːfna
afrika	áːfrika
aglomeracija	aɡlɔmɛràːt͡sija
agrumi	aɡrúːmi
ahil	axíːl
ahoj	axóːj
ajd	àːjt
ajd	ájt
ajnštajnij	áːjnʃtajnij
aksiom	aksijóːm
aktinij	aktìːnij
aktualizacija	aktualizàːt͡sija
aktualizirati	aktualizíːrati
akuzativ	áːkuzatiʋ
akvarij	akʋàːrij
albanec	albáːnət͡s
albanija	albàːnija
albanka	albáːnka
albanski	albáːnski
albansko	albáːnskɔ
albanščina	albáːnʃt͡ʃina
aleksander	alɛksàːndər
ali	ali
ali	áli
ali	áːli
aligator	aliɡáːtɔr
aljaska	aljáːska
alkohol	alkɔxóːl
alpaka	alpáːka
aluminij	alumìːnij
alžirija	alʒíːrija
aman	áːman
amarant	amaràːnt
amarant	amaráːnt
ambasador	ambasáːdɔr
ambrozija	ambròːzija
americij	amɛrìːt͡sij
amerika	amɛ́ːrika
ameriški	amɛ́ːriʃki
amfiteater	amfitɛàːtər
ampak	ámpak
amper	ampɛ́ːr
amputirati	amputíːrati
amulet	amuléːt
ana	àːna
anakonda	anakóːnda
analen	anáːlən
analogija	analɔɡíːja
ananas	áːnanas
anarhist	anarxíːst
anarhizem	anarxìːzəm
anatomija	anatɔmíːja
andaluzija	andalùːzija
andora	andóːra
andreaš	andrɛàːʃ
andrej	andrɛ̀ːj
angel	àːnɡɛl
anglež	anɡléːʃ
angležinja	anɡléːʒinja
angleški	anɡléːʃki
angleško	anɡléːʃkɔ
angleščina	anɡléːʃt͡ʃina
anglija	áːnɡlija
anomalija	anɔmalíːja
antarktika	antàːrktika
antilopa	antilóːpa
antimon	antimóːn
anton	antóːn
antonim	antɔníːm
apartma	apartmáː
apnenec	apnèːnət͡s
apnenec	apnéːnət͡s
apokalipsa	apɔkalíːpsa
apostrof	apɔstróːf
april	apríːl
arabski	aráːpski
aragonit	araɡɔníːt
arašid	araʃíːt
argon	arɡóːn
argon	áːrɡɔn
arh	áːrx
arhitektura	arxitɛktúːra
arhivar	arxiʋàːr
aristotel	aristóːtɛl
armada	armáːda
armenija	armèːnija
artefakt	artɛfáːkt
arterija	artɛ̀ːrija
arzen	arzéːn
as	áːs
asimetrija	ásimɛtríːja
asklepij	asklèːpij
astat	astáːt
asteroid	astɛrɔíːt
astrofizika	áːstrɔfìːzika
astrologija	astrɔlɔɡíːja
astronomija	astrɔnɔmíːja
ateizem	atɛìːzəm
atena	atéːna
atene	atéːnɛ
atol	atóːl
atomski	atóːmski
atonalen	átɔnáːlən
atrij	àːtrij
avgust	aʋɡúːst
avstralija	aʋstràːlija
avstrija	áːʋstrija
avstrijec	aʋstríːjət͡s
avstrijka	aʋstríːjka
avstrijski	aʋstríːjski
avto	áːʋtɔ
avtobus	áːʋtɔbus
avtosugestija	áːʋtɔsuɡɛstíːja
azerbajdžan	azɛrbajd͡ʒáːn
azija	àːzija
azil	azíːl
b	béː
b	bə́
baba	bàːba
babica	bàːbit͡sa
bager	bàːɡər
bagrist	baɡríːst
bahami	baxáːmi
bahrajn	baxráːjn
bajonet	bajɔnéːt
bajta	báːjta
baker	bàːkər
bakla	báːkla
balet	baléːt
bambus	báːmbus
banja	bàːnja
banka	báːnka
barantati	barantàːti
barij	bàːrij
barion	barijóːn
barion	báːrijɔn
barka	báːrka
barva	báːrʋa
bas	báːs
basati	bàːsati
bask	báːsk
baskovski	báːskɔʋski
baskovščina	báːskɔʋʃt͡ʃina
baterija	batɛríːja
bati	bàːti
batiskaf	batiskáːf
baza	bàːza
baza	báːza
bazalt	bazáːlt
be	béː
beda	bèːda
bedak	bɛdàːk
beden	bèːdən
bednejši	bèːdnɛjʃi
bedro	bɛ̀ːdrɔ
beg	béːk
begunec	bɛɡúːnət͡s
bel	bèːʋ
belejši	bɛlɛ́ːjʃi
belgija	bèːlɡija
belgijski	bèːlɡijski
belina	bɛlìːna
beljak	bɛljàːk
belorusija	bɛlɔrúːsija
beloruski	bɛlɔrúːski
beloruščina	bɛlɔrúːʃt͡ʃina
benetke	bɛnéːtkɛ
benzen	bɛnzéːn
beograd	béːɔɡrat
bergla	béːrɡla
berilij	bɛrìːlij
berkelij	bɛrkèːlij
beseda	bɛséːda
beseden	bɛséːdən
besedilo	bɛsɛdìːlɔ
besedotvoren	bɛsɛdɔtʋòːrən
besedotvoren	bɛsɛdɔtʋóːrən
besedotvorje	bɛsɛdɔtʋóːrjɛ
betežen	bɛtèːʒən
betežnejši	bɛtèːʒnɛjʃi
betlehem	béːtlɛxɛm
beton	bɛtóːn
bezeg	bəzə́k
bezeg	bə̀zək
bezjak	bɛzjáːk
bežati	bɛʒàːti
bik	bík
binom	binóːm
biokemija	bíːjɔkɛmíːja
biološki	biɔlóːʃki
birtija	birtíːja
bisaga	bisàːɡa
bisaga	bisáːɡa
biseksualnost	bíːsɛksuáːlnɔst
biser	bíːsɛr
bistvo	bíːstʋɔ
biti	bìːti
bitje	bìːtjɛ
bitje	bíːtjɛ
bivol	bíːʋɔl
bivši	bíːʋʃi
bizantinski	bizantíːnski
bizgec	bíːzɡət͡s
bizmut	bíːzmut
bizon	bíːzɔn
bič	bìːt͡ʃ
bič	bít͡ʃ
bič	bíːt͡ʃ
blag	bláːk
blagajna	blaɡáːjna
blago	blaɡóː
blagosloviti	blaɡɔslɔʋìːti
blagosloviti	blaɡɔslɔʋíːti
blatnik	bláːtnik
blato	blàːtɔ
blazen	blàːzən
blaznik	bláːznik
blesteti	blɛstèːti
blesti	blɛ̀ːsti
blizu	blìːzu
bliže	blíːʒɛ
bližje	blíːʒjɛ
bližnjica	blíːʒnjit͡sa
bo	bóː
boben	bóːbən
bober	bòːbər
bober	bɔ̀ːbər
bodi	bòːdi
bodimo	bòːdimɔ
bodimo	bɔdíːmɔ
bodita	bòːdita
bodita	bɔdíːta
bodite	bòːditɛ
bodite	bɔdíːtɛ
bodiva	bòːdiʋa
bodiva	bɔdíːʋa
bodo	bóːdɔ
bog	bóːk
bogastvo	bɔɡáːstʋɔ
bogat	bɔɡát
bogat	bɔ̀ːɡat
bogatejši	bɔɡatɛ́ːjʃi
boginja	bɔɡìːnja
bogomolka	bɔɡɔmóːlka
boja	bóːja
bojazen	bɔjáːzən
bojo	bóːjɔ
bokal	bɔkáːl
bokal	bɔkáːʋ
bolan	bɔláːn
boleti	bɔlèːti
bolezen	bɔléːzən
bolečina	bɔlɛt͡ʃìːna
bolgar	bɔlɡáːr
bolgarija	bɔlɡàːrija
bolgarka	bɔlɡáːrka
bolgarski	bɔlɡàːrski
bolgarski	bɔlɡáːrski
bolgarsko	bɔlɡàːrskɔ
bolgarsko	bɔlɡáːrskɔ
bolgarščina	bɔlɡàːrʃt͡ʃina
bolgarščina	bɔlɡáːrʃt͡ʃina
bolha	bɔ̀ːʋxa
bolj	bɔ́l
bolje	bóːljɛ
boljše	bóːlʃɛ
boljši	bóːlʃi
bolnica	bóːlnit͡sa
bolnik	bɔʋnìːk
bolnišnica	bɔʋníːʃnit͡sa
bom	bóːm
bomba	bóːmba
bombardirati	bɔmbardíːrati
bombaž	bɔmbáːʃ
bombnik	bóːmbnik
bomo	bóːmɔ
bon	bóːn
bor	bóːr
bor	bɔ́r
borba	bóːrba
borec	bóːrət͡s
boriti	bɔrìːti
boriti	bɔríːti
borka	bòːrka
borka	bóːrka
borovnica	bɔrɔʋnìːt͡sa
borza	bóːrza
borša	bóːrʃa
bos	bóːs
bos	bɔ́s
bosanski	bɔsàːnski
bosanski	bɔsáːnski
bosanščina	bɔsàːnʃt͡ʃina
bosanščina	bɔsáːnʃt͡ʃina
bosenski	bóːsənski
bosna	bóːsna
bosta	bóːsta
boste	bóːstɛ
bosti	bɔ̀ːsti
bova	bóːʋa
bozon	bɔzóːn
boš	bóːʃ
božanski	bɔʒáːnski
božanstvo	bɔʒáːnstʋɔ
božati	bóːʒati
božič	bɔ̀ːʒit͡ʃ
božur	bɔʒùːr
božur	bɔʒúːr
brada	bràːda
bradat	bradát
bradatejši	bradàːtɛjʃi
bradavica	bradaʋìːt͡sa
bralnik	bráːlnik
bran	bráːn
brana	bràːna
branik	branìːk
braniti	branìːti
braniti	braníːti
braniti	bràːniti
brat	brát
brati	bràːti
bratranec	bratráːnət͡s
bratranec	bràːtranət͡s
brazda	bràːzda
brazgotina	brazɡɔtìːna
brazilija	brazìːlija
brazilski	brazíːlski
brca	bə́rt͡sa
brcniti	bə̀rt͡sniti
brdavs	bərdáːʋs
brdo	bə̀rdɔ
breg	bréːk
breskev	bréːskəʋ
brest	brèːst
brest	bréːst
brest	brɛ́st
bresti	brɛ̀ːsti
bretanja	brɛtàːnja
bretonec	brɛtóːnət͡s
bretonka	brɛtóːnka
bretonski	brɛtóːnski
bretonsko	brɛtóːnskɔ
bretonščina	brɛtóːnʃt͡ʃina
brez	brɛs
breza	brèːza
brezoseben	brɛzɔséːbən
brezčustven	brɛst͡ʃúːstʋɛn
briga	bríːɡa
brihten	brìːxtən
brihtnejši	brìːxtnɛjʃi
brin	brín
britanija	britàːnija
britanski	britáːnski
briti	brìːti
britof	bríːtɔf
brivec	bríːʋət͡s
brki	bə́rki
brlog	bərlɔ́k
brod	bróːt
brom	bróːm
brom	brɔ́m
bron	brɔ́n
bruc	brúːt͡s
bruselj	brùːsəl
brusnica	brúːsnit͡sa
bruto	brúːtɔ
brv	bə́rʋ
buda	búːda
budalo	budàːlɔ
buden	bùːdən
budimpešta	búːdimpɛʃta
budist	budíːst
budnejši	bùːdnɛjʃi
bukarešta	bukaréːʃta
bukev	búːkəʋ
bukselj	bùːksəl
bukva	búːkʋa
buldog	búːldɔk
bunda	búːnda
burek	búːrɛk
butan	butáːn
butara	bùːtara
buteljka	butéːlka
buča	bùːt͡ʃa
car	t͡sàːr
car	t͡sáːr
carica	t͡sarìːt͡sa
carstvo	t͡sáːrstʋɔ
ceh	t͡séːx
cekin	t͡sɛkíːn
cel	t͡séːʋ
celina	t͡sɛlìːna
celo	t͡sɛlóː
celota	t͡sɛlɔ̀ːta
cena	t͡sèːna
cenzura	t͡sɛnzúːra
cerij	t͡sɛ̀ːrij
cerkev	t͡sèːrkəʋ
cesar	t͡sɛ̀ːsar
cesarica	t͡sɛsarìːt͡sa
cesarstvo	t͡sɛsáːrstʋɔ
cesta	t͡sèːsta
cev	t͡séːʋ
cezij	t͡sèːzij
cigara	t͡siɡàːra
cigara	t͡siɡáːra
cigareta	t͡siɡaréːta
