a	ɒ
aba	ɒbɒ
abakusszá	ɒbɒkusːaː
abakusszal	ɒbɒkusːɒl
abakusz	ɒbɒkus
abakusza	ɒbɒkusɒ
abakuszai	ɒbɒkusɒʲi
abakuszaid	ɒbɒkusɒʲid
abakuszaik	ɒbɒkusɒʲik
abakuszaim	ɒbɒkusɒʲim
abakuszaink	ɒbɒkusɒʲiŋk
abakuszaitok	ɒbɒkusɒʲitok
abakuszba	ɒbɒkuzbɒ
abakuszban	ɒbɒkuzbɒn
abakuszból	ɒbɒkuzboːl
abakuszért	ɒbɒkuseːrt
abakuszhoz	ɒbɒkushoz
abakuszig	ɒbɒkusiɡ
abakuszként	ɒbɒkuskeːnt
abakusznak	ɒbɒkusnɒk
abakusznál	ɒbɒkusnaːl
abakuszod	ɒbɒkusod
abakuszok	ɒbɒkusok
abakuszokat	ɒbɒkusokɒt
abakuszokba	ɒbɒkusoɡbɒ
abakuszokban	ɒbɒkusoɡbɒn
abakuszokból	ɒbɒkusoɡboːl
abakuszokért	ɒbɒkusokeːrt
abakuszokhoz	ɒbɒkusokhoz
abakuszokig	ɒbɒkusokiɡ
abakuszokká	ɒbɒkusokːaː
abakuszokkal	ɒbɒkusokːɒl
abakuszokként	ɒbɒkusokːeːnt
abakuszoknak	ɒbɒkusoknɒk
abakuszoknál	ɒbɒkusoknaːl
abakuszokon	ɒbɒkusokon
abakuszokra	ɒbɒkusokrɒ
abakuszokról	ɒbɒkusokroːl
abakuszoktól	ɒbɒkusoktoːl
abakuszom	ɒbɒkusom
abakuszon	ɒbɒkuson
abakuszotok	ɒbɒkusotok
abakuszra	ɒbɒkusrɒ
abakuszról	ɒbɒkusroːl
abakuszt	ɒbɒkust
abakusztól	ɒbɒkustoːl
abakuszuk	ɒbɒkusuk
abakuszunk	ɒbɒkusuŋk
abba	ɒbːɒ
abbahagy	ɒbːɒhɒɟ
abbamarad	ɒbːɒmɒrɒd
abban	ɒbːɒn
abból	ɒbːoːl
ábécé	aːbeːt͡seː
ábécék	aːbeːt͡seːk
ábécét	aːbeːt͡seːt
ábel	aːbɛl
aberráció	ɒbɛrːaːt͡siʲoː
aberrációk	ɒbɛrːaːt͡siʲoːk
abház	ɒphaːz
abházok	ɒphaːzok
abigél	ɒbiɡeːl
abiogén	ɒbiʲoɡeːn
ablak	ɒblɒk
ablaka	ɒblɒkɒ
ablakai	ɒblɒkɒʲi
ablakaid	ɒblɒkɒʲid
ablakaik	ɒblɒkɒʲik
ablakaim	ɒblɒkɒʲim
ablakaink	ɒblɒkɒʲiŋk
ablakaitok	ɒblɒkɒʲitok
ablakán	ɒblɒkaːn
ablakát	ɒblɒkaːt
ablakba	ɒblɒɡbɒ
ablakban	ɒblɒɡbɒn
ablakból	ɒblɒɡboːl
ablakcsa	ɒblɒkt͡ʃɒ
ablakdeszka	ɒblɒɡdɛskɒ
ablakdeszkák	ɒblɒɡdɛskaːk
ablakdeszkákat	ɒblɒɡdɛskaːkɒt
ablakdeszkát	ɒblɒɡdɛskaːt
ablakért	ɒblɒkeːrt
ablakhoz	ɒblɒkhoz
ablakig	ɒblɒkiɡ
ablakká	ɒblɒkːaː
ablakkal	ɒblɒkːɒl
ablakként	ɒblɒkːeːnt
ablaknak	ɒblɒknɒk
ablaknál	ɒblɒknaːl
ablakod	ɒblɒkod
ablakok	ɒblɒkok
ablakokat	ɒblɒkokɒt
ablakokba	ɒblɒkoɡbɒ
ablakokban	ɒblɒkoɡbɒn
ablakokból	ɒblɒkoɡboːl
ablakokért	ɒblɒkokeːrt
ablakokhoz	ɒblɒkokhoz
ablakokig	ɒblɒkokiɡ
ablakokká	ɒblɒkokːaː
ablakokkal	ɒblɒkokːɒl
ablakokként	ɒblɒkokːeːnt
ablakoknak	ɒblɒkoknɒk
ablakoknál	ɒblɒkoknaːl
ablakokon	ɒblɒkokon
ablakokra	ɒblɒkokrɒ
ablakokról	ɒblɒkokroːl
ablakoktól	ɒblɒkoktoːl
ablakom	ɒblɒkom
ablakomat	ɒblɒkomɒt
ablakomba	ɒblɒkombɒ
ablakomban	ɒblɒkombɒn
ablakomig	ɒblɒkomiɡ
ablakommal	ɒblɒkomːɒl
ablakomnak	ɒblɒkomnɒk
ablakomon	ɒblɒkomon
ablakon	ɒblɒkon
ablakot	ɒblɒkot
ablakotok	ɒblɒkotok
ablakpárkány	ɒblɒkpaːrkaːɲ
ablakpárkánya	ɒblɒkpaːrkaːɲɒ
ablakpárkányai	ɒblɒkpaːrkaːɲɒʲi
ablakpárkányaid	ɒblɒkpaːrkaːɲɒʲid
ablakpárkányaik	ɒblɒkpaːrkaːɲɒʲik
ablakpárkányaim	ɒblɒkpaːrkaːɲɒʲim
ablakpárkányaink	ɒblɒkpaːrkaːɲɒʲiŋk
ablakpárkányaitok	ɒblɒkpaːrkaːɲɒʲitok
ablakpárkánynak	ɒblɒkpaːrkaːɲnɒk
ablakpárkányod	ɒblɒkpaːrkaːɲod
ablakpárkányok	ɒblɒkpaːrkaːɲok
ablakpárkányokat	ɒblɒkpaːrkaːɲokɒt
