abl	a b l̩
abl	a b l̩
adwaenost	a d w e ɨ̯ n ɔ s t
adwaenost	a d w e i̯ n ɔ s t
addysg	a ð ɨ̞ s k
addysg	aː ð ɪ s k
addysg	a ð ɪ s k
addysgu	a ð ə s k ɨ
addysgu	a ð ə s k i
aethost	e ɨ̯ θ ɔ s t
aethost	e i̯ θ ɔ s t
aillt	a i̯ ɬ t
alltud	a ɬ t ɨ̞ d
alltud	a ɬ t ɪ d
aml	a m l̩
amobr	a m ɔ b r̩
aradr	a r a d r̩
aradr	a r a d r̩
aradr	a r a d r̩
asgwrn	a s k ʊ r n
awdl	a u̯ d l̩
awst	a u̯ s t
bedr	b ɛ d r̩
beidr	b e i̯ d r̩
beidr	b e i̯ d r̩
belffast	b ɛ l f a s t
bobl	b ɔ b l̩ˠ
bobl	b ɔ b l̩
braster	b r a s d ɛ r
brasterog	b r a s t ɛ r ɔ ɡ
brasterog	b r a s t eː r ɔ ɡ
brasterog	b r a s t ɛ r ɔ ɡ
caerwysg	kʰ a ɨ̯ r uː ɨ̯ s k
caerwysg	kʰ a ɨ̯ r w ɨ̯ː s k
caerwysg	kʰ a i̯ r ʊ i̯ s k
caerwysg	kʰ a i̯ r w ɪ s k
carest	kʰ a r ɛ s t
carest	kʰ aː r ɛ s t
carest	kʰ a r ɛ s t
casgen	kʰ a s k ɛ n
casglu	kʰ a s k l ɨ
casglu	kʰ a s k l i
castanwydd	kʰ a s t a n w ɨ̞ ð
castanwydd	kʰ a s t a n w ɪ ð
castanwydd	kʰ a s t a n ʊ i̯ ð
castanwydden	k a s t a n w ɨ̞ ð ɛ n
castanwydden	k a s t a n w ɨ̞ ð a n
castanwydden	k a s t a n w ɨ̞ ð a n
castanwydden	k a s t a n w iː ð ɛ n
castanwydden	k a s t a n w ɪ ð ɛ n
castell	kʰ a s t ɛ ɬ
castell	kʰ a s t a ɬ
castell	kʰ a s t a ɬ
castell	kʰ a s t ɛ ɬ
cefn	kʰ ɛ v n̩
cenedl	kʰ ɛ n ɛ d l̩ˠ
cenedl	kʰ eː n ɛ d l̩
cenedl	kʰ ɛ n ɛ d l̩
cest	kʰ ɛ s t
cest	kʰ eː s t
cest	kʰ ɛ s t
cestyll	kʰ ɛ s t ɨ̞ ɬ
cestyll	kʰ ɛ s t ɪ ɬ
cledr	k lˠʰ ɛ d r̩
cledr	k lʰ ɛ d r̩
clustdlws	k lʰ ɨ̞ s t l ʊ s
clustdlws	k lʰ ɪ s t l ʊ s
croesgad	k r ɔ ɨ̯ s k a d
croesgad	k r ɔ i̯ s k a d
croestorri	k r ɔ ɨ̯ s t ɔ r ɪ
croestorri	k r ɔ i̯ s t ɔ r i
crwydr	k rʰ ʊ ɨ̯ d r̩
crwydr	k rʰ ʊ i̯ d r̩
cyfrwngddarostyngedigaeth	kʰ ə v r ʊ ŋ ð a r ɔ s t ə ŋ ɛ d ɪ ɡ a ɨ̯ θ
cyfrwngddarostyngedigaeth	kʰ ə v r ʊ ŋ ð a r ɔ s t ə ŋ ɛ d ɪ ɡ ɛ θ
cyfrwngddarostyngedigaeth	kʰ ə v r ʊ ŋ ð a r ɔ s t ə ŋ ɛ d ɪ ɡ ɛ θ
cyfrwngddarostyngedigaeth	k ə v r ʊ ŋ ð a r ɔ s t ə ŋ ɛ d iː ɡ a i̯ θ
cyfrwngddarostyngedigaeth	k ə v r ʊ ŋ ð a r ɔ s t ə ŋ ɛ d ɪ ɡ a i̯ θ
cyfrwngddarostyngedigaeth	k ə v r ʊ ŋ ð a r ɔ s t ə ŋ ɛ d iː ɡ ɛ θ
cyfrwngddarostyngedigaeth	k ə v r ʊ ŋ ð a r ɔ s t ə ŋ ɛ d ɪ ɡ ɛ θ
cyfrwngddarostyngedigaeth	k ə v r ʊ ŋ ð a r ɔ s t ə ŋ ɛ d iː ɡ ɛ θ
cyfrwngddarostyngedigaeth	k ə v r ʊ ŋ ð a r ɔ s t ə ŋ ɛ d ɪ ɡ ɛ θ
cymysgedd	kʰ ə m ə s k ɛ ð
cymysgedd	kʰ ə m ə s k a ð
cymysgedd	kʰ ə m ə s k a ð
cymysgedd	kʰ ə m ə s k ɛ ð
cysgu	kʰ ə s k ɨ̞
cysgu	kʰ ə s k i
cyswllt	kʰ ə s ʊ ɬ t
cysylltair	kʰ ə s ə ɬ t a i̯ r
cysylltiad	kʰ ə s ə ɬ t j a d
cysylltnod	kʰ ə s ə ɬ t n ɔ d
cysylltu	kʰ ə s ə ɬ t ɨ
cysylltu	kʰ ə s ə ɬ t i
chastell	χ a s t ɛ ɬ
chastell	χ a s t a ɬ
chastell	χ a s t a ɬ
chastell	χ a s t ɛ ɬ
chdi	χ t iː
chefn	χ ɛ v n̩
chestyll	χ ɛ s t ɨ̞ ɬ
chestyll	χ ɛ s t ɪ ɬ
chwedl	χ w ɛ d l̩ˠ
chwedl	χ w ɛ d l̩
dadl	d a d l̩
deigr	d e i̯ ɡ r̩
dest	d ɛ s t
dest	d eː s t
dest	d ɛ s t
disgwyl	d ɪ s k ʊ ɨ̯ lˠ
disgwyl	d ɪ s k ʊ i̯ l
disgwyl	d ɪ ʃ k ʊ i̯ l
disgwyl	d ɪ s k ʊ l
disgwyl	d ɪ ʃ k ʊ l
disgwyl	d ɪ ʃ k ʊ i̯ l
disgwyl	d ɪ s k ʊ l
disgwyl	d ɪ ʃ k ʊ l
disgybl	d ɪ s k ɪ b l̩ˠ
disgybl	d ɪ s k ɨ̞ b l̩ˠ
disgybl	d ɪ s k ɪ b l̩
