ady_narrow.phones	ady	Adygei; Adyghe	Adyghe	Narrow	67
afr_broad.phones	afr	Afrikaans	Afrikaans	Broad	61
arm_e_narrow.phones	arm	Armenian	Armenian (Eastern Armenian, standard)	Narrow	72
arm_w_narrow.phones	arm	Armenian	Armenian (Western Armenian, standard)	Narrow	72
aze_narrow.phones	aze	Azerbaijani	Azerbaijani	Narrow	54
bul_broad.phones	bul	Bulgarian	Bulgarian	Broad	52
bur_broad.phones	bur	Burmese	Burmese	Broad	70
dut_broad.phones	dut	Dutch; Flemish	Dutch	Broad	50
eng_uk_broad.phones	eng	English	English (UK, Received Pronunciation)	Broad	64
eng_us_broad.phones	eng	English	English (US, General American)	Broad	63
fre_broad.phones	fre	French	French	Broad	40
geo_broad.phones	geo	Georgian	Georgian	Broad	36
ger_broad.phones	ger	German	German	Broad	83
gre_broad.phones	gre	Modern Greek (1453-)	Greek	Broad	33
hbs_broad.phones	hbs	Serbo-Croatian	Serbo-Croatian	Broad	65
hin_broad.phones	hin	Hindi	Hindi	Broad	64
hun_narrow.phones	hun	Hungarian	Hungarian	Narrow	86
ice_broad.phones	ice	Icelandic	Icelandic	Broad	71
ita_broad.phones	ita	Italian	Italian	Broad	32
jpn_narrow.phones	jpn	Japanese	Japanese	Narrow	64
khm_broad.phones	khm	Khmer	Khmer	Broad	73
kor_narrow.phones	kor	Korean	Korean	Narrow	61
lat_clas_broad.phones	lat	Latin	Latin (Classical)	Broad	36
lav_narrow.phones	lav	Latvian	Latvian	Narrow	89
mlt_broad.phones	mlt	Maltese	Maltese	Broad	59
nob_broad.phones	nob	Norwegian Bokmål	Norwegian Bokmål	Broad	54
por_bz_broad.phones	por	Portuguese	Portuguese (Brazil)	Broad	55
por_po_broad.phones	por	Portuguese	Portuguese (Portugal)	Broad	48
rum_narrow.phones	rum	Romanian; Moldavian; Moldovan	Romanian	Narrow	51
slv_broad.phones	slv	Slovenian	Slovene	Broad	48
spa_ca_broad.phones	spa	Spanish; Castilian	Spanish (Castilian)	Broad	29
spa_la_broad.phones	spa	Spanish; Castilian	Spanish (Latin America)	Broad	27
tur_narrow.phones	tur	Turkish	Turkish	Narrow	51
vie_hanoi_narrow.phones	vie	Vietnamese	Vietnamese (Hà Nội)	Narrow	54
vie_hcmc_narrow.phones	vie	Vietnamese	Vietnamese (Hồ Chí Minh City)	Narrow	50
vie_hue_narrow.phones	vie	Vietnamese	Vietnamese (Huế)	Narrow	53
wel_nw_broad.phones	wel	Welsh	Welsh (North Wales)	Broad	63
wel_sw_broad.phones	wel	Welsh	Welsh (South Wales)	Broad	55
