acatl	aː k a t ɬ
acoatl	aː k oː aː t ɬ
acxoyatl	a k ʃ oː j a t ɬ
ahmo	a ʔ m oː
ahuacuahuitl	aː w a kʷ a w i t͡ɬ
alomeh	a l ó m e ʔ
altepetl	aː ɬ t e p eː t͡ɬ
ameyalatl	aː m eː j a l aː t ɬ
ameyalli	aː m eː j a lː i
amistli	aː m i s t ɬ i
amiztli	aː m i s t ɬ i
amoxcalli	aː m o ʃ k a lː i
apantli	aː p a n t ɬ i
atetl	aː t e t ɬ
axan	áː ʃ aː n̥
axkan	áː ʃ aː n̥
ayohtli	a j o ʔ t ɬ i
ayotl	a j o t ɬ
ayutl	a j o t ɬ
cah	k a ʔ
calatl	k aː l a t ɬ
calli	k á lː i
cal·li	k á lː i
camactli	k a m aː k t ɬ i
camahtli	k a m aː ʔ t͡ɬ i
Caxtillan	k a ʃ t iː lː aː n
chantli	t ʃ aː n t ɬ i
chichihualayotl	t͡ʃ iː t͡ʃ iː w a l aː j oː t ɬ
chilatl	t͡ʃ iː ɬ aː t ɬ
cihuatl	s i w aː t ɬ
cipactli	s i p á k t ɬ i
citlalli	s iː t ɬ a lː i
coatl	k o aː t ɬ
cochotl	k o t͡ʃ o t ɬ
cozamalotl	k oː s a m aː l oː t͡ɬ
cozcacuauhtli	k oː s k a kʷ aː ʍ t͡ɬ i
cuauhtli	kʷ aː ʍ t ɬ i
cueyatl	kʷ e j a t ɬ
cuitlacochin	kʷ i t͡ɬ a k o t͡ʃ i n
epazotl	e p a s oː t ɬ
estli	e s t ɬ i
etl	e t͡ɬ
exotl	e ʃ oː t ɬ
eztli	e s t ɬ i
huehxolotl	w e ʔ ʃ oː l oː t͡ɬ
icpalli	i k p a lː i
itskuintl	i t s kʷ i n t ɬ
itskwintli	i t s kʷ i n t ɬ
itzcuintli	i t s kʷ i n t ɬ i
itzkuintli	i t s kʷ i n t ɬ i
izcuintli	i s kʷ i n t ɬ i
koatl	k o aː t ɬ
kwitlakochin	kʷ i t͡ɬ a k o t͡ʃ i n
masatl	m a s aː t ɬ
mazatl	m a s aː t ɬ
mexcalli	m e ʃ k a lː i
mexicatl	m eː ʃ i ʔ k a t ɬ
Mexico	m eː ʃ í k o
Mexihco	m eː ʃ í ʔ k o
mexihkatl	m eː ʃ i ʔ k a t ɬ
Mexihko	m eː ʃ í k o
michi	m i t͡ʃ i
michin	m i t͡ʃ i n
miyahuatl	m i j aː w a t͡ɬ
mizto	m i s t oː
mizton	m i s t oː n
molli	m oː lː i
nahuatl	n aː w a t ɬ
nantli	n aː n t ɬ i
ocelomeh	o s eː l óː m e ʔ
oceloyotl	o s eː l oː j oː t ɬ
oseloyotl	o s eː l oː j oː t ɬ
pahcalli	p a ʔ k a lː i
quiyotl	k i j oː t͡ɬ
sitlali	s iː t ɬ a lː i
tahtli	t a ʔ t ɬ i
tamalli	t a m á lː i
tecuani	t eː kʷ áː n i
teponastli	t e p o n aː s t͡ɬ i
teponaztli	t e p o n aː s t͡ɬ i
tepunaztli	t e p o n aː s t͡ɬ i
tlacamayeh	t ɬ aː k a m aː j e ʔ
tlacatl	t ɬ aː k a t ɬ
tlakatl	t ɬ aː k a t ɬ
tsonteko	t͡s o n t e k o
wehxolotl	w e ʔ ʃ oː l oː t͡ɬ
zihuatl	s i w aː t ɬ
zimatl	s iː m a t ɬ
zitlalli	s iː t ɬ a lː i
zoyacapolin	s oː j a k a p o l i n̥
zoyatl	s oː j aː t ɬ
