aba	a b a
abaka	a b a k a
abakus	a b a k u s
abatiša	a b a t i ʃ a
abažúr	a b a ʒ uː r
abbé	a b eː
abcházsko	a b x aː z s k o
abdikácia	a b d i k aː t͡s i̯ a
abdómen	a b d oː m e n
abeceda	a b e t͡s e d a
ableizmus	a b l e i z m u s
ablácia	a b l aː t͡s i̯ a
abolicionizmus	a b o l i t͡s i o n i z m u s
abolícia	a b o l iː t͡s i̯ a
abreviácia	a b r e v i aː t͡s i̯ a
absolutizmus	a b s o l u t i z m u s
absorbovať	a b s o r b o v a c
absorpcia	a b s o r p t͡s i̯ a
abstinentský	a b s t i n e n t s k iː
abstrakcionizmus	a b s t r a k t͡s i o n i z m u s
abuja	a b u d͡ʒ a
abája	a b aː j a
acetylácia	a t͡s e t i l aː t͡s i̯ a
acetát	a t͡s e t aː t
adam	a d a m
adaptovať	a d a p t o v a c
adaptácia	a d a p t aː t͡s i̯ a
adekvátny	a d e k v aː t n i
adela	a d e l a
aden	a d e n
adhézia	a d ɦ eː z i̯ a
adjektívum	a d j e k t iː v u m
administratíva	a d m i n i s t r a t iː v a
administrovať	a d m i n i s t r o v a c
administrácia	a d m i n i s t r aː t͡s i̯ a
adolescencia	a d o l e s t͡s e n t͡s i̯ a
adoptovať	a d o p t o v a c
adorácia	a d o r aː t͡s i̯ a
adresa	a d r e s a
adresovať	a d r e s o v a c
adrián	a d r i aː n
adriána	a d r i aː n a
adventizmus	a d v e n t i z m u s
adygejsko	a d i ɡ e j s k o
aerodynamický	a e r o d i n a m i t͡s k iː
aerolínia	a e r o l iː n i̯ a
aeronautický	a e r o n a u t i t͡s k iː
afatický	a f a t i t͡s k iː
afganistan	a f ɡ a n i s t a n
aforizmus	a f o r i z m u s
africký	a f r i t͡s k iː
afrikánčina	a f r i k aː n t͡ʃ i n a
aglomerácia	a ɡ l o m e r aː t͡s i̯ a
agnosticizmus	a ɡ n o s t i t͡s i z m u s
agnostický	a ɡ n o s t i t͡s k iː
agorafóbia	a ɡ o r a f oː b i̯ a
agravácia	a ɡ r a v aː t͡s i̯ a
agregácia	a ɡ r e ɡ aː t͡s i̯ a
agregát	a ɡ r e ɡ aː t
agresia	a ɡ r e s i̯ a
agresívnosť	a ɡ r e s iː v n o s c
agresívny	a ɡ r e s iː v n i
agrobiológia	a ɡ r o b i o l oː ɡ i̯ a
agronómia	a ɡ r o n oː m i̯ a
agroturizmus	a ɡ r o t u r i z m u s
agáta	a ɡ aː t a
agónia	a ɡ oː n i̯ a
aj	a j
akademický	a k a d e m i t͡s k iː
akcelerácia	a k t͡s e l e r aː t͡s i̯ a
akceptovať	a k t͡s e p t o v a c
akcidentálny	a k t͡s i d e n t aː l n i
akkra	a k r a
aklimatizovať	a k l i m a t i z o v a c
aklimatizácia	a k l i m a t i z aː t͡s i̯ a
akomodácia	a k o m o d aː t͡s i̯ a
akordeón	a k o r d e oː n
akreditácia	a k r e d i t aː t͡s i̯ a
akrobatický	a k r o b a t i t͡s k iː
aktivovať	a k t i v o v a c
aktivácia	a k t i v aː t͡s i̯ a
aktualita	a k t u a l i t a
aktualizmus	a k t u a l i z m u s
aktívum	a k t iː v u m
akumulovať	a k u m u l o v a c
akumulácia	a k u m u l aː t͡s i̯ a
akupunktúra	a k u p u n k t uː r a
akustickosť	a k u s t i t͡s k o s c
akustický	a k u s t i t͡s k iː
akvárium	a k v aː r i̯ u m
aká	a k aː
alabama	a l a b a m a
albert	a l b e r t
albinizmus	a l b i n i z m u s
albánsko	a l b aː n s k o
alchymický	a l x i m i t͡s k iː
alchýmia	a l x iː m i̯ a
alegorický	a l e ɡ o r i t͡s k iː
alegória	a l e ɡ oː r i̯ a
alergén	a l e r ɡ eː n
alexandra	a l e k s a n d r a
alfabetizácia	a l f a b e t i z aː t͡s i̯ a
algebrický	a l ɡ e b r i t͡s k iː
algoritmický	a l ɡ o r i t m i t͡s k iː
algoritmizovať	a l ɡ o r i t m i z o v a c
algoritmizácia	a l ɡ o r i t m i z aː t͡s i̯ a
algoritmus	a l ɡ o r i t m u s
alienácia	a l i̯ e n aː t͡s i̯ a
aliterácia	a l i t e r aː t͡s i̯ a
alkalizovať	a l k a l i z o v a c
alkalizácia	a l k a l i z aː t͡s i̯ a
alkoholizmus	a l k o ɦ o l i z m u s
alkoholizovať	a l k o ɦ o l i z o v a c
alkoholizácia	a l k o ɦ o l i z aː t͡s i̯ a
alkín	a l k iː n
alokovať	a l o k o v a c
alokácia	a l o k aː t͡s i̯ a
