aatagrafi	aː t a ɡ r a f i
abeng	æ b ɛ ŋ
accompong	a k ʌ m p ʌ ŋ
ackee	a k ɪ
affi	a f ɪ
afi	a f ɪ
aks	ɑː k s
aks	ɔː k s
anansi	a n a n s i
anedda	a n ɛ d a
anuh	a n ʌ
babylon	b a b ɪ l a n
bada	b a d a
badi	b a d i
badmind	b a d m a ɪ n
balmyard	b ɑː m j ɑː d
bammy	b a m i
bandwagonist	b a n w a ɡ a n ɪ s
bankra	b a ŋ k r a
banton	b a n t a n
bara	b ɑː r a
baro	b ɑː r a
baro	b ɑː r ʌ
bat	b a t
batty	b a t ɪ
battyman	b a t ɪ m a n
bills	b ɪ l z
bloodclaat	b l ʌ d k l ɑː t
bomboclaat	b ʌ m b ʌ k l ɑː t
boops	b ʊ p s
boots	b uː t s
bowcat	b ɔ ʊ̯ kʲ a t
bredda	b r ɛ d a
brinks	b ɹ ɪ ŋ k s
browning	b ɹ ɔ ʊ̯ n ɪ n
bruck	b ɹ ʌ k
butu	b ʊ t ʊ
bwoy	b w a ɪ
calaban	k a l a b a n
canna	k a n ə
carochies	k a ɹʷ oː t͡ʃ ɪ z
carochies	k ʌ ɹʷ oː t͡ʃ ɪ z
cerasee	s ɜ ɹ s ɪ
cerasee	s ʌ ɹ s ɪ
cerfiticket	s ɝ f ɪ t ɪ k ɛ t
cerfiticket	s ʌ ɹ f ɪ t ɪ k ɛ t
chargie	t͡ʃ ɑː d͡ʒ ɪ
choch	t͡ʃ o t͡ʃ
chrii	t͡ʃ ɹ iː
cocobay	k ʌ k ʌ b ɛ
concorde	k a n k ɑː d
cotch	k a t ʃ
craven	k rʲ eː b ə n
craven	k rʲ eː v ə n
crep	k ɹ ɛ p
cyaan	kʲ ɑ̃
cyaan	kʲ ɒ̃
cyan	k j a n
dem	d ɛ m
di	d i
difrant	d i f r a n t
don	d a n
duppy	d ʌ p ɪ
dutchy	d ʌ t͡ʃ ɪ
dutty	d ʌ t ɪ
ed	e d
ello	h ɛ l oː
ello	h ɛ l ɔː
enuh	ɪ n ʌ
evribadi	e v r i b a d i
faada	f aː d a
faambli	f aː m b l i
falara	f a l a r a
fambili	f a m b i l i
fass	f ɑː s
fassy	f a s ɪ
fenneh	f ɛ n ɛ
fi	f ɪ
fies	fʲ e s
fingga	f i n ɡ a
flim	f l ɪ m
fram	f ɹ a m
fuckery	f ʌ k ɹ ɪ
fuud	f uː d
garrison	ɡʲ a ɹ ɪ s ə n
gizzada	ɡ ɪ z ɑː d a
grabba	ɡ ɹ a b a
guango	ɡ w a ŋ ɡ ʌ
guinep	ɡ ɪ n ɛ p
gungo	ɡ ʊ ŋ ɡ ʊ
guzu	ɡ ʊ z ʊ
gyal	ɡʲ a l
gyallis	ɡʲ a l ɪ s
haffi	a f i
haffi	h a f i
heartical	h ɑː ɹ t ɪ k a l
higgler	h ɪ ɡ l a
hit	h ɪ t
hush	h ʌ ʃ
iit	iː t
im	i m
irie	a ɪ ɹ i
ital	a ɪ t a l
jamaica	d͡ʒ a mʲ eː k a
jamaica	d͡ʒ ʌ mʲ eː k a
jamaican	d͡ʒ a mʲ eː k a n
jamaican	d͡ʒ ʌ mʲ eː k a n
jamdown	d͡ʒ a m d ɔː n
jamdown	d͡ʒ a m d ʌ ŋ
jiizas	d͡ʒ iː z a s
jook	d ʒ ʊ k
jred	d r e d
jumiekan	d͡ʒ a mʲ eː k a n
jumiekan	d͡ʒ ʌ mʲ eː k a n
junjo	d͡ʒ ʌ n d͡ʒ ʌ
konchri	k o n t ʃ r i
laad	l aː d
laaf	l aː f
labrish	l a b ɹ ɪ ʃ
likkle	l ɪ k l
lime	l a ɪ m
magnum	m a ɡ n ʌ m
mampy	m a m p ɪ
manley	m a n l ɪ
mawga	m ɑː ɡ a
memba	m e m b a
mi	m ɪ
miggle	m ɪ ɡ ə l
mobay	m ʌ bʲ eː
nanny	n a n ɪ
natty	n a t ɪ
naw	n ɑː
naw	n ɔː
nobadi	n o b a d i
nuh	n ə
nyam	ɲ a m
nyanga	ɲ a ŋ ɡ a
partner	p ɑː d n a
patty	p a t ɪ
patwa	p a t w a
pear	pʲ e ɹ
peas	p iː z
pickney	p ɪ k n ɪ
pickney	p ɪ k ɪ n ɪ
piis	p iː s
pikni	p ɪ k n ɪ
pikni	p ɪ k ɪ n ɪ
politrickster	p a l ɪ t͡ʃ ɹ ɪ k s t a
pon	p ɒ n
pongonut	p ʌ ŋ ɡ a n ʌ t
pongonut	p ʌ ŋ ɡ ʌ n ʌ t
posse	p a s ɪ
powaful	p a ʊ a f uː l
pree	p r iː
prekeh	p ɹ ɛ k ɛ
punani	p ʊ n ɑː n i
quattie	k w a t ɪ
quint	k w ɪ n t
raatid	ɹ ɑː t ɪ d
rass	ɹ ɑː s
rassclaat	ɹ ɑː s k l ɑː t
ratbat	ɹ a t b a t
respect	ɹ ɪ s s p ɛ k
revilieshan	r ɛ v i lʲ e ʃ a n
robot	ɹʷ oː b ʌ t
rudie	ɹ u d ɪ
runnings	ɹ ʌ n ɪ n z
samfie	s a m f a ɪ
scallion	s k ɛ l j a n
se	s e
shearer	ʃʲ eː ɹ a
shotta	ʃ a t a
simitri	s i m i t ʃ r i
spliff	s p l ɪ f
suod	sʷ o d
taak	t aː k
tallawah	t a l a w a
tambrin	t a m b ɹ a n
tambrin	t a m b ɹ ɪ n
tambrin	t a m b ɹ ɪ ŋ
tek	t ɛ k
tiit	t iː t
unnu	ʊ n ʊ
uoli	o u l i
wagonist	w a ɡ a n ɪ s
wan	w a n
wi	w iː
worl	w o r l
yaad	j aː d
yai	j a i
yanga	j a ŋ ɡ a
yard	j ɑː d
yard	j ɔː d
yardie	j ɑː d ɪ
yardie	j ɔː d ɪ
yuh	j ʊ
yuh	j ʌ
