a	ɑ
a	ɑː
aabits	ɑˑ b̥ i t s
aada	ɑː d̥ ɑ
aadam	ɑː d̥ ɑ m
aadress	ɑː d̥ r e sʲː
aafrika	ɑˑ f r i k ɑ
aaker	ɑː k e r
aam	ɑː m
aare	ɑˑ r e
aaron	ɑː r o n
aas	ɑː s
aasia	ɑː s i ɑ̯
aasta	ɑː s t ɑ
aastaaeg	ɑː s t ɑ ɑ e̯ ɡ̊
aastal	ɑː s t ɑ l
aastapäev	ɑː s t ɑ p æ e̯ v
aastat	ɑː s t ɑ t
aatelik	ɑː t e l i k
abielulahutus	ɑ b̥ i e l u l ɑ h u t u s
ablas	ɑ b̥ l ɑ s
abort	ɑ b̥ o r t
adekvaatne	ɑ d̥ e k v ɑː t n e
adverb	ɑ d̥ v e r b̥
adverbiline	ɑ d̥ v e r b̥ i l i n e
advokaat	ɑ d̥ v o k ɑː t
aeg	ɑ e̯ ɡ̊
aevastama	ɑ e̯ v ɑ s t ɑ m ɑ
ahas	ɑ h ɑ s
ahav	ɑ h ɑ v
aher	ɑ h e r
ahi	ɑ h i
ahm	ɑ h m
ahma	ɑ h m ɑ
ahmima	ɑ h m i m ɑ
ahne	ɑ h n e
ahtam	ɑ h t ɑ m
ahu	ɑ h u
ahven	ɑ h v e n
aiapiire	ɑ i̯ ɑ p iˑ r e
aidata	ɑ i̯ d̥ ɑ t ɑ
aine	ɑ i̯ n e
ainus	ɑ i̯ n u s
ait	ɑ i̯ t
aita	ɑ i̯ t ɑ
aitama	ɑ i̯ t ɑ m ɑ
aituma	ɑ i̯ t u m ɑ
aitäh	ɑ i̯ t æ h
aitüma	ɑ i̯ t y m ɑ
ajakiri	ɑ j ɑ k i r i
ajakirjandus	ɑ j ɑ k i r j ɑ n d̥ u s
ajakirjanik	ɑ j ɑ k i r j ɑ n i k
ajalugu	ɑ j ɑ l u ɡ̊ u
ajapiirang	ɑ j ɑ p iˑ r ɑ n ɡ̊
ajukasvaja	ɑ j u k ɑ s v ɑ j ɑ
aktiveerima	ɑ k t i v eː r i m ɑ
aktsiaturg	ɑ k t s i ɑ̯ t u r ɡ̊
alates	ɑ l ɑ t e s
albaania	ɑ l b̥ ɑː n i ɑ̯
albert	ɑ l b̥ e r t
aleksandra	ɑ l e k s ɑ n d̥ r ɑ
alina	ɑ l i n ɑ
alk	ɑ lʲ k
allergiline	ɑ lː e r ɡ̊ i l i n e
alustama	ɑ l u s t ɑ m ɑ
ambuma	ɑ m b̥ u m ɑ
ameerika	ɑ m eˑ r i k ɑ
ametlik	ɑ m e t l i k
ammuma	ɑ mː u m ɑ
amulett	ɑ m u l e tʲː
analüüs	ɑ n ɑ l yː s
analüüsima	ɑ n ɑ l yː s i m ɑ
and	ɑ nʲ d̥
anda	ɑ n d̥ ɑ
andis	ɑ nʲ d̥ i s
andma	ɑ n d̥ m ɑ
andmebaas	ɑ n d̥ m e b̥ ɑː s
andmebaas	ɑ n d̥ m e b̥ ɑː sʲ
andorra	ɑ n d̥ o rˑ ɑ
andreas	ɑ n d̥ r e ɑ̯ s
angela	ɑ n ɡ̊ e l ɑ
angelika	ɑ n ɡ̊ eː l i k ɑ
antarktis	ɑ n t ɑ r k t i s
antisemitism	ɑ n t i s e m i t i s m
antud	ɑ n t u d̥
apelsinimahl	ɑ p e l s i n i m ɑ h l
aplus	ɑ p l u s
apteek	ɑ p t eː k
apteek	ɑː p t eː k
arbuus	ɑ r b̥ uː s
areng	ɑ r e n ɡ̊
arheoloogia	ɑ r h e o̯ l oː ɡ̊ i ɑ̯
armastus	ɑ r m ɑ s t u s
armee	ɑ r m eː
armeenia	ɑ r m eː n i ɑ̯
artišokk	ɑ r t i ʃ o kː
arukus	ɑ r u k u s
aruküla	ɑ r u k y l ɑ
arutleja	ɑ r u t l e j ɑ
arvelaud	ɑ r v e l ɑ u̯ d̥
arvukas	ɑ r v u k ɑ s
aserbaidžaan	ɑ s e r b̥ ɑ i̯ d̥ ʒ ɑː n
asi	ɑ s i
asjatundja	ɑ s j ɑ t u nʲ d̥ j ɑ
asteroid	ɑ s t e r o i̯ d̥
astmevaheldus	ɑ s t m e v ɑ h e l d̥ u s
ateena	ɑ t eˑ n ɑ
atmosfäär	ɑ t m o s f æː r
austria	ɑ u̯ s t r i ɑ̯
autism	ɑ u̯ t i s m
auto	ɑ u̯ t o
automaatne	ɑ u̯ t o m ɑː t n e
avalik	ɑ v ɑ l i k
b	b̥
b	b̥ eː
baar	b̥ ɑː r
baklažaan	b̥ ɑ k l ɑ ʒ ɑː n
ballett	b̥ ɑ lː e tʲː
barrikaad	b̥ ɑ rː i k ɑː d̥
belfast	b̥ e l f ɑː s t
belgia	b̥ e lʲ ɡ̊ i ɑ̯
belgrad	b̥ e l ɡ̊ r ɑ d̥
berdõšš	b̥ e r d̥ ɤ ʃː
berliin	b̥ e r l iː n
biblioteek	b̥ i b̥ l i o̯ t eː k
bosnia	b̥ o sʲ n i ɑ̯
brüssel	b̥ r y sː e l
budapest	b̥ u d̥ ɑ p e s t
