ഁ	◌̃
ം	m
ഃ	h
അ	ɐ
അം	ɐ m
അംഗ	ɐ ŋ ɡ ɐ
അംഗം	ɐ ŋ ɡ ɐ m
അംഗത്വം	ɐ ŋ ɡ ɐ t̪ ʋ ɐ m
അംഗഭംഗം	ɐ ŋ ɡ ɐ bʱ ɐ ŋ ɡ ɐ m
അംഗരക്ഷകൻ	ɐ ŋ ɡ ɐ ɾ ɐ k ʂ ɐ ɡ ɐ n
അംഗലാവണ്യം	ɐ ŋ ɡ ɐ l aː ʋ ɐ ɳ j ɐ m
അംഗവിഛേദനം	ɐ ŋ ɡ ɐ ʋ i t͡ʃʰ eː d̪ ɐ n ɐ m
അംഗവൈകല്യം	ɐ ŋ ɡ ɐ ʋ ɐ i̯ ɡ ɐ l j ɐ m
അംഗീകരണം	ɐ ŋ ɡ iː ɡ ɐ ɾ ɐ ɳ ɐ m
അംഗീകരിക്കുക	ɐ ŋ ɡ iː ɡ ɐ ɾ i k k u ɡ ɐ
അംഗീകാരം	ɐ ŋ ɡ iː ɡ aː ɾ ɐ m
അംഗീകൃത	ɐ ŋ ɡ iː k r i d̪ ɐ
അംഗുലം	ɐ ŋ ɡ u l ɐ m
അംഗോള	ɐ ŋ ɡ oː ɭ ɐ
അംഗൻവാടി	ɐ ŋ ɡ ɐ n ʋ aː ɖ i
അംബരം	ɐ m b ɐ ɾ ɐ m
അംബരചുംബി	ɐ m b ɐ ɾ ɐ d͡ʒ u m b i
അംബുജം	ɐ m b u d͡ʒ ɐ m
അംശം	ɐ m ʃ ɐ m
അംശവടി	ɐ m ʃ ɐ ʋ ɐ ɖ i
അംശു	ɐ m ʃ u
അംഹ്രി	ɐ m h r i
അഃ	h
അഃ	ɐ h
അഃ	ɐ h a
അകം	ɐ ɡ ɐ m
അകക്കണ്ണ്	ɐ ɡ ɐ k k ɐ ɳ ɳ ɨ̆
അകക്കാമ്പ്	ɐ ɡ ɐ k k aː m b ɨ̆
അകഠിന	ɐ ɡ ɐ ʈʰ i n ɐ
അകത്തി	ɐ ɡ ɐ t̪ t̪ i
അകത്തിയൻ	ɐ ɡ ɐ t̪ t̪ i j ɐ n
അകത്ത്	ɐ ɡ ɐ t̪ t̪ ɨ̆
അകനിന്ദ	ɐ ɡ ɐ n i n̪ d̪ ɐ
അകമ്പടി	ɐ ɡ ɐ m b ɐ ɖ i
അകരം	ɐ ɡ ɐ ɾ ɐ m
അകറ്റുക	ɐ ɡ ɐ t t u ɡ ɐ
അകലം	ɐ ɡ ɐ l ɐ m
അകലുക	ɐ ɡ ɐ l u ɡ ɐ
അകലെ	ɐ ɡ ɐ l e
അകാർബണിക	ɐ ɡ aː r b ɐ ɳ i ɡ ɐ
അകിട്	ɐ ɡ i ɖ ɨ̆
അകിൽ	a ɡ i l
അക്ക	ɐ k k ɐ
അക്കം	ɐ k k ɐ m
അക്കോലോമേറ്റ്	ɐ k k oː l oː m eː t t ɨ̆
അക്കൗണ്ട്	ɐ k k ɐ u̯ ɳ ɖ ɨ̆
അക്ട്	ɐ k ʈ ɨ̆
അക്രമം	ɐ k r ɐ m ɐ m
