bree	b ʁ eː
brokeze	b ʁ oː k ə z ə
broor	b ʀ oː ʀ
broër	b ʀ ɔ ə̯ ʁ
brämtǫl	b ʁ ɛ m t ɔ l
bröl	b ʀ œ l
bröll	b ʀ ø l
bröll	b ʀ œ l
brööje̩	b ʁ øː j ə
bälflöör	b ɛ l f l øː ʁ
bälflöör	b ɛ l f l ø̃ː ʁ
bärrech	b ɜ ʁ ə ç
bäöke	b œː k ə
bèdzje	b ɛ d͡ʒ ə
bèdzjere	b ɛ d͡ʒ ə ʀ ə
bèlle	b ɛ l ə
bé	b e
béër	b e ə̯ ʁ
béï	b e i̯
böëke	b ø ə̯ k ə
böëke	b œ ə̯ k ə
böük	b œ y̯ k
crappuul	k ʀ ɑ p y l
c͜he̩bit	ɣ ə b i t
c͜he̩wikst	ɣ ə ʋ i k s t
c͜hoodre̩nät	ɣ oː d ʁ ə n ɛ t
c͜hriipe̩	ɣ ʁ iː p ə
da	d aː
daach	d aː ˦ x
daach	d aː ˧ x
daach	d aː ˨ x
daade̩l	d aː d ə l
daag	d aː ˦ x
daag	d aː ˧ x
daag	d aː ˨ x
daak	d aː k
dabbe	d ɑ b ə
dakk	d a k
date̩l	d a t ə l
december	d e s æ m b ə ʀ
deer	d eː ʀ
degde̩	d e ɡ d ə
dek	d e k
demmele	d æ m ə l ə
dengke̩	d e ŋ k ə
denieëre	d ə n i ə̯ ʀ ə
der	d æ ʀ
dieëw	l i ə̯ ʋ
dik	d e k
dik	d i k
do	d oː
do	d ɔː
donneere	d o n eː ʁ ə
doon	d oː n
doëne	d ɔ ə̯ n ə
dreen	d ʀ eː n
drie̩ne̩	d ʁ i ə̯ n ə
droon	d ʀ oː n
droum	d ʁ ɔ u̯ m
druf	d ʁ u f
druuf	d ʁ uː f
dräkksakk	d ʁ ɛ k z a k
dróppel	d ʀ o p ə l
dröpp	d ʀ ø p
due̩t	d u ə̯ t
dump	d u m p
dängke̩	d ɛ ŋ k ə
dänke	d ɛ ŋ k ə
détsämmber	d e t͡s ɛ m b ə ʁ
déë	d e ə̯
déër	d e ə̯ ʁ
dónnieëre	d o n i ə̯ ʀ ə
döbe̩	d ø b ə
dönke	d œ ŋ k ə
echel	æ x ə l
effe	æ f ə
ei	ɛ i̯
eik	ɛ i̯ k
estósse	ə s t o s ə
euver	øː v ə ʀ
februari	f e b ʀ u aː ʀ i
filu	f i l u
frattel	f ʁ a t ə l
fébruwaar	f e b r u ʋ aː ʁ
fókke	f o k ə
gaon	ɣ ɔː n
gebétt	ɣ ə b e t
geer	ɣ eː ʁ
gekaleerd	ɣ ə k a l eː ʁ d
gennep	ɣ æ n ə p
geschéë	ɣ ə ʃ e ə̯
get	ʝ æ t
gewiekst	ɣ ə ʋ iː k s t
gitaar	ɣ i t aː ʁ
gitaar	ʝ i t aː ʁ
gott	ɣ ɔ t
goustech	ɣ ɔ u̯ s t ə ç
gout	ɣ ɔ u̯ ˦ t
gout	ɣ ɔ u̯ ˨ t
goëne	ɣ ɔ ə̯ n ə
graat	ɣ ʀ aː t
grashook	ɣ ʁ a s h oː k
grevors	ɣ ʁ eː v ɔ ʁ s
gätt	ɣ ɛ t
géll	ɣ e l
génneraliseere	ɣ e n ə ʁ a l i z eː ʁ ə
génnereere	ɣ e n ə ʁ eː ʁ ə
haane	h aː n ə
haane̩köl	h aː n ə k ø l
haasemaunt	h aː z ə m a u̯ n t
hae	h æː
hae	h ɛː
haegelsem	h æː ɣ ə l s ə m
hals	h a l s
hand	h ɑ n t
haors	h ɔː ʁ s
haundert	h a u̯ n d ə ʁ t
haunt	h a u̯ n t
haus	h a u̯ s
haïnt	h a i̯ ˨ n t
haïntwärrek	h a i̯ n t ʋ ɛ ʁ ə k
heebel	h eː b ə l
heie	h ɛ i̯ ə
heim	h ɛ i̯ m
helje	h æ ʎ ə
hieër	h i ə̯ ʁ
hie̩re̩	h i ə̯ ʁ ə
hit	h ɪ t
hiër	h i ə̯ ʁ
hoff	h ɔ f
hooktant	h oː k t a n t
hooriṣǫn	h oː ʁ i z ɔ n
hoot	h oː t
hukke	h u k ə
huss	h u ˦ s
huus	h uː ˨ s
huusege	h uː z ə ɣ ə
huuslue̩k	h uː s l u ə̯ k
huut	h uː t
häri	h ɛ ʁ i
héll	h e l
hétt	h e t
héë	h e ə̯
héïm	h e i̯ m
héïvesch	h e i̯ v ə ʃ
héïvesche	h e i̯ v ə ʃ ə
höbbe	ɦ œ b ə
höll	h œ l
höëm	h œ ə̯ m
höër	h œ ə̯ ʁ
iich	iː ç
iir	iː ʁ
iire	iː ʁ ə
janne	j a n ə
jannewaar	j a n ə ʋ aː ʁ
jong	j o ŋ
jong	j ɔ ŋ
jonk	j ɔ ŋ k
joë	j ɔ ə̯
joër	j ɔ ə̯ ʁ
joërhaundert	j ɔ ə̯ ʁ h a u̯ n d ə ʁ t
juss	j u s
juuli	j uː l i
juuni	j uː n i
kabiin	k a b iː n
kalle	k a l ə
kalle	k ɑ l ə
kauche	k a u̯ x ə
kaut	k a u̯ t
kaïnt	k a i̯ n t
kepèl	k ə p ɛ l
kessel	k æ s ə l
kie̩sch	k i ə̯ ʃ
kie̩sche̩prum	k i ə̯ ʃ ə p ʁ u m
kische	k i ʃ ə
klevver	k l ɛ v ə ʁ
klie̩	k l i ə̯
klämme	k l ɛ m ə
kléïn	k l e i̯ n
klǫǫr	k l ɔː ʁ
kniin	k n iː ˦ n
kniin	k n iː ˨ n
kniipe	k n iː p ə
knofloe̩k	k n o f l o ə̯ k
knoflue̩k	k n o f l u ə̯ k
kné	k n eː
knöödel	k n øː d ə l
koke̩snue̩t	k o k ə̯ s n u ə̯ t
kommelejuuën	k o m ə l ə j uː ə̯ n
kommissjuuën	k o m i s j uː ə̯ n
kommparatiif	k ɔ m p a ʁ a t iː f
konnst	k ɔ n s t
konntakkteere	k ɔ n t a k t eː ʁ ə
koore	k oː ʁ ə
korrt	k o ʁ t
kossmoss	k ɔ s m ɔ s
koupe	k ɔ u̯ p ə
koëme	k o ə̯ m ə
kreech	k ʁ eː ç
kriische	k ʁ iː ʃ ə
krijje	k ʁ i j ə
kriëk	k ʁ i ə̯ k
krokkedill	k r o k ə d i l
krolle	k ʁ ɔ l ə
kroëpétt	k ʁ ɔ ə̯ p e t
kroëpéttschlaat	k ʁ ɔ ə̯ p e t ʃ l aː t
krue̩n	k ʁ u ə̯ n
kruupe	k ʁ uː p ə
kruut	k ʁ uː t
krüts	k ʁ y t͡s
ku	k uː
kuusj	k y ʃ
kwääle	k ʋ ɛː l ə
kärrts	k ɛ ʁ t͡s
käüche	k ɔ ʏ̯ x ə
kómplezant	k o m p l e z a n t
kölle	k œ l ə
kölsch	k œ l ʃ
köndech	k ø n d e x
köndech	k ø ɲ d e x
könne	k ø n ə
könnegänn	k ø n ə ɣ ɛ n
könnek	k ø n ə k
köppe	k ø p ə
körref	k ø ˦ ʁ ə f
körref	k ø ˨ ʁ ə f
küsch	k y ʃ
küsch	k y ˦ ʃ
küschel	k y ʒ ə l
küschvärreke	k y ʃ v ɛ ʁ ə k ə
kǫe̩l	k ɔ ə̯ ˦ l
kǫndech	k ɔ n d e x
laache	l aː x ə
labööre̩	l a b øː ʁ ə
lakks	l a k s
lakrétts	l a k ʁ e t͡s
lamp	l a m p
lavvabo	l a v a b o
laïnt	l a i̯ n t
laïnts	l a i̯ n t͡s
laïntsvall	l a i̯ n t͡s v a l
leet	l eː t
le̩wäi	l ə ʋ ɛ i̯
le̩wäit	l ə ʋ ɛ i̯ t
libäll	l i b ɛ l
liif	l iː f
liik	l iː k
liin	l iː n
liist	l iː s t
lijje	l i j ə
liëne	l i ə̯ n ə
liëre	l i ə̯ ʁ ə
lottem	l ɔ t ə m
loupe	l ɔ u̯ p ə
loët	l ɔ ə̯ t
loëte	l ɔ ə̯ t ə
lue̩k	l u ə̯ k
luure	l uː ʁ ə
luustere	l uː s t ə ʁ ə
läkke	l ɛ k ə
léjje	l e j ə
léjjer	l e j ə ʁ
léëch	l e ə̯ ç
léëge	l e ə̯ ʝ ə
léëpel	l e ə̯ p ə l
léëse	l e ə̯ z ə
léët	l e ə̯ t
léëve	l e ə̯ v ə
léëver	l e ə̯ v ə ʁ
léïf	l e i̯ f
léïge	l e i̯ ʝ ə
léït	l e i̯ ˦ t
léït	l e i̯ ˨ t
lösse	l œ s ə
lösse	l ʏ s ə
lü	l y
maake	m aː k ə
maale	m aː l ə
maart	m aː ʁ t
mael	m æː l
manscheere	m a n ʒ eː ʁ ə
marrmoër	m a ʁ m ɔ ə̯ ʁ
massakreere	m a s a k ʁ eː ʁ ə
mauntwaater	m a u̯ n t ʋ aː t ə ʁ
meemoori	m eː m oː ʁ i
mele̩k	m e l ə k
mele̩ktangk	m e l ə k t a ŋ k
mele̩ktant	m e l ə k t a n t
menütt	m ə n y t
meschtreech	m ə ʃ t ʁ eː ç
meulenhoek	m øː l ə n h u k
me̩luun	m ə l uː n
mich	m i x
mich	m ɪ k
mich	m ɪ x
middelar	m ɪ d ə l a ʁ
miener	m i n ə r
mieëldere	m iː ə̯ l d ə ʁ ə
miich	m iː ç
miiner	m iː n ə ʁ
mime̩l	m i m ə l
mir	m i r
mir	m ɪ r
mo	m ɔ
modder	m o d ə ʁ
moddergoëdes	m o d ə ʁ ɣ ɔ ə̯ d ə s
modderschproëk	m o d ə ʁ ʃ p ʁ ɔ ə̯ k
monakko	m o n a k o
monndech	m ɔ n d ə ç
mook	m oː k
motte	m o t ə
moële	m ɔ ə̯ l ə
moën	m ɔ ə̯ n
mull	m u l
muur	m uː ˦ ʁ
muur	m uː ˨ ʁ
muus	m uː s
männech	m ɛ n ə ç
märrek	m ɛ ʁ ə k
märrts	m ɛ ʁ t͡s
mätts	m ɛ t͡s
mäülech	m ɔ ʏ̯ l ə ç
métt	m e t
méï	m e i̯
mö	m ø ʏ̯
mö	m øː
mökk	m ø k
mönnt	m ø n t
mösch	m ø ʃ
möële	m œ ə̯ l ə
möëlepärrtje	m œ ə̯ l ə p ɛ ʁ t͡ʃ ə
möön	m øː n
mǫe̩nt	m ɔ e̯ n t
mǫndeklips	m ɔ n d e k l i p s
mǫnt	m ɔ n t
mǫǫnt	m ɔː n t
naagel	n aː ɣ ə l
naas	n aː s
naat	n aː t
natt	n a t
natts	n a t͡s
neet	n eː t
nollt	n ɔ l t
notitts	n o t i t͡s
novämmber	n o v ɛ m b ə ʁ
noë	n ɔ ə̯
noëber	n ɔ ə̯ b ə r
nuu	n uː
néttmië	n e t m i ə̯
néërlaïnt	n e ə ʁ l a i̯ n t
nö	n øː
nösele	n ø z ə l ə
növve	n ø v ə
nöüme	n ø y̯ m ə
nöümǫǫnt	n ø y̯ m ɔː n t
nüün	n yː n
o	o
o	ɔ
off	ɔ f
offere	ɔ f ə ʁ ə
ogusst	o ɣ u s t
okktoober	ɔ k t oː b ə ʁ
oliif	o l iː f
osstere	o s t ə ʁ ə
otersóm	oː t ə ʁ s o m
ouchsape̩l	ɔ u̯ x s a p ə l
oëke	ɔ ə̯ k ə
oëlech	ɔ ə̯ l ə ç
oëm	ɔ ə̯ m
oëme	ɔ ə̯ m ə
oëne	ɔ ə̯ n ə
oër	ɔ ə̯ ʁ
oëve	ɔ ə̯ v ə
pafferik	p ɑ f ə ʀ ɪ k
pann	p a n
pappegaï	p a p ə ɣ a i̯
paprika	p a p ˨ ʁ i k a
paprika	p a ˨ p ʁ i k a
parreplü	p a ʁ ə p l y
passtuër	p a s t u ə̯ ʁ
païnt	p a i̯ n t
peseere	p ə z eː ʁ ə
pie̩tsch	p i ə̯ t͡ʃ
piin	p iː n
piip	p iː p
piipe	p iː p ə
pingke̩r	p i ŋ k ə ʁ
pië	p i ə̯
plaan	p l aː n
plasmeule	p l a s m øː l ə
platt	p l a t
plouch	p l ɔ u̯ x
ploëch	p l ɔ ə̯ ç
pläkke	p l ɛ k ə
pléséër	p l e z e ə̯ ʁ
plüschprumm	p l y ʃ p ʁ u m
plüüschprum	p l yː ʃ p ʁ u m
poor	p oː ʁ
porré	p ɔ ʁ eː
poërt	p ɔ ə̯ ʁ t
poëschdaach	p ɔ ə̯ ʃ d aː x
poësche	p ɔ ə̯ ʃ ə
prake̩ṣeere̩	p ʁ a k ə z eː ʁ ə
prum	p ʁ u m
pännseere	p ɛ n z eː ʁ ə
päschtaake̩l	p ɛ ʃ t aː k ə l
pésse	p e s ə
péërt	p e ə̯ ʁ t
pöll	p ø l
rabarrber	ʁ a b a ʁ b ə ʁ
rabau	ʁ a b a u̯
radau	ʁ a d a u̯
raïnt	ǀ ʁ a i̯ n t
rezenoabel	ʁ e z ə n ɔː b ə l
re̩barbe̩r	ʁ ə b a ʁ b ə ʁ
re̩nät	ʁ ə n ɛ t
riin	ʁ iː n
riive	ʁ iː v ə
rijje	ʁ i j ə
ro	ʁ oː
romaaniseere	ʁ o m aː n i z eː ʁ ə
rottelé	ʁ o t ə l e
rouke	ʁ ɔ u̯ k ə
roupe	ʁ ɔ u̯ p ə
ruum	ʁ uː m
ruë	ʁ u ə̯
ruës	ʁ u ə̯ s
rätts	ʁ ɛ t͡s
rättserömm	ʁ ɛ t͡s ə ʁ ø m
rään	ʁ ɛː n
räänboëch	ʁ ɛː n b ɔ ə̯ ç
rääne	ʁ ɛː n ə
réët	ʁ e ə̯ t
rök	ʁ ø k
röüjech	ʁ ø y̯ j ə ç
rüë	ʁ y ə̯
rüüke	ʁ yː k ə
rǫnge̩	ʁ ɔ ŋ ə
sallem	z a l ə m
sammstech	z a m s t ə ç
saundech	z a u̯ n d ə ç
saïlde	z a i̯ l d ə
schaluës	ʒ a l u ə̯ s
schatte	ʃ a t ə
scheesös	ʒ eː z ø s
schiif	ʃ iː f
schiine	ʃ iː n ə
schikk	ʃ i k
schlaat	ʃ l aː t
schlang	ʃ l a ŋ
schloëne	ʃ l ɔ ə̯ n ə
schloëpe	ʃ l ɔ ə̯ p ə
schluuch	ʃ l uː x
schläk	ʃ l ɛ k ˨
schléët	ʃ l e ə̯ t
schnape̩	ʃ n a p ə
schnauts	ʃ n a u̯ t͡s
schniitant	ʃ n i t a n t
schnijje	ʃ n i j ə
schnitaïnt	ʃ n i t a i̯ ˦ n t
schnitaïnt	ʃ n i t a i̯ ˨ n t
schnië	ʃ n i ə̯
schnéïje	ʃ n e i̯ ə
schnütts	ʃ n y t͡s
schokkel	ʃ o k ə l
schonnsreem	ʃ o n s ʁ eː m
schorrsch	ʃ ɔ ʁ ʃ
schosster	ʃ o s t ə ʁ
schotteleplakk	ʃ o t ə l ə p l a k
schoun	ʃ ɔ u̯ n
schounbaïnt	ʃ ɔ u̯ n b a i̯ n t
schowwer	ʃ o ʋ ə ʁ
schoëp	ʃ ɔ ə̯ p
schpannong	ʃ p a n o ŋ
schpeke̩leere̩	ʃ p e k ə l eː ʁ ə
schpektaake̩l	ʃ p e k t aː k ə l
schpitaal	ʃ p i t aː l
schproch	ʃ p ʁ o x
schproëk	ʃ p ʁ ɔ ə̯ k
schpréëke	ʃ p ʁ e ə̯ k ə
schpäk	ʃ p ɛ k
schpäkk	ʃ p ɛ k
schpäktaake̩l	ʃ p ɛ k t aː k ə l
schpéële	ʃ p e ə̯ l ə
schriin	ʃ ʁ iː n
schriine	ʃ ʁ iː n ə
schriive	ʃ ʁ iː v ə
schruuthaan	ʃ ʁ uː t h aː n
schtar	ʃ t a ʁ
schtat	ʃ t a t
schtats	ʃ t a t͡s
schtatt	ʃ t a t
schtokk	ʃ t ɔ k
schtoë	ʃ t ɔ ə̯
schtroët	ʃ t ʁ ɔ ə̯ t
schträss	ʃ t ʁ ɛ s
schtäin	ʃ t ɛ i̯ ˨ n
schtärreve	ʃ t ɛ ʁ ə v ə
schtärrt	ʃ t ɛ ʁ t
schtäär	ʃ t ɛː ʁ
schtéll	ʃ t e l
schtéllde	ʃ t e l d ə
schtélle	ʃ t e l ə
schtéï	ʃ t e i̯ ˨
schtéïn	ʃ t e i̯ ˦ n
schtéïn	ʃ t e i̯ ˨ n
schtökk	ʃ t ø k
schuël	ʃ u ə̯ l
schwarrt	ʒ ʋ a ʁ t
schwattse	ʃ ʋ a t͡s ə
schwaïn	ʒ ʋ a i̯ n
schwijje	ʒ ʋ i j ə
schwoër	ʒ ʋ ɔ ə̯ ʁ
schwämme	ʒ ʋ ɛ m ə
schwéëve	ʒ ʋ e ə̯ v ə
schäng	ʃ ɛ ŋ
schänk	ʃ ɛ ŋ k
schännde	ʃ ɛ n d ə
schärrep	ʃ ɛ ʁ ə p
schéël	ʃ e ə̯ l
schéële	ʃ e ə̯ l ə
schéëte	ʃ e ə̯ t ə
schödde	ʃ ø d ə
schüreere	ʒ y ʁ eː ʁ ə
segrèt	s ə ɣ ʀ ɜ t
si	z iː
sigrèt	s i ɣ ʀ ɜ t
sië	z i ə̯
siël	z i ə̯ l
sjaop	ʃ ɔː p
sjoeëtsj	ʃ uː ə t͡ʃ
sjouwer	ʃ ɔ u̯ ə ʀ
sjouwer	ʃ ɔ w ə ʀ
sjuutsj	ʃ yː t͡ʃ
slaope	s l ɔː p ə
slaope	ʃ l ɔː p ə
snierk	s n iː ʀ ə k
sokk	z ɔ k
sonne	z o n ə
sou	z ɔ u̯
soëm	z ɔ ə̯ m
speke̩leere̩	s p e k ə l eː ʁ ə
suppstantiif	z u p s t a n t iː f
suupe	z uː p ə
suë	z u ə̯
suër	z u ə̯ ʁ
sänn	z ɛ n
säunt	z ø y̯ n t
séllep	z e l ə p
sépptämmber	z e p t ɛ m b ə ʁ
sétte	z e t ə
séëne	z e ə̯ n ə
séïl	z e i̯ l
söss	z ø s
sösster	z ø s t ə ʁ
sövve	z ø v ə
söëke	z ø ə̯ k ə
söüt	z ø y̯ t
söütechkéït	z ø y̯ t ə ç k e i̯ t
söüthout	z ø y̯ t h ɔ u̯ t
tand	t a n t
tangk	t a ŋ k
tanjd	t a ɲ t
tant	t a n t
tant	t a ɲ t
taïnt	t a i̯ ˦ n t
taïnt	t a i̯ ˨ n t
tiendere	t iː n d ə ʁ ə
tiit	t iː t
tiën	t i ə̯ n
tompoeske	t ɔ m p u s k ə
tong	t o ŋ
trottwaar	t ʁ o t ʋ aː ʁ
trékke	t ʁ e k ə
tréë	t ʁ e ə̯
tsaubere	t͡s a u̯ b ə ʁ ə
tsigerätt	t͡s i ɣ ə ʀ ɛ t
tsigrèt	t͡s i ɣ ʀ ɜ t
tsitrue̩n	t͡s i t ʁ u ə̯ n
tsokker	t͡s o k ə ʁ
tsoërt	t͡s ɔ ə̯ ʁ t
tsupp	t͡s u p
tunäll	t u n ɛ l
twällef	t ʋ ɛ l ə f
twéï	t ʋ e i̯
tälde̩r	t ɛ l d ə ʁ
téjaater	t e j aː t ə ʁ
télle	t e l ə
tüüt	t yː t
tǫmpuske̩	t ɔ m p u s k ə
ue̩rschprongk	u ə̯ ʁ ʃ p ʁ o ŋ k
ureneere	u ʁ ə n eː ʁ ə
uutprake̩ṣeere̩	uː t p r a k ə z eː ʁ ə
uutschtee̩ke̩	uː t ʃ t e ə̯ k ə
uutschtääke̩	uː t ʃ t ɛː k ə
uër	u ə̯ ʁ
vaam	v aː m
vadder	v a d ə ʁ
vallje	v a l j ə
vaors	v ɔː ʁ s
varrijaabel	v a ʁ i j aː b ə l
veer	v eː ʁ
venlo	v æ n l oː
verkammesöële	v ə ʁ k a m ə z œ ə̯ l e
verkoëme	v ə ʁ k o ə̯ m ə
vertélle	v ə ʁ t e l ə
ve̩rprake̩ṣeere̩	v ə ʁ p ʁ a k ə z eː ʁ ə
viich	v iː x
viire	v iː ʁ ə
vlǫǫr	v l ɔː ʁ
voëgel	v ɔ ə̯ ɣ ə l
vro	v ʁ ɔː
vroumännsch	v ʁ ɔ u̯ m ɛ n ʃ
vrǫme̩sch	v ʁ ɔ m ə ʃ
vue̩r	v u ə̯ ʁ ˧
vuër	v u ə̯ ʁ
väl	v ɛ l
vännster	v ɛ n s t ə ʁ
värrep	v ɛ ʁ ə p
värtikaal	v ɛ ʁ t i k aː l
väärdech	v ɛː ʁ d ə ç
väësch	v ɛ ə̯ ʃ
vélle	v e l ə
vésche	v e ʃ ə
vöël	v œ ə̯ l
vöër	v œ ə̯ ʁ
vöëraa	v œ ə̯ ʁ aː
vöëre	v œ ə̯ ʁ ə
vöët	v œ ə̯ t
vöüle	v ø y̯ l ə
vǫlmǫǫnt	v ɔ l m ɔː n t
waac͜he̩l	ʋ aː ɣ ə l
waarde	ʋ aː ʁ d ə
waase̩	ʋ aː s ə
waasse	ʋ aː s ə
waater	ʋ aː t ə ʁ
walltse	ʋ a l t͡s ə
waïnt	ʋ a i̯ ˦ n t
waïnt	ʋ a i̯ ˨ n t
waïnter	ʋ a i̯ n t ə ʁ
waïssele	ʋ a i̯ s ə l ə
weech	ʋ eː ç
wengkte̩rön	ʋ e ŋ k t ə ʁ ø n
wiif	ʋ iː f
wiin	ʋ iː n
wiit	ʋ iː t
wijjer	ʋ i j ə ʁ
wiki	w i ˦ k i ˨
wiki	w i ˦ k ə ˧
woëch	ʋ ɔ ə̯ ç
woër	ʋ ɔ ə̯ ʁ
woërt	ʋ ɔ ə̯ ʁ t
woësch	ʋ ɔ ə̯ ʃ
wu	ʋ uː
wuë	ʋ u ə̯
wännech	ʋ ɛ n ə ç
wärrem	ʋ ɛ ʁ ə m
wärrepe	ʋ ɛ ʁ ə p ə
wäärde	ʋ ɛː ʁ d ə
wéll	ʋ e l
wélle	ʋ e l ə
wéllekemm	ʋ e l ə k e m
wétt	ʋ e t
wéttfro	ʋ e t f ʁ oː
wéëk	ʋ e ə̯ k
wéëm	ʋ e ə̯ m
wéër	ʋ e ə̯ ˦ ʁ
wéër	ʋ e ə̯ ˨ ʁ
wéërvräüsch	ʋ e ə̯ ʁ v ʁ ɔ ʏ̯ ʃ
wéët	ʋ e ə̯ t
wéïch	ʋ e i̯ ç
wéïte	ʋ e i̯ t ə
wöërtsbouk	ʋ œ ə̯ ʁ t͡s b ɔ u̯ k
wǫlbe̩r	ʋ ɔ l b ə ʁ
zaerem	z æː ʁ ə m
zarett	t͡s a ʀ ɜ t
ächt	ɛ ç t
änne	ɛ n ə
ärrech	ɛ ʁ ə ç
ärrem	ɛ ʁ ə m
ärrent	ɛ ʁ ə n t
äsétte	ɛ z e t ə
äärt	ɛː ʁ t
äöf	œː f
äöje	œː j ə
äölentäöl	œː l ə n t œː l
égipte	e ɣ i p t ə
énnteeger	e n t eː ɣ ə ʁ
éëte	e ə̯ t ə
éï	e i̯
óffebek	o f ə b ɛ k
öle̩k	ø l ə k
ömm	ø m
önn	ø n
övver	ø v ə ʀ
övverléëge	ø v ə ʁ l e ə̯ ɣ ə
ṣon	z o n
ṣue̩rkie̩sch	z u ə̯ ʁ k i ə̯ ʃ
ṣöötkie̩sch	z øː t k i ə̯ ʃ
