A Di Đà	ʔ aː ˧˧ z i ˧˧ ʔ ɗ aː ˨˩
A Di Đà Phật	ʔ aː ˧˧ z i ˧˧ ʔ ɗ aː ˨˩ f ə t̚ ˧˨ ʔ
A Lịch Sơn	ʔ aː ˧˧ l ï k̟̚ ˧˨ ʔ s əː n ˧˧
A Lịch Sơn Đắc Lộ	ʔ aː ˧˧ l ï k̟̚ ˧˨ ʔ s əː n ˧˧ ʔ ɗ a k̚ ˧˦ l o ˧˨ ʔ
A Phú Hãn	ʔ aː ˧˧ f u ˧˦ h aː n ˦ˀ˥
A Q	ʔ aː ˧˧ k w i ˧˧
A Tu La	ʔ aː ˧˧ t u ˧˧ l aː ˧˧
ACE	ʔ a j ŋ̟ ˧˧ t͡ɕ i ˧˨ ʔ ʔ ɛ m ˧˧
ADN	ʔ aː ˧˧ ʔ ɗ e ˧˧ ʔ ɛ n ˧˧
AQ	ʔ aː ˧˧ k w i ˧˧
Ai Cập	ʔ aː j ˧˧ k ə p̚ ˧˨ ʔ
Ai Cập cổ đại	ʔ aː j ˧˧ k ə p̚ ˧˨ ʔ k o ˧˩ ʔ ɗ aː j ˧˨ ʔ
Ai Lao	ʔ aː j ˧˧ l aː w ˧˧
Alexanđê	ʔ aː ˧˧ l ɛ k̚ ˧˦ s aː n ˧˧ ʔ ɗ e ˧˧
Am Tước Đàm	ʔ aː m ˧˧ t ɨ ə k̚ ˧˦ ʔ ɗ aː m ˨˩
Ambrôsiô	ʔ aː m ˧˧ ʔ ɓ ɹ o ˧˧ s i ˧˧ ʔ o ˧˧
An	ʔ aː n ˧˧
An Dương	ʔ aː n ˧˧ z ɨ ə ŋ ˧˧
An Giang	ʔ aː n ˧˧ z aː ŋ ˧˧
An Huy	ʔ aː n ˧˧ h w i ˧˧
An Lão	ʔ aː n ˧˧ l aː w ˦ˀ˥
An Lê Mân	ʔ aː n ˧˧ l e ˧˧ m ə n ˧˧
An Nam	ʔ aː n ˧˧ n aː m ˧˧
An Ngãi	ʔ aː n ˧˧ ŋ aː j ˦ˀ˥
An Phong	ʔ aː n ˧˧ f a w ŋ͡m ˧˧
An Tôn	ʔ aː n ˧˧ t o n ˧˧
Anh	ʔ a j ŋ̟ ˧˧
Anh Cát Lợi	ʔ a j ŋ̟ ˧˧ k aː t̚ ˧˦ l əː j ˧˨ ʔ
Anh Quốc	ʔ a j ŋ̟ ˧˧ k u ə k̚ ˧˦
Anh giáo	ʔ a j ŋ̟ ˧˧ z aː w ˧˦
Anh ngữ	ʔ a j ŋ̟ ˧˧ ŋ ɨ ˦ˀ˥
Anh văn	ʔ a j ŋ̟ ˧˧ v a n ˧˧
Anphongsô	ʔ aː n ˧˧ f a w ŋ͡m ˧˧ s o ˧˧
Anphonsô	ʔ aː n ˧˧ f ɔ n ˧˧ s o ˧˧
Antôn	ʔ aː n ˧˧ t o n ˧˧
Anê	ʔ aː n ˧˧ n e ˧˧
Augustinô	ʔ a w ˧˧ ɣ u ˧˧ s t i n ˧˧ n o ˧˧
B	ʔ ɓ e ˧˧
B	ʔ ɓ e ˧˧ ʔ ɓ ɔ ˨˩
B	ʔ ɓ əː ˨˩
Ba Chúc	ʔ ɓ aː ˧˧ t͡ɕ ʊ w k͡p̚ ˧˦
Ba Lan	ʔ ɓ aː ˧˧ l aː n ˧˧
Ba Lê	ʔ ɓ aː ˧˧ l e ˧˧
Ba Na	ʔ ɓ aː ˧˧ n aː ˧˧
Ba Tàu	ʔ ɓ aː ˧˧ t a w ˨˩
Ba Tây	ʔ ɓ aː ˧˧ t ə j ˧˧
Ba Tư	ʔ ɓ aː ˧˧ t ɨ ˧˧
Ba Vì	ʔ ɓ aː ˧˧ v i ˨˩
Ba mươi sáu kế	ʔ ɓ aː ˧˧ m ɨ ə j ˧˧ s a w ˧˦ k e ˧˦
Ba Đình	ʔ ɓ aː ˧˧ ʔ ɗ ï ŋ ˨˩
Baidu	ʔ ɓ aː j ˧˧ ʔ ɗ u ˧˧
Ban Chấp hành Trung ương	ʔ ɓ aː n ˧˧ t͡ɕ ə p̚ ˧˦ h a j ŋ̟ ˨˩ t͡ɕ ʊ w ŋ͡m ˧˧ ʔ ɨ ə ŋ ˧˧
Ban Mê Thuột	ʔ ɓ aː n ˧˧ m e ˧˧ tʰ u ə t̚ ˧˨ ʔ
Batôlômêô	ʔ ɓ aː ˧˧ t o ˧˧ l o ˧˧ m e ˧˧ ʔ o ˧˧
