almyghty	a l m i ç t iː
chosling	t͡ʃ oː z l i ŋ ɡ
chosling	t͡ʃ oː z l i ŋ ɡ
dingen	d i ŋ ɡ ə n
fright	f r i ç t ə
frighten	f r i ç t ə n
fynger	f i ŋ ɡ ə r
houre	ʊ w ɾ
hunger	h u ŋ ɡ ə r
hungren	h u ŋ ɡ r ə n
hungry	h u ŋ ɡ r iː
king	k i ŋ ɡ
lynx	l i ŋ k s
misgang	m i s ɡ a ŋ ɡ
myght	m i ç t
myght	m a u̯ x t
myghty	m i ç t iː
myghty	m a u x t iː
nighte	n i ç t
nihterne	n i ç t ə r n ə
niȝt	n i ç t
nothyng	n ɔː θ i ŋ ɡ
outwardes	ʊ w t w a ɾ d z
spring	s p r i ŋ ɡ
spynx	s p i ŋ k s
stynkynge	s t i ŋ k i ŋ ɡ
stynkynge	s t i ŋ k i ŋ ɡ
thyng	θ i ŋ ɡ
tronke	t r u ŋ k
wrong	w r ɔ ŋ ɡ
wrong	r ɔ ŋ ɡ
wrongful	w r ɔ ŋ ɡ f u l
wrongful	r ɔ ŋ ɡ f u l
wrongfully	w r ɔ ŋ ɡ f u l iː
wrongfully	r ɔ ŋ ɡ f u l iː
yong	j u ŋ ɡ
