ء	ʔ
آ	ɒː
آئورت	ɒː ʔ o ɾ t
آب	ɑː b
آب	ɒː b
آب	ɔː b
آباد	ɑː b ɑː d
آباد	ɒː b ɒː d
آباد	ɔː b ɔː d
آبان	ɒː b ɒː n
آبدست	ɑː b d a s t
آبدست	ɒː b d a s t
آبدست	ɒː b d æ s t
آبدست	ɔː b d a s t
آبشار	ɑː b ʃ ɑː ɾ
آبشار	ɒː b ʃ ɒː ɾ
آبشار	ɔː b ʃ ɔː ɾ
آبلیمو	ɒː b l iː m uː
آبنوس	ɑː b n uː s
آبنوس	ɒː b n uː s
آبنوس	ɔ b n u s
آبگینه	ʔ ɒː b ɡ iː n e
آبگینه	ʔ ɒː b ɡ iː n æ
آبی	ɑː b iː
آبی	ɒː b iː
آبی	ɔː b iː
آتش	ɑː tʰ a ʃ
آتش	ɒː tʰ a ʃ
آتش	ɒː tʰ æ ʃ
آتش	ɔː tʰ a ʃ
آتنا	ɑː t i n ɑː
آتنا	ɒː t e n ɒː
آتنا	ɒː t ɪ n ɒː
آتنا	ɔː t i n ɔː
آجر	ɑː d͡ʒ u ɾ
آجر	ɒː d͡ʒ o ɾ
آجر	ɒː d͡ʒ ʊ ɾ
آجر	ɔː d͡ʒ u ɾ
آجیل	ɑː d͡ʒ iː l
آجیل	ɒː d͡ʒ iː l
آجیل	ɔː d͡ʒ i l
آخ	ɒː χ
آخر	ɒː x æ ɾ
آخور	ʔ ɑː xʷ a ɾ
آخور	ʔ ɒː x o ɾ
آخور	ʔ ɒː x ʊ ɾ
آخور	ʔ ɔː x u ɾ
آخوند	ɑː x uː n d
آخوند	ɒː x uː n d
آخوند	ɔː x u n d
آدرس	ɒː d ɾ e s
آدم	ɑː d a m
آدم	ɒː d a m
آدم	ɒː d æ m
آدم	ɔː d a m
آدم‌ها	ɒː d æ m h ɒː
آدینه	ɑː d iː n a
آدینه	ɒː d iː n a
آدینه	ɒː d iː n e
آدینه	ɔː d i n a
آذر	ɑː z a ɾ
آذر	ɒː z a ɾ
آذر	ɒː z æ ɾ
آذر	ɔː z a ɾ
آذربایجان	ɑː z a ɾ b ɑː j d͡ʒ ɑː n
آذربایجان	ɒː z a ɾ b ɒː j d͡ʒ ɒː n
آذربایجان	ɒː z æ ɾ b ɒː j d͡ʒ ɒː n
آذربایجان	ɔː z a ɾ b ɔː j d͡ʒ ɔː n
آذرخش	ɑː ð a ɾ a x ʃ
آذرخش	ɒː z a ɾ a x ʃ
آذرخش	ɒː z æ ɾ æ x ʃ
آذرخش	ɔː z a ɾ a x ʃ
آراستن	ɑː ɾ ɑː s t a n
آراستن	ɒː ɾ ɒː s t a n
آراستن	ɒː ɾ ɒː s t æ n
آراستن	ɔː ɾ ɔː s t a n
آرام	ɑː ɾ ɑː m
آرام	ɒː ɾ ɒː m
آرام	ɔː ɾ ɔː m
آرامگاه	ɑː ɾ ɑː m ɡ ɑː h
آرامگاه	ɒː ɾ ɒː m ɡ ɒː h
آرامگاه	ɔː ɾ ɔː m ɡ ɔː h
آرامی	ɒː ɾ ɒː m iː
آرایش	ɑː ɾ ɑː j i ʃ
آرایش	ɒː ɾ ɒː j e ʃ
آرایش	ɒː ɾ ɒː j ɪ ʃ
آرایش	ɔː ɾ ɔː j i ʃ
آرایشگاه	ɑː ɾ ɑː j i ʃ ɡ ɑː h
آرایشگاه	ɒː ɾ ɒː j e ʃ ɡ ɒː h
آرایشگاه	ɒː ɾ ɒː j ɪ ʃ ɡ ɒː h
آرایشگاه	ɔː ɾ ɔː j i ʃ ɡ ɔː h
آرد	ɑː ɾ d
آرد	ɒː ɾ d
آرد	ɔː ɾ d
