А	ä
А	ɑ
Б	b
Б	β
Бешкәк	b ɪ̞ ʃ k æ k
Бәхрәйн	b æ χ r æ j n
В	v
В	w
Г	ɡ
Д	d
Е	j e
Е	j ɪ̞
Е	ɪ̞
Е	ʲe
Ж	ʐ
Ж	ʒ
З	z
И	e
И	i
И	ɪ j
Й	j
К	k
Л	l
Л	ɫ
М	m
Марат	m ɑ r ɑ t
Морат	m ʊ̞ r ɑ t
Н	n
О	o
О	ʊ̞
П	p
Р	r
С	s
Т	t
У	o
У	u
Ф	f
Х	χ
Ц	t͡s
Ч	t͡ʃ
Ш	ʂ
Ш	ʃ
Щ	ɕː
Ы	ɨ
Ы	ɯ̞
Э	ɛ
Э	ɪ̞
а	ä
а	ɑ
ала	ɑ ɫ ɑ
алан	ɑ ɫ ɑ n
алағарай	ɑ l̴ ɑ ʁ ɑ r ɑ j
алғасҡы	ɑ l̴ ʁ ɑ s q ɯ
атау	ɑ t ɑ w
ауыр	ɑ w ɯ̞ ɾ
аҡъюлай	ɑ q j u l̴ ɑ j
б	b
б	β
баҙ	b ɑ ð
белешмә	b ɪ̞ l ɪ̞ ʃ m æ
бесәйҙәр	b ɪ̞ s æ j ð æ r
бешкәк	b ɪ̞ ʃ k æ k
болот	b ʊ̞ ɫ ʊ̞ t
бот	b ʊ̞ t
боғаҙ	b ʊ ʁ ɑ ð
буй	b o j
буранай	b u r ɑ n ɑ j
буғаҙ	b u ʁ ɑ ð
быуын	b ɯ̞ w ɯ̞ n
бүлмә	b ʏ l m æ
в	v
в	w
ваба	w ɑ b ɑ
г	ɡ
д	d
дан	d ɑ n
е	j e
е	j ɪ̞
е	ɪ̞
е	ʲe
еп	j ɪ̞ p
ж	ʐ
ж	ʒ
з	z
и	e
и	i
и	ɪ j
илә	ɪ l æ
иркен	i r k ɪ̞ n
ит	i t
й	j
йоп	j ʊ̞ p
йәҙүәл	j æ ð w æ l
йәһәт	j æ h æ t
к	k
кесе	k ɪ̞ s ɪ̞
кеүек	k ɪ̞ w ɪ̞ k
китап	kʲ i t ä p
күкрәк	k ʏ k r æ k
күн	k ʏ n
күргәҙмә	k ɵ ɾ ɡ æ ð m æ
күрә	k ʏ r æ
күҙ	k ʏ ð
көн	k ʏ̞ n
көндөҙ	k ʏ̞ n d ʏ̞ ð
л	l
л	ɫ
м	m
май	m ɑ j
майай	m ɑ j ɑ j
мал	m ɑ ɫ
малай	m ɑ ɫ ɑ j
маңҡорт	m ɑ ŋ q ʊ̞ r t
менән	m ɪ̞ n æ n
н	n
о	o
о	ʊ̞
он	ʊ̞ n
ошаҡ	ʊ̞ ʂ ɑ q
п	p
р	r
с	s
саған	s ɑ ʁ ɑ n
сысҡан	s ɯ̞ s q ɑ n
т	t
табан	t ɑ b ɑ n
тамыр	t ɑ m ɤ ɾ
тарих	t a r i χ
тат	t a t
тау	t ɑ w
ташбаҡа	t ɑ ʂ b ɑ q ɑ
таҡ	t ɑ q
таң	t ɑ ŋ
тиклем	tʲ i k l ɪ̞ m
туҫтаҡ	t u θ t a q
тыш	t ɯ̞ ʂ
тән	t æ n
төндә	t ʏ̞ n d æ
у	o
у	u
урағай	u r ɑ ʁ ɑ j
утрауҙар	u t r ɑ w ð ɑ r
ф	f
х	χ
хайуан	χ ɑ j w ɑ n
хат	χ ɑ t
хаттар	χ ɑ tː ɑ r
ц	t͡s
ч	t͡ʃ
ш	ʂ
ш	ʃ
шаҡай	ʃ ɑ q ɑ j
шикелле	ɕ i k ɪ̞ lː ɪ̞
шикелле	ʃ i k ɪ̞ lː ɪ̞
щ	ɕː
ы	ɨ
ы	ɯ̞
ылаҡ	ɯ̞ ɫ ɑ q
э	ɛ
э	ɪ̞
эс	ɪ̞ s
януар	j ɑ n w ɑ r
яу	j ɑ w
Ғ	ɢ
Ғ	ʁ
ғ	ɢ
ғ	ʁ
Ҙ	ð
ҙ	ð
Ҡ	q
Ҡөрьән	q ʏ̞ r ʔ æ n
ҡ	q
ҡайтарыу	q ɑ y t ɑ r ɯ w
ҡалаҡ	q ɑ ɫ ɑ q
ҡарар	q ɑ r ɑ r
ҡарасай	q ɑ r ɑ s ɑ j
ҡатлам	q ɑ t ɫ ɑ m
ҡыйғаҡ	q ɯ j ʁ ɑ q
ҡырпағай	q ɯ r p ɑ ʁ ɑ j
ҡырпаҡ	q ɯ r p ɑ q
ҡыуыҡ	q ɯ w ɯ q
Ң	ŋ
Ң	ɴ
ң	ŋ
ң	ɴ
Ҫ	θ
ҫ	θ
Ү	u
Ү	ɵ
ү	u
ү	ɵ
үҙенсәлек	ʏ ð ɪ̞ n s æ l ɪ̞ k
Һ	h
һ	h
һабанай	h ɑ b ɑ n ɑ j
һарысай	h ɑ r ɯ s ɑ j
һуң	h u ŋ
һымаҡ	h ɯ̞ m ɑ q
һыпы	h ɯ p ɯ
һыуығай	h ɯ w ɯ ʁ ɑ j
һөтай	h ø t ɑ j
Ә	æ
Әкмәл	æ k m æ l
ә	æ
әсе	æ s ɪ̞
Ө	ʏ̞
ө	ʏ̞
өсөн	ʏ̞ s ʏ̞ n
