à	a
abanonner	a b a n u n e
abanonner	a b a n u n ɛ
abantchi	a b ɑ̃ t ʃ i
abat	a b a
abattre	a b a t r
abiêmer	a b j ɛː m e
abiêmer	a b j ɛː m ɛ
abinnotage	a b i n ə t a ʒ
abinnoter	a b i n ə t e
aboter	a b ə t e
abouler	a b u l e
âbre	a b r
abreuvoir	a b r ə v w a r
abréver	a b r ɛ v e
abréver	a b r ɛ v ɛ
abréveux	a b r ɛ v œ
abri	a b r i
abrias	a b r i ɑ
abrier	a b r iː e
abrier	a b r iː j e
abuser	a b yː z e
abusette	a b yː z ɛ t
abuter	a b y t e
abuter	a b y t ɛ
abûther	a b yː ð ɛ
achteur	a ʃ t ø
achteur	a ʃ t œ ʁ
achteur	a s t ø
achteur	a s t œ ʁ
agnel	ɑ ɲ e
agnel	ã ɲ e
anmîn	a m ĩ
annel	ã n é
annel	a n é
aveu	ɑ v ø
aveuc	a v ø
baïonnette	b a j ɔ n ɛ t
bête	b e i t
bête	b ø i t
bête	b ɛː t
bête	b w ɛː t
biauté	b j a ʊ t e
blianc	b j ɑ̃
blianc	b ʎ ɑ̃
brüethe	b r y e ð
caeir	k ɛ j
caeir	k e
caeir	k ɛ r
caeir	k i
caeir	t ʃ i
calengier	k a l ã ʒ i
calengier	k a l ã ʒ j i
calengier	k a l ã ʒ e
calengier	k a l ã ʒ j e
calengier	k a l ẽ ʒ e
cat	k a
câtel	k ɑ t e
chaîne	ʃ eː n
ch'min	ʃ m i n
cœur	k ø
cône	k o n
côte	k oː t
cotentîn	k o t ɑ̃ t ẽ
coumenchier	k u m ã ʃ i
coumenchier	k u m ã ʃ j i
coumenchier	k u m ã ʃ e
coumenchier	k u m ã ʃ j e
coumenchier	k õ ʊ m ã ʃ e
counnétablle	k u n e t a b l ə
d'aveuc	d a v ø
déhait	d e ɣ ɛ
dgèrre	d͡ʒ ɛ r
dréchier	d r e ʃ i
dréchier	d r e ʃ j i
dréchier	d r e ʃ e
dréchier	d r e ʃ j e
êfant	ɛː f ɑ̃
êffrité	e f r i t ɛ
èrgarder	ɛ ɹ ɡ a ɹ d e
faume	f ɔ m
faume	f ɔː m
faumme	f ɔ m
faumme	f ɔː m
fête	f e i t
fieu	f j ø
finir	f i n i
finir	f ĩ n ĩ
finir	f ĩ n i
foûnel	f u ʊ n e
foûnel	f u n e
fourque	f u r k
gardîn	ɡ a r d ẽ
genti	ʒ ɑ̃ t i
genti	d͡ʒ ɑ̃ t i
g'nou	ʒ n u
grand	ɡ r ɑ̃
grand	ɡ r ɔ̃
habits	h a b i
hammel	x ã m é
hammel	ɦ ã m é
hammel	a m é
hitchet	h i t͡ʃ ɛ
houme	ɔ ʊ m
houme	õ ʊ m
houme	õ m
houme	u m
iau	j a ʊ
iau	j o
ichi	i ʃ i
ichi	i ʃ ĩ
ichi	i ʃ ẽ
ichi	i ʃ i t
ichi	i s i
ichi	i s i t
iloc	i l o
jèrri	ʒ ɛ r i
jèrriais	ʒ ɛ ɾ i j e
journaïe	ʒ u ɹ n a i
lé	l ɛː
lédgeunme	l e d͡ʒ œ m
lian	j ɑ̃
liement	l i m ã
litchi	l i t͡ʃ i
maishî	m ɛ z i
maishî	m ɛ z j i
mangier	m ã ʊ̃ ʒ i
mangier	m ã ʊ̃ ʒ j i
mangier	m u ʊ ʒ i
mangier	m ã ʒ e
mangier	m ã ʒ j e
mâquier	m ɑ t ʃ i
mâquier	m ɑ k ʃ i
mâquier	m ɑ k j e
mâquier	m ɑ k e
maungier	m ã ʊ̃ ʒ i
maungier	m ã ʊ̃ ʒ j i
maungier	m u ʊ ʒ i
maungier	m ã ʒ e
maungier	m ã ʒ j e
mesnil	m e s n i l
mougier	m u ʊ ʒ i
mougier	m u ʊ ʒ j i
mougier	m u ʒ e
moûque	m uː k
ouothelle	w ɔ ð ɛ l
péthe	p e ð
plenté	p l ã t e
puche	p y ʃ
qùeva	k v a
queval	k ə v a
quevalier	k ə v a l j e
qùevâos	k v aː o
quien	k j ĩ
quien	k j ɛ̃
quien	t ʃ ĩ
quièvre	k j ɛ v r
raisoun	r ɛ z õ ʊ
romathîn	r o m a ð ẽ
s'abrier	s a b r iː e
s'abrier	s a b r iː j e
tchaîse	t͡ʃ ɛː z
tchaîthe	t͡ʃ ɛː ð
tchînze	t͡ʃ ẽː ð
tchînze	t͡ʃ ẽː z
tchoeu	t͡ʃ œ
teet	t ɛː t
tête	t e i t
tête	t ɛː t
tithol	t i ð ɔ l
tolir	t ɔ l i
vaque	v a k
veir	v ɛ
veir	v e
veir	v ɛ ə
veisin	v ɜ z ĩ
veisin	v e z ɛ̃
yens	j ã
yi	j i
yi	j ɪ
