alle	ɑ̂ lː ə̌
alv	ɑ l ʋ
aurride	² æ ʉ rˠ ə
aurride	² æ ʉ rˠ ɪ ə
aurride	² æ ʉ rˠ ɪ ð ɪ̞
automat	æ ʉ t ʊ m aː t
berg	b æ ɾ ɡ
campingbil	kʰ æ m p ɪ ŋ b iː l
campingvogn	k æ m p i ŋ v ɔ ŋ n
cd	s êː d ěː
diabetes	d ɪ ɑ b eː t eː s
diabetes	d ɪ ɑ b eː t eː s
djerv	d j æ ɾ ʋ
dyreplageri	d yʷː ɾ ə p l a ɡ ə ɾ iː
ei	æ ɪ̯
eiliv	² æ ɪː l i ʋ
eiliv	² ɛ ɪː l i ʋ
eiliv	² ɑ ɪː l i ʋ
einhyrning	æ ɪ̯ n h yʷː ɳ ɪ ŋ
fe	f eː
fiktiv	f i k t iː ʋ
føniks	f øʷː n ɪ k s
føniks	f øʷː n ɪ k s
gapahuk	ɡ aː p ɑ h ʉʷː k
gjort	j ʊ ʈ
gnom	ɡ n uː m
gnom	ɡ n uː m
gøy	ɡ œ y̯
gøy	j œ y̯
havfrue	h aː ʋ f ɾ ʉʷː ə
helg	h ɛ l ɡ
helge	² h ɛ l j ə
helge	² h æ ɽ j ə
helge	² h ɛ l ɡ ə
hevn	h ɛ v n
hvi	ʋ i
hyfe	h yʷː f ə
hårsår	h oː ʂ oː ɾ
hårsår	h oː ʂ oː ɾ
jesus	j eː s ʉ s
johan	j ʊ h ɑ nː
kek	ç eː k
kik	ç iː k
kike	ç iː k ə
kikke	ç ɪ kː ə
kikkert	ç ɪ kː ɛ ʈ
kirsten	² ç ɪ ʂ ʈⁿ ɳ̩
kjartan	ç ɑː ɻ t a n
kode	k uː d ə
kommode	kʰ u m uː d ə
lian	l ɪ aː n
lian	l ɪ aː n
ligning	l ɪ ŋ n ɪ ŋ
likning	l ɪ ŋ n ɪ ŋ
likning	l ɪ ŋ n ɪ ŋ
livsforsikring	l ɪ f s f ɔ ʂ ɪ k ɾ ɪ ŋ
livsforsikring	l ɪ f s f ɔ ʂ ɪ k ɾ ɪ ŋ
ludder	l u d dˀ ɐ r
magnus	m ɑ ŋː n ʉ s
maja	m ɑ jː a
mars	m aː ʂ
marsvin	m aː ʂ ʂ v iː n
mat	m ɑː t̻
mòr	m ɔ̝ː rˠ
nashorn	n aː s h uː ɳ
naust	n æ ʉ s t
neshorn	n eː s h uː ɳ
nymfe	n ʏ ɱ f ə
opphavsrett	ʊ p h ɑ f s ɾ ɛ t
pensum	pʰ ɛ n s ʉ m
primitiv	p ɾ i m i t iː ʋ
regn	ɾ ɛ ŋ n
regn	ɾ æ ɪ̯ n
rein	ɾ æ ɪ̯ n
reingjøre	ɾ æ ɪ̯ n j øʷː ɾ ə
ren	ɾ eː n
rengjøre	ɾ eː n j øʷː ɾ ə
røntgen	ɾ œʷ ŋ k ə n
segl	s æ ɪ̯ l
slott	ʂ l ɔ t
slått	ʂ l ɔ t
smaragd	s m ɑ ɾ ɑ ɡ d
softis	s ɔ f t iː s
softis	s ɔ f t iː s
speil	s p æ ɪ̯ l
spille	s p ɪ l l ə
spilleautomat	s p ɪ l l ə æ ʉ t ʊ m aː t
stridsvogn	s t ɾ ɪ t s ʋ ɔ ŋ n
stridsvogn	s t ɾ ɪ t s ʋ ɔ ŋ n
syv	s yː v
tanks	tʰ æ ŋ k s
tanks	tʰ æ ŋ k s
tanksane	tʰ æ ŋ k s ɑ n ə
tanksar	tʰ æ ŋ k s ɑ ɾ
tanksen	tʰ æ ŋ k s n̩
tanksen	tʰ æ ŋ k s n̩
tanksene	tʰ æ ŋ k s e n ə
tankser	tʰ æ ŋ k s e ɾ
tavle	t ɑ ʋ l ə
uten	ʉː t ə n
uten	ʉː t n̩
varulv	ʋ aː ɾ ʉʷ l ʋ
øresus	øʷː ɾ̺ ə s̪ ʉʷː s̪
