acats	a k a t͡s ŭ
acats	a k a t͡s
acatsu	a k a t͡sʷ
alavdu	a l a v d u
albu	a l b u
alumtã	a l u m t ɨ
alumtã	a l u m t ə
alumtãtor	a l u m t ɨ t o r
alumtãtor	a l u m t ə t o r
alumtu	a l u m t u
amãrtii	a m ɨ r t i j
amãrtii	a m ə r t i j
ambratsu	a m b r a t͡sʷ
ambrãtsishedz	a m b r ɨ t͡s i ʃ e d͡z
ambrãtsishedz	a m b r ə t͡s i ʃ e d͡z
ambrãtsitedz	a m b r ɨ t͡s i t e d͡z
ambrãtsitedz	a m b r ə t͡s i t e d͡z
amintu	a m i n t u
amirã	a m i ɾ ɨ
amirã	a m i ɾ ə
amiridz	a m i r i d͡z
amiridzu	a m i r i d͡zʷ
an	a n
andamusi	a n d a m u s i
anyedz	a n ɣ e d͡z
aoa	a o̯ a
apã	a p ə
apã	a p ɨ
ape	a p e
aravdu	a r a v d u
arãcoatã	a r ɨ k o̯ a t ɨ
arãcoatã	a r ɨ k o̯ a t ə
arãcoatã	a r ə k o̯ a t ɨ
arãcoatã	a r ə k o̯ a t ə
arãstornu	a r ə s t o r n u
arcoatã	a r k o̯ a t ɨ
arcoatã	a r k o̯ a t ə
armãn	a ɾ m ɨ n
armãn	a ɾ m ə n
arnedz	a r n e d͡z
aroata	a r o̯ a t a
aroatã	a r o̯ a t ɨ
aroatã	a r o̯ a t ə
aroatãljei	a r o̯ a t ɨ ʎ e j
aroatãljei	a r o̯ a t ə ʎ e j
aroate	a r o̯ a t e
aroateljei	a r o̯ a t e ʎ e j
aroatelor	a r o̯ a t e l o r
aroati	a r o̯ a t i
aroatile	a r o̯ a t i l e
aroatili	a r o̯ a t i l i
aroatiljei	a r o̯ a t i ʎ e j
aroatilor	a r o̯ a t i l o r
aruc	a r u k
arucu	a r u kʷ
aua	a w a
bardzu	b a r d z u
bueauã	b w e a w ɨ
bueauã	b w e a w ə
buf	b u f
bufã	b u f ɨ
bufã	b u f ə
bufu	b u fʷ
buhã	b u h ɨ
buhã	b u h ə
cãntãtor	k ɨ n t ɨ t o r
cãntãtor	k ɨ n t ə t o r
cãntãtor	k ə n t ɨ t o r
cãntãtor	k ə n t ə t o r
cãntãtoru	k ɨ n t ɨ t o rʷ
cãntãtoru	k ɨ n t ə t o rʷ
cãntãtoru	k ə n t ɨ t o rʷ
cãntãtoru	k ə n t ə t o rʷ
cãntu	k ɨ n t u
cãntu	k ə n t u
cãrfitsã	k ɨ ɾ f i t̪͡s ɨ
cãrfitsã	k ə ɾ f i t̪͡s ə
chentru	k e n t r u
chicu	k i kʷ
chimã	k i m ɨ
chimã	k i m ə
crãshtin	k r ɨ ʃ t i n
crãshtin	k r ə ʃ t i n
crescu	k r e s k u
crest	k r e s t
crivati	k ɾ i v a t i
cumatã	k u m a t̪ ɨ
cumatã	k u m a t̪ ə
cumnat	k u m n a t
dadã	d a d ɨ
dadã	d a d ə
dãmar	d ɨ m a r
dãmar	d ə m a r
derã	d e r ɨ
derã	d e r ə
dhixescu	ð i k s e s k u
dhuchimãsescu	ð u k i m ɨ s e s k u
dhuchimãsescu	ð u k i m ə s e s k u
discãntu	d i s k ɨ n t u
discãntu	d i s k ə n t u
dixescu	d i k s e s k u
doamnã	d o̯ a m n ɨ
doamnã	d o̯ a m n ə
dodã	d o d ɨ
dodã	d o d ə
Domnu	d o m n u
duchimãsescu	d u k i m ɨ s e s k u
duchimãsescu	d u k i m ə s e s k u
dushmanu	d u ʃ m a n u
dzã	d͡z ɨ
dzã	d͡z ə
dzãuã	d͡z ɨ w ɨ
dzãuã	d͡z ɨ w ə
dzãuã	d͡z ə w ɨ
dzãuã	d͡z ə w ə
dzinire	d͡z i n i r e
dziniri	d͡z i n i r i
dzuã	d͡z u ɨ
dzuã	d͡z u ə
dzuuã	d͡z u w ɨ
dzuuã	d͡z u w ə
educatsie	e d u k a t s i e
fanara	f a n a r a
featã	f e̯ a t ɨ
featã	f e̯ a t ə
frate	f r a t e
ftohu	f t o hʷ
furculitsã	f u r k u l i t͡s ə
furnicã	f u r n i k ə
furnigã	f u r n i ɡ ə
gãleatã	ɡ ɨ l e̯ a t ɨ
gãleatã	ɡ ɨ l e̯ a t ə
gãleatã	ɡ ə l e̯ a t ɨ
gãleatã	ɡ ə l e̯ a t ə
ghine	ɣ i n e
ghini	ɡ i n i
Hristo	h ɾ i s t o
hromã	h ɾ o m ɨ
hromã	h ɾ o m ə
inimã	i n i m ə
lavdu	l a v d u
limba	l i m b a
limbã	l i m b ɨ
limbã	l i m b ə
lunã	l u n ə
lunã	l u n ɨ
lunjinã	l u ɲ i n ɨ
lunjinã	l u ɲ i n ə
manushache	m a n u ʃ a k i
manushachi	m a n u ʃ a k i
manushachi	m a n u ʃ a kʲ
mãnushe	m ɨ n u ʃ e
mãrãtsini	m ɨ ɾ ɨ t͡s i n i
mãrãtsini	m ə ɾ ə t͡s i n i
mielmã	m j e l m ɨ
mielmã	m j e l m ə
milanculii	m i l a n k u l i j
minutã	m i n u t ɨ
minutã	m i n u t ə
mirizedz	m i r i z e d͡z
namisa	n a m i s a
njiridzu	ɲ i r i d͡zʷ
ofitsial	o f i t͡s i a l
om	o m
patru	p a t r u
patur	p a t u r
pãrãvulii	p ɨ r ɨ v u l i j
pãrãvulii	p ɨ r ə v u l i j
pãrãvulii	p ə r ɨ v u l i j
pãrãvulii	p ə r ə v u l i j
polim	p o l i m
prusopi	p ɾ u s o p i
revistã	r e v i s t ə
rivistã	r i v i s t ə
roatã	r o̯ a t ɨ
roatã	r o̯ a t ə
sãndze	s ɨ n d ʒ e
sãndzi	s ɨ n d ʒ i
sãrmã	s ɨ r m ə
sãrmã	s ə r m ɨ
sãrmu	s ɨ r m u
sendzi	s e n d ʒ i
shi	ʃ i
tãvani	t ɨ v a n i
tãvani	t ə v a n i
tãxescu	t ɨ k s e s k u
tãxescu	t ə k s e s k u
tora	t o r a
tsentru	t͡s e n t ɾ u
tser	t͡s e ɾ
unã	u n ə
unã	u n ɨ
undã	u n d ɨ
undã	u n d ə
vale	v a l e
vromi	v r o m i
yinghits	ʝ i ŋʲ ɡʲ i t͡sʲ
