abacc	a v ə k
abaid	a b ə ɣʲ
abbán	a b aː n
aile	a lʲ e
aill	a l͈ʲ
aimser	a mʲ ʃ ə r
aimsir	a mʲ ʃ ə rʲ
ainm	a nʲ ə mʲ
airdircus	a r͈ ðʲ ə r k u s
airdircus	a r͈ ɣʲ ə r k ə s
amra	a ṽ r ə
amrán	a ṽ r aː n
atam	a d ə ṽ
bachlach	b a x l a x
bachlach	b a x l ə x
baramail	b a r ə ṽ ə lʲ
beirid	bʲ e rʲ ə ðʲ
beirid	bʲ e rʲ ə ɣʲ
benagán	bʲ e n ə ɡ aː n
bered	bʲ e rʲ e ð
bered	bʲ e rʲ e ɣ
boga	b o ɣ ə
botach	b o d a x
botach	b o d ə x
boí	b ɯː
brocc	b r o k
bruiden	b r u ðʲ ə n
bruiden	b r u ɣʲ ə n
bréfne	bʲ rʲ eː fʲ nʲ ə
bás	b aː s
cach	k a x
caittín	k a tʲ iː nʲ
cana	k a n ə
cara	k a r ə
carait	k a r ə dʲ
carat	k a r ə d
cathaige	k a θ a ɣʲ e
cathaigecht	k a θ ə ɣʲ ə x t
cellach	kʲ e l͈ a x
cellach	kʲ e l͈ ə x
chon	x o n
chucisium	x u ɡʲ i ʃ u m
chungid	x u ŋʲ ɡʲ ə ðʲ
chungid	x u ŋʲ ɡʲ ə ɣʲ
chétgabáil	xʲ eː d ɣ a v aː lʲ
chéttadall	xʲ eː d t a ð ə l͈
chéttadall	xʲ eː d t a ɣ ə l͈
chóiced	x oː ɡʲ e ð
chóiced	x oː ɡʲ e ɣ
ciúnas	kʲ iː u̯ n ə s
ciúnas	kʲ uː n ə s
cliathaire	kʲ lʲ i ə̯ h ə rʲ ə
cliathaire	kʲ lʲ i ə̯ θ ə rʲ ə
cloc	k l o ɡ
clocach	k l o ɡ a x
clocach	k l o ɡ ə x
clocán	k l o ɡ aː n
cnocán	k n o k aː n
coire	k o rʲ e
coire	k o ɾʲ ə
coiri	k o ɾʲ ə
comalta	k o ṽ a l͈ t a
comáirem	k o ṽ aː rʲ ə ṽ
con	k o n
condaig	k o n͈ d a ɣʲ
corrach	k o r͈ a x
corrach	k o r͈ ə x
crích	kʲ rʲ iː x
crích	kʲ rʲ iː xʲ
cucisium	k u ɡʲ i ʃ u m
cuileóc	k u lʲ oː ɡ
cuingid	k u ŋʲ ɡʲ ə ðʲ
cuingid	k u ŋʲ ɡʲ ə ɣʲ
cétgabáil	kʲ eː d ɣ a v aː lʲ
céttadall	kʲ eː d t a ð ə l͈
céttadall	kʲ eː d t a ɣ ə l͈
cích	kʲ iː x
cóiced	k oː ɡʲ e ð
cóiced	k oː ɡʲ e ɣ
cú	k uː
cúalu	k u ə̯ l u
cúalu	k u ə̯ l ə
dam	d a ṽ
dana	d a n a
deog	dʲ e o̯ ɣ
deog	dʲ e u̯ ɣ
deog	dʲ e̯ o ɣ
deog	dʲ o ɣ
deoraidecht	dʲ e o̯ r ə ðʲ a x t
deoraidecht	dʲ e o̯ r ə ðʲ ə x t
deoraidecht	dʲ oː r ə ɣʲ a x t
deoraidecht	dʲ oː r ə ɣʲ ə x t
derc	dʲ e r k
dia	dʲ i ə̯
ditned	dʲ i dʲ nʲ ə ð
ditned	dʲ i dʲ nʲ ə ɣ
ditnid	dʲ i dʲ nʲ ə ðʲ
ditnid	dʲ i dʲ nʲ ə ɣʲ
dobeir	d o bʲ e rʲ
dobered	d o bʲ e rʲ ə ð
dobered	d o bʲ e rʲ ə ɣ
doeth	d o h e θ
dolus	dˠ o l u sˠ
dorus	d o r u s
dotét	d o tʲ eː d
dóendachtach	d ɯː n͈ a x t a x
dóendachtach	d ɯː n͈ ə x t ə x
ecla	e ɡ l ə
fer	fʲ e r
ferg	fʲ e r ɡ
finnaid	fʲ i n͈ ə ðʲ
finnaid	fʲ i n͈ ə ɣʲ
flann	f l a n͈
for	f o r
fuil	f u lʲ
fáel	f ɯː l
fí	fʲ iː
gabáil	ɡ a v aː lʲ
gerr	ɡʲ e r͈
gilla	ɡʲ i l͈ ə
