abas	a b a s
abi	a b i
abuk	a b u k
achang	a t͡ʃ a ŋ
adang	a d a ə ŋ
ai	a i ʔ
ai	a ɛ ʔ
ais	a ɪ s
ajar	a d͡ʒ a r
aka	a k a ʔ
aki	a k i ʔ
alah	a l a h
alai	a l a i
amai	a m a i
amat	a m a t
ambi	a m b i ʔ
anang	a n a ŋ
anchur	a n t͡ʃ ʊ r
andau	ä n d ä u
angat	a ŋ a t
angkat	a ŋ k a t
angus	a ŋ u s
ansul	a n s ŭ l
antin	a n t i n
apai	a p a i̯
aplikasyen	a p l i k a s j e n
apus	a p u s
aram	a r a m
arap	a r a p
asi	a s i
asi	a s i ʔ
ati	a t i
atmosfera	ə t m o s f e r a
awak	a w ə a k
awakka	a w ə a k k a
aya	a j a ʔ
bacha	b a t͡ʃ a
bagas	b a ɡ a s
bah	b ə a h
bai	b a i ʔ
baik	b a i k
baja	b a d͡ʒ a
bajik	b a d͡ʒ i ə ʔ
baka	b a k a
bakal	b a k a l
bala	b a l a
balat	b a l a t
bam	b a m
bamput	b a m p u t
banda	b a n d a
banding	b a n d i ə ŋ
bangkang	b a ŋ k aᵊ ŋ
bansa	b a n s a
bari	b a r i ʔ
baru	b a r u
baruh	b a r u ə h
basah	b a s aᵊ h
bateri	b a t ə r i
bawang	b a w aᵊ ŋ
bedarah	b ə d a r a h
bejalai	b ə d͡ʒ a l a i
bekau	b ə k a u
belaki	b ə l a k i
belanda	b ə l a n d a
belanda	b ə l a n d a ʔ
beli	b e l i ʔ
beli	b ə l i
bepeniri	b ə p ə n i r i ʔ
berandau	b ə r a n d a u
berap	b ə r a p
berat	b ə r a t
besentuk	b ə s ə n t u ʔ
betan	b ə t a n
betemu	b ə t ə m u
beterang	b ə t ə r ə a ŋ
bini	b i n i
bir	b i r
biro	b i r o
biru	b i r u
bisi	b i s i ʔ
blok	b l u ə k
bol	b u l
bom	b o m
buka	b u k a
bula	b u l a ʔ
bulih	b u l i ə h
bumai	b u m a i
bungai	b u ŋ a i
burak	b u r ə a k
butul	b u t u l
buyah	b u j a h
chabi	t͡ʃ a b i ʔ
chara	t͡ʃ a r a
chelum	t ʃ ə l u ə m
cherita	t͡ʃ ə r i t a
chirit	t͡ʃ i r i t
chit	t͡ʃ i t
chok	t ʃ o k
chukai	t͡ʃ u k a i
chukup	t͡ʃ u k u p
chunto	t͡ʃ u n t o
chura	t ʃ u r ə a ʔ
dagin	d a ɡ i n
dalam	d a l a m
dan	d a n
daun	d a u n
demalam	d ə m a l a m
deriba	d ə r i b a
dia	d i a ʔ
diatu	d i a t u ʔ
dik	d i k
din	d i n
dinga	d i ŋ a
ditu	d i t u ʔ
dosa	d o s a
dunya	d u ɲ a
ejip	i d ʒ i p
emburi	ə m b u r i ʔ
emperaja	ə m p ə r a d͡ʒ a
emperan	ə m p e r a n
endaraja	ə n d a r a d͡ʒ a
endur	ə n d u r
engkakah	ə ŋ k a k a h
ensana	ə n s a n a ʔ
ensikal	ə n s i k a l
ensilup	ə n s i l u p
entadu	ə n t a d u ʔ
entekai	ə n t e k a i
eropah	e r o p a h
filipina	f i l i p i n a
gadung	ɡ a d u ə ŋ
gaga	ɡ a ɡ a
gaga	ɡ a ɡ a ʔ
gali	ɡ a l i ʔ
gaya	ɡ a j a
gelas	ɡ ə l a s
genteran	ɡ ə n t ə r a n
genturung	ɡ ə n t u r u ŋ
gerai	ɡ ə r a i̯
gerempung	ɡ ə r ə m p u ə ŋ
gerija	ɡ ə r i d ʒ a
gerika	ɡ ə r i k a
gula	ɡ u l a
habitat	h a b i t a t
iban	i b a n
idung	i d u ŋ
indai	i n d a i̯
indu	i n d u ʔ
informasyen	i n f o r m a s j ɛ n
ini	i n i ə ʔ
injin	i n j i n
ipul	i p u ə l
israel	i s r a e l
itali	i t a l i
iya	i j a
jai	d͡ʒ a e ʔ
jaku	d͡ʒ a k u ʔ
jalai	d͡ʒ a l a i
jamah	j ä mᵊ a h
jampat	d͡ʒ a m p a t
jantung	d͡ʒ a n t u ŋ
jauh	d͡ʒ a u h
jematan	d͡ʒ ə m ä t ä n
jenila	d͡ʒ ə n i l a
jepu	d͡ʒ ə p u ə ʔ
jereman	d ʒ ə r ə m ə n
jipun	d ʒ i p u n
jugam	d͡ʒ u ɡ a m
kaban	k a b a n
kad	k a d
kalas	k a l a s
kami	k a m i
kampung	k a m p ʊ ŋ
kanada	k a n a d a
kebuah	k ə b u a h
kedai	k ə d a i̯
kek	k ɛ k
kelab	k ə l a b
kelas	k ə l a s
kemanti	k ə m a n t i ʔ
kepala	k ə p a l a ʔ
keterubah	k ə t ə r u b a h
kitai	k i t a i
komen	k o m ɛ n
kompeni	k o m p ə n i
komunikasyen	k o m ʊ n i k a s j ɛ n
kuda	k u d a
kudi	k u d i ʔ
kuning	k u n i ə ŋ
kupi	k u p i
kutak	k u t a k
laki	l a k i
lama	l a m a ʔ
lambar	l a m b a r
langit	l a ŋ i t
latak	l a t ə a k
lawa	l a w a
lelengau	l ə l ə ŋ a u
lia	l i a ʔ
librari	l i b r a r i
lumur	l u m u r
lutur	l u t u r
mai	m a i ʔ
malam	m a l a m
manah	m a n a h
manis	m a n i s
manyi	m a ɲ i ʔ
mar	m a r
masedonia	m a ʃ ə d o n i a
maya	m a j a
mayau	m a j a u̯
meli	m e l i
melikat	m ə l i k a t
menira	m ə n i r a
menua	m ə n u a
menyadi	m ə ɲ a d i ʔ
merap	m ə r a p
mesin	m ə s i n
mija	m i d͡ʒ a
mipau	m i p a u
mirah	m i r a h
mit	m i t
mua	m u a
munyi	m u ɲ i
mupuk	m u p u ə k
nanas	n a n a s
nanga	n a ŋ a
nangi	n a ŋ ŋ̄ i
nangka	n a ŋ k a ʔ
naya	n a j ä ʔ
nembiak	n ə m b i ə a k
nemu	n ə m u
nerang	n ə r ə a ŋ
ngelala	ŋ ə l a l a
ngelaluka	ŋ ə l a l u k a
