Братислава	b r̺ ä c i s ɫ ä ʋ ä
абутӧм	ä b u t ɘ m
авар	ä ʋ ä r̺
аварка	ä ʋ ä r̺ k ä
авья	ä ʋ j ä
адззыны	ä d͡ʑː ɨ n ɨ
айка	ä j k ä
айкаа	ä j k ä ä
айним	ä j ɲ i m
айтӧм	ä j t ɘ m
алӧй	ä ɫ ɘ j
ан	ä n
анлас	ä n ɫ ä s
ань	ä ɲ
ар	ä r̺
артавны	ä r̺ t ä ʋ n ɨ
ас	ä s
аскоддя	ä s k o̞ ɟː ä
аскур	ä s k u r̺
багья	b ä ɡ j ä
баддяин	b ä ɟ ɟ ä i n
бадь	b ä ɟ
бадьяин	b ä ɟ j ä i n
бадьӧг	b ä ɟ ɘ ɡ
балямош	b ä ʎ ä m o̞ ʃ̺
балямуш	b ä ʎ ä m u ʃ̺
бан	b ä n
басни	b ä sʲ ɲ i
би	b i
боль	b o̞ ʎ
бур	b u r̺
бус	b u s
бусӧсь	b u s ɘ ɕ
бӧр	b ɘ r̺
ва	ʋ ä
ваа	ʋ ä ä
ватӧм	ʋ ä t ɘ m
ватӧмин	ʋ ä t ɘ m i n
вежӧра	ʋ e̞ ʒ̺ ɘ r̺ ä
вем	ʋ e̞ m
ви	ʋ i
вила	ʋ i ɫ ä
виллюн	ʋ i ʎː u n
вир	ʋ i r̺
во	ʋ o̞
война	ʋ o̞ j n ä
вуг	ʋ u ɡ
вӧв	ʋ ɘ ʋ
гадь	ɡ ä ɟ
гид	ɡ i d
гижсян	ɡ i ʒ̺ ɕ ä n
гоб	ɡ o̞ b
год	ɡ o̞ d
гож	ɡ o̞ ʒ̺
гожум	ɡ o̞ ʒ̺ u m
голя	ɡ o̞ ʎ ä
горт	ɡ o̞ r̺ t
гу	ɡ u
гусь	ɡ u ɕ
гут	ɡ u t
гыж	ɡ ɨ ʒ̺
гӧрд	ɡ ɘ r̺ d
джадж	d͡ʒ̺ ä d͡ʒ̺
дзодзог	d͡ʑ o̞ d͡ʑ o̞ ɡ
додь	d o̞ ɟ
дор	d o̞ r̺
дӧра	d ɘ r̺ ä
дӧрӧм	d ɘ r̺ ɘ m
европейскӧй	j e̞ ʋ r̺ o̞ p e̞ j s k ɘ j
зарни	z ä r̺ ɲ i
зон	z o̞ n
зі	z i
ид	i d
йи	j i
йӧв	j ɘ ʋ
кар	k ä r̺
квать	k ʋ ä c
кер	k e̞ r̺
керку	k e̞ r̺ k u
ки	k i
козин	k o̞ ʑ i n
кок	k o̞ k
коктӧм	k o̞ k t ɘ m
кольта	k o̞ ʎ t ä
коска	k o̞ s k ä
кудз	k u d͡ʑ
курӧг	k u r̺ ɘ ɡ
кыа	k ɨ ä
кыв	k ɨ ʋ
кызь	k ɨ ʑ
кыкьямыс	k ɨ k j ä m ɨ s
кырныш	k ɨ r̺ n ɨ ʃ̺
кӧвдас	k ɘ ʋ d ä s
кӧк	k ɘ k
кӧрт	k ɘ r̺ t
лунку	ɫ u n k u
лы	ɫ ɨ
лыа	ɫ ɨ ä
лым	ɫ ɨ m
лӧз	ɫ ɘ z
ма	m ä
маа	m ä ä
мампас	m ä m p ä s
мамтӧм	m ä m t ɘ m
морт	m o̞ r̺ t
мош	m o̞ ʃ̺
му	m u
мус	m u s
муш	m u ʃ̺
мый	m ɨ j
мышк	m ɨ ʃ̺ k
низь	ɲ i ʑ
ныв	n ɨ ʋ
нюр	ɲ u r̺
нянь	ɲ ä ɲ
овны	o̞ ʋ n ɨ
ой	o̞ j
олан	o̞ ɫ ä n
олӧм	o̞ ɫ ɘ m
патера	p ä c e̞ r̺ ä
пель	p e̞ ʎ
пинь	p i ɲ
пом	p o̞ m
пон	p o̞ n
порсь	p o̞ r̺ ɕ
пу	p u
пыдӧс	p ɨ d ɘ s
пызан	p ɨ z ä n
рок	r̺ o̞ k
руд	r̺ u d
рыт	r̺ ɨ t
рӧм	r̺ ɘ m
сад	s ä d
сизим	ɕ i ʑ i m
син	ɕ i n
синтӧм	ɕ i n t ɘ m
сов	s o̞ ʋ
сол	s o̞ ɫ
судно	s u d n o̞
сука	s u k ä
сукар	s u k ä r̺
сур	s u r̺
сурым	s u r̺ ɨ m
сьӧд	ɕ ɘ d
сьӧлӧм	ɕ ɘ ɫ ɘ m
сьӧм	ɕ ɘ m
сюр	ɕ u r̺
сія	s i j ä
тотарин	t o̞ t ä r̺ i n
тулыс	t u ɫ ɨ s
тури	t u r̺ i
турун	t u r̺ u n
тшӧк	t͡ʃ̺ ɘ k
тӧв	t ɘ ʋ
тӧлісь	t ɘ ɫ i ɕ
удж	u d͡ʒ̺
ур	u r̺
чарла	t͡ɕ ä r̺ ɫ ä
чери	t͡ɕ e̞ r̺ i
чочком	t͡ɕ o̞ t͡ɕ k o̞ m
шать	ʃ̺ ä c
шом	ʃ̺ o̞ m
шонді	ʃ̺ o̞ n d i
шоч	ʃ̺ o̞ t͡ɕ
шыд	ʃ̺ ɨ d
шыр	ʃ̺ ɨ r̺
шӧр	ʃ̺ ɘ r̺
ыб	ɨ b
ыджыт	ɨ d͡ʒ̺ ɨ t
ыж	ɨ ʒ̺
ыжман	ɨ ʒ̺ m ä n
ырӧш	ɨ r̺ ɘ ʃ̺
эзысь	e̞ z ɨ ɕ
юрвисянісь	j u r̺ ʋ i ɕ ä n i ɕ
юсь	j u ɕ
яйсэн	j ä j s e̞ n
ӧдзӧс	ɘ d͡ʑ ɘ s
ӧкмыс	ɘ k m ɨ s
ӧм	ɘ m
ӧтік	ɘ t i k
