अ	ɐ
अँ	ɐ̃
अँकड़ा	ɐ̃ k ɽ äː
अँकवैया	ɐ̃ k w ɐ̯ i j äː
अँगड़ाई	ɐ̃ ŋ ɡ ɽ äː iː
अँगड़ाना	ɐ̃ ŋ ɡ ɽ äː n äː
अँगरेज़	ɐ̃ ŋ ɡ ɾ eː d͡ʒ
अँगरेज़	ɐ̃ ŋ ɡ ɾ eː z
अँगरेज़ी	ɐ̃ ŋ ɡ ɾ eː d͡ʒ iː
अँगरेज़ी	ɐ̃ ŋ ɡ ɾ eː z iː
अँगहीन	ɐ̃ ŋ ɡʱ ĩː n
अँगिया	ɐ̃ ŋ ɡ i j äː
अँगीठी	ɐ̃ ŋ ɡ iː ʈʰ iː
अँगूठी	ɐ̃ ŋ ɡ uː ʈʰ iː
अँग्रेज़	ɐ̃ ŋ ɡ ɾ eː d͡ʒ
अँग्रेज़	ɐ̃ ŋ ɡ ɾ eː z
अँग्रेज़ी	ɐ̃ ŋ ɡ ɾ eː d͡ʒ iː
अँग्रेज़ी	ɐ̃ ŋ ɡ ɾ eː z iː
अँटना	ɐ̃ ʈ n äː
अँठई	ɐ̃ ɳ ʈʰ ɐ iː
अँतड़ी	ɐ̃ t̪ ɽ iː
अँधियारा	ɐ̃ n̪ d̪ʱ i j äː ɾ äː
अँधेरा	ɐ̃ n̪ d̪ʱ eː ɾ äː
अँधेरी	ɐ̃ n̪ d̪ʱ eː ɾ iː
अँधेरे	ɐ̃ n̪ d̪ʱ eː ɾ eː
अँधेरों	ɐ̃ n̪ d̪ʱ eː ɾ õː
अं	ɐ̃
अंक	ɐ̃ ŋ k
अंकक	ɐ̃ ŋ k ɐ k
अंकगणित	ɐ̃ ŋ k̚ ɡ ɐ ɳ ɪ t̪
अंकगणितीय	ɐ̃ ŋ k̚ ɡ ɐ ɳ ɪ t̪ iː jᵊ
अंकन	ɐ̃ ŋ k ɐ̃ n
अंकनी	ɐ̃ ŋ k n iː
अंकनीय	ɐ̃ ŋ k n iː jᵊ
अंकल	ɐ̃ ŋ k ɐ l
अंकारा	ɐ̃ ŋ k äː ɾ äː
अंकित	ɐ̃ ŋ k ɪ t̪
अंकुर	ɐ̃ ŋ k ʊ ɾ
अंकुरक	ɐ̃ ŋ k ʊ ɾ ɐ k
अंकुरित	ɐ̃ ŋ k ʊ ɾ ɪ t̪
अंकुश	ɐ̃ ŋ k ʊ ʃ
अंको	ɐ̃ ŋ k oː
अंकों	ɐ̃ ŋ k õː
अंग	ɐ̃ ŋ ɡ
अंगच्छेद	ɐ̃ ŋ ɡ ɐ t̚ t͡ʃʰ eː d̪
अंगड़ाई	ɐ̃ ŋ ɡ ɽ äː iː
अंगड़ाना	ɐ̃ ŋ ɡ ɽ äː n äː
अंगद	ɐ̃ ŋ ɡ ɐ d̪
अंगदान	ɐ̃ ŋ ɡ d̪ ä̃ː n
अंगन	ɐ̃ ŋ ɡ ɐ̃ n
अंगना	ɐ̃ ŋ ɡ ɐ n äː
अंगमर्दन	ɐ̃ ŋ ɡ m ɐ ɾ d̪ ɐ̃ n
अंगरक्षक	ɐ̃ ŋ ɡ ɾ ɐ k ʃ ɐ k
अंगसंग	ɐ̃ ŋ ɡ s ɐ̃ ŋ ɡ
अंगहीन	ɐ̃ ŋ ɡ ɦ ĩː n
अंगार	ɐ̃ ŋ ɡ äː ɾ
अंगारा	ɐ̃ ŋ ɡ äː ɾ äː
अंगिया	ɐ̃ ŋ ɡ i j äː
अंगियाँ	ɐ̃ ŋ ɡ i j ä̃ː
अंगीकार	ɐ̃ ŋ ɡ iː k äː ɾ
अंगुल	ɐ̃ ŋ ɡ ʊ l
अंगुली	ɐ̃ ŋ ɡ ʊ l iː
अंगूठा	ɐ̃ ŋ ɡ uː ʈʰ äː
अंगूठियाँ	ɐ̃ ŋ ɡ uː ʈʰ i j ä̃ː
अंगूठियों	ɐ̃ ŋ ɡ uː ʈʰ i j õː
अंगूठी	ɐ̃ ŋ ɡ uː ʈʰ iː
अंगूठे	ɐ̃ ŋ ɡ uː ʈʰ eː
अंगूठों	ɐ̃ ŋ ɡ uː ʈʰ õː
अंगूर	ɐ̃ ŋ ɡ uː ɾ
अंगूरी	ɐ̃ ŋ ɡ uː ɾ iː
अंगो	ɐ̃ ŋ ɡ oː
अंगों	ɐ̃ ŋ ɡ õː
अंगोछा	ɐ̃ ŋ ɡ oː t͡ʃʰ äː
अंगोट	ɐ̃ ŋ ɡ oː ʈ
अंगोला	ɐ̃ ŋ ɡ oː l äː
अंग्रेज	ɐ̃ ŋ ɡ ɾ eː d͡ʒ
अंग्रेज	ɐ̃ ŋ ɡ ɾ eː z
अंग्रेज़	ɐ̃ ŋ ɡ ɾ eː d͡ʒ
अंग्रेज़	ɐ̃ ŋ ɡ ɾ eː z
अंग्रेज़ियत	ɐ̃ ŋ ɡ ɾ eː d͡ʒ i j ɐ t̪
अंग्रेज़ियत	ɐ̃ ŋ ɡ ɾ eː z i j ɐ t̪
अंग्रेज़ी	ɐ̃ ŋ ɡ ɾ eː d͡ʒ iː
अंग्रेज़ी	ɐ̃ ŋ ɡ ɾ eː z iː
अंग्रेज़ो	ɐ̃ ŋ ɡ ɾ eː d͡ʒ oː
अंग्रेज़ो	ɐ̃ ŋ ɡ ɾ eː z oː
अंग्रेज़ों	ɐ̃ ŋ ɡ ɾ eː d͡ʒ õː
अंग्रेज़ों	ɐ̃ ŋ ɡ ɾ eː z õː
अंग्रेजी	ɐ̃ ŋ ɡ ɾ eː d͡ʒ iː
अंग्रेजी	ɐ̃ ŋ ɡ ɾ eː z iː
अंग्रेजो	ɐ̃ ŋ ɡ ɾ eː d͡ʒ oː
अंग्रेजो	ɐ̃ ŋ ɡ ɾ eː z oː
अंग्रेजों	ɐ̃ ŋ ɡ ɾ eː d͡ʒ õː
अंग्रेजों	ɐ̃ ŋ ɡ ɾ eː z õː
अंचल	ɐ̃ n t͡ʃ ɐ l
अंछर	ɐ̃ n t͡ʃʰ ɐ ɾ
अंजन	ɐ̃ n d͡ʒ ɐ̃ n
अंजाम	ɐ̃ n d͡ʒ ä̃ː m
अंजीर	ɐ̃ n d͡ʒ iː ɾ
अंजु	ɐ̃ n d͡ʒ uː
अंटार्कटिका	ɐ̃ ɳ ʈ äː ɾ k ʈ ɪ k äː
अंटार्टिका	ɐ̃ ɳ ʈ äː ɾ ʈ ɪ k äː
अंडकोष	ɐ̃ ɳ ɖ k oː ʃ
अंडमान	ɐ̃ ɳ ɖ ɐ m ä̃ː n
अंडा	ɐ̃ ɳ ɖ äː
अंडोरा	ɐ̃ ɳ ɖ oː ɾ äː
अंत	ɐ̃ n̪ t̪
अंतःक्षेप	ɐ̃ n̪ t̪ ɛ ɦ k ʃ eː p
अंतःपुर	ɐ̃ n̪ t̪ ɛ ɦ p ʊ ɾ
अंतड़ी	ɐ̃ n̪ t̪ ɽ iː
अंततः	ɐ̃ n̪ t̪ ɐ t̪ ɛ ɦ
अंतम	ɐ̃ n̪ t̪ ɐ̃ m
अंतर	ɐ̃ n̪ t̪ ɐ ɾ
